Protein1,Protein2,Position,Pearson_Corr,Pearson_P,Spearman_Corr,Spearman_P,n
BCLAF1,BUD13,1,0.43859240606891237,6.70208992206444e-41,0.4098624536482143,1.901565489053979e-35,842
BCLAF1,BUD13,2,0.12427300696712434,0.0007527943195440877,0.43009981564414884,2.5660424569729517e-34,732
BCLAF1,BUD13,3,0.6761721428136255,1.839933866931496e-105,0.6234143332356196,2.6398031106793185e-85,781
BCLAF1,BUD13,4,0.5546611120137228,6.575447499992982e-53,0.4704446921286813,1.4734706920214333e-36,640
BCLAF1,BUD13,5,0.7282742350127461,1.7215323510604887e-177,0.6839814526427586,1.830972866399193e-148,1070
BCLAF1,BUD13,6,0.6505061961978253,1.0887507792450112e-105,0.5930808351960895,1.123693196758741e-83,869
BUD13,CDC40,1,-0.7206523299192966,2.2493407926198824e-6,-0.8155339805825241,7.433295906720912e-9,33
BUD13,CDC40,2,NaN,NaN,NaN,NaN,306
BUD13,CDC40,3,-0.9021507614126726,1.587388396005838e-26,-0.8076472132295038,2.9842303328639697e-17,70
BUD13,CDC40,4,0.5360256359736624,1.0551431213419082e-14,0.6178667941650651,3.1625858555608403e-20,179
BUD13,CDC40,5,0.05789897869190648,0.5732174631968656,0.7655882730072567,6.70038140455668e-20,97
BUD13,CDC40,6,NaN,NaN,NaN,NaN,66
BUD13,EFTUD2,1,0.23826589550270724,2.0587269558701424e-14,0.44201061941114195,3.1945515210241147e-49,1003
BUD13,EFTUD2,2,0.34054098711900815,2.9177099451758404e-74,0.5872450903534533,5.5815486523452983e-250,2699
BUD13,EFTUD2,3,-0.440209219870299,1.5456901517423524e-63,-0.3549292943539733,2.1978241207892882e-40,1317
BUD13,EFTUD2,4,0.7105614948505469,1.6029000230244637e-235,0.7199161289843353,1.2821067771039576e-244,1530
BUD13,EFTUD2,5,-0.5724614932696321,5.746692903899908e-121,-0.6564687551540815,6.4954279076052785e-171,1380
BUD13,EFTUD2,6,0.18031641947708155,8.117991739097785e-10,0.14319823066782456,1.1550757024655004e-6,1144
BUD13,FXR2,1,-0.020426594344949433,0.8120359733862041,-0.0439690661625191,0.6086026498306767,138
BUD13,FXR2,2,-0.03348930309041242,0.6438262536958197,-0.07272683264255207,0.3148381956827138,193
BUD13,FXR2,3,0.3083601208187964,0.00002285442827960294,0.21999173895084675,0.002844631043903471,182
BUD13,FXR2,4,0.8105057084398557,4.151893212211285e-41,0.7105341159049153,1.373801369514458e-27,171
BUD13,FXR2,5,-0.07415279178527195,0.30541828991912884,-0.33016964402411697,2.7422296398784132e-6,193
BUD13,FXR2,6,-0.4237940694540143,2.5193411249403633e-13,-0.3364122290594653,1.1985599602555631e-8,273
BUD13,PABPN1,1,-0.8276016630853801,1.6143951933192005e-85,-0.6304587048491471,1.6005145072469115e-38,335
BUD13,PABPN1,2,-0.03134750835546672,0.5376098692591784,-0.16767569090485884,0.0009002593664380551,389
BUD13,PABPN1,3,0.6163904819033247,2.5921797999960405e-50,0.5229888811817586,3.2514006722046654e-34,468
BUD13,PABPN1,4,0.5008669235212185,6.272617157084181e-23,0.5171032892371414,1.4166968045639316e-24,339
BUD13,PABPN1,5,0.42212331566307154,6.967404770749928e-28,0.413311830065752,1.0845192846451243e-26,613
BUD13,PABPN1,6,0.6753822672773594,3.021666696481565e-72,0.5306701304629683,4.7406382708121595e-40,533
BUD13,PRPF8,1,-0.36160405642045496,2.836559713719676e-26,-0.42834491578030526,2.9518957563938132e-37,805
BUD13,PRPF8,2,0.3798159208510369,4.583423366906228e-136,0.5235196229163044,1.4486039352878403e-277,3959
BUD13,PRPF8,3,0.8674954877258227,4.801239475754159e-273,0.774671117107314,6.321442562831913e-180,895
BUD13,PRPF8,4,0.5143047151774246,2.8939651102659706e-161,0.4726737505957302,4.3619980855091754e-133,2386
BUD13,PRPF8,5,0.46142922283575566,1.6952604435638452e-48,0.2750189648748297,4.962365184147722e-17,897
BUD13,PRPF8,6,0.49968764876386296,4.030304582093553e-109,0.4604865617519806,7.399437480246665e-91,1717
BUD13,RBM22,1,0.35060385384208276,0.016901458135386738,0.39459943939386893,0.006652816528131631,46
BUD13,RBM22,2,0.4320440911067856,2.7444981995531005e-61,0.7079280714975317,9.846265161227873e-202,1323
BUD13,RBM22,3,-0.8495158343741647,3.0928199352056054e-13,-0.8316412859560068,2.717010724500364e-12,44
BUD13,RBM22,4,0.5551806029102082,6.860980828926304e-50,0.3673064266321643,1.2380958253418282e-20,601
BUD13,RBM22,5,-0.027069845373120103,0.9827646958256199,-0.5,0.6666666666666667,3
BUD13,RBM22,6,0.6796746350409316,7.574036289247738e-65,0.4786732851345152,3.1209989529254374e-28,469
BUD13,SF3B4,1,0.23106763183702206,4.5191457488054597e-17,0.3422958658578086,1.0242664683429349e-36,1288
BUD13,SF3B4,2,-0.7246523191933628,4.711937053824462e-25,-0.6711712319655111,1.8661604031949922e-20,146
BUD13,SF3B4,3,0.811526709488506,2.7263026281650583e-275,0.6970004246190558,3.401362545737843e-171,1172
BUD13,SF3B4,4,-0.7296109147765791,7.210944821050186e-25,-0.7431865191049898,3.325638016024517e-26,142
BUD13,SF3B4,5,0.6634887686118658,1.792901692677012e-205,0.7127844601249962,9.349208176499766e-251,1615
BUD13,SF3B4,6,0.41390118227091754,8.479260742328671e-6,0.34262536381347974,0.000283703625693729,108
BUD13,SRSF7,1,0.6918091383196004,0.00009050545296380474,0.7234417748630283,0.000029645727796344876,26
BUD13,SRSF7,2,0.8463170791934322,7.955276394248588e-11,0.7481830548490465,1.55732197415704e-7,36
BUD13,SRSF7,3,NaN,NaN,NaN,NaN,40
BUD13,SRSF7,4,-0.1522658938259085,0.5099584847993384,-0.13116883116883118,0.570889196068409,21
BUD13,SRSF7,5,0.7784872356499613,1.0696131417226511e-19,0.8210886033599655,2.170111389271289e-23,91
BUD13,SRSF7,6,NaN,NaN,NaN,NaN,25
CSTF2,CSTF2T,1,0.8993861704434514,9.84028431496206e-10,0.8921417565485362,2.110324880666107e-9,25
CSTF2,CSTF2T,2,NaN,NaN,NaN,NaN,9
CSTF2,CSTF2T,3,NaN,NaN,NaN,NaN,2
CSTF2,CSTF2T,5,NaN,NaN,NaN,NaN,4
CSTF2,CSTF2T,6,-0.03200616823364205,0.7198583099290173,-0.291283750731817,0.0008505059178940255,128
CSTF2,PPIG,1,-0.770292395684057,0.02532108423178656,-0.8095238095238096,0.014902667686230067,8
CSTF2,PPIG,3,NaN,NaN,NaN,NaN,7
CSTF2,PPIG,4,NaN,NaN,NaN,NaN,5
CSTF2,PPIG,6,-0.8538172488756778,0.0008240985459466756,-0.9272727272727275,0.00003973774256558543,11
CSTF2,PRPF8,2,NaN,NaN,NaN,NaN,4
CSTF2,TRA2A,6,-0.9584764746307269,0.18410118728940614,-0.5,0.6666666666666667,3
CSTF2T,PCBP2,1,0.11399207990067851,0.035913320194655575,0.5884027968111895,5.8372984992900134e-33,339
CSTF2T,PCBP2,2,0.09712949588846323,0.035088128399342236,-0.361248579402156,5.768065406797024e-16,471
CSTF2T,PCBP2,3,0.13301544856811534,0.25856443294559966,0.19627185674514566,0.09373925961901351,74
CSTF2T,PCBP2,4,-0.035410446067908885,0.7551668687477454,-0.5390994297129896,2.4804381026139203e-7,80
CSTF2T,PCBP2,5,-0.070083498940019,0.582117016638167,0.1361975139002141,0.2832193454103323,64
CSTF2T,PCBP2,6,-0.8801431470712102,4.111525721597965e-19,-0.8617758241515192,1.5118109966223877e-17,56
CSTF2T,SRSF7,2,-0.4989009978580523,2.1321922343510127e-6,-0.9355258125982472,1.902114015083449e-37,81
CSTF2T,SRSF7,4,0.12117172389551123,0.707565075926941,-0.12765957446808512,0.6925649361400551,12
CSTF2T,SRSF7,6,NaN,NaN,NaN,NaN,12
BCLAF1,DGCR8,1,0.6277625394221878,0.0013416624391111103,0.678058444774641,0.00037711883200418356,23
BCLAF1,DGCR8,2,-0.796680619719267,0.05780566900719393,-0.6,0.20799999999999982,6
BCLAF1,DGCR8,3,-0.8765244876408742,0.1234755123591258,-0.7999999999999999,0.20000000000000007,4
BCLAF1,DGCR8,4,-0.19835352996735311,0.49664410992586794,-0.546060269733862,0.04336912913691224,14
BCLAF1,DGCR8,5,NaN,NaN,NaN,NaN,3
BCLAF1,DGCR8,6,-0.9091524209385341,2.670464704823989e-6,-0.6350626118067978,0.01096779491260459,15
