File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	Azure URL	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF955VYD	bed narrowPeak	bed	narrowPeak	peaks	hg19	ENCSR361OCV	eCLIP	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										NIP7-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1, 2	1_1, 2_1							/files/ENCFF077RVD/, /files/ENCFF251ZRM/, /files/ENCFF527MFS/, /files/ENCFF048BEP/, /files/ENCFF325ZEZ/, /files/ENCFF039QTN/	7562	Gene Yeo, UCSD	65b0d04462db5f04e53b5137a82f8fb0		https://www.encodeproject.org/files/ENCFF955VYD/@@download/ENCFF955VYD.bed.gz				released	s3://encode-public/2018/06/08/8d8ac09d-e943-430d-9ed8-59d0841ab674/ENCFF955VYD.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2018/06/08/8d8ac09d-e943-430d-9ed8-59d0841ab674/ENCFF955VYD.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom hg19	archived			
ENCFF033MGP	bed narrowPeak	bed	narrowPeak	peaks	GRCh38	ENCSR361OCV	eCLIP	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										NIP7-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1, 2	1_1, 2_1							/files/ENCFF204THM/, /files/ENCFF501GXB/, /files/ENCFF269URO/, /files/ENCFF216MCK/, /files/ENCFF169ABN/, /files/ENCFF637GMD/	7542	Gene Yeo, UCSD	3067e5ef99963778192352f78c35cf69		https://www.encodeproject.org/files/ENCFF033MGP/@@download/ENCFF033MGP.bed.gz				released	s3://encode-public/2018/12/03/fb3fa909-839b-408f-b7d0-ef91e793a35c/ENCFF033MGP.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2018/12/03/fb3fa909-839b-408f-b7d0-ef91e793a35c/ENCFF033MGP.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom GRCh38	released			
ENCFF075XTM	bed narrowPeak	bed	narrowPeak	peaks	hg19	ENCSR050BDZ	eCLIP	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										SDAD1-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1, 2	1_1, 2_1							/files/ENCFF875HEP/, /files/ENCFF325VKM/, /files/ENCFF004ZSD/, /files/ENCFF575PPP/, /files/ENCFF039QTN/, /files/ENCFF943KDD/	22242	Gene Yeo, UCSD	a0777c7db36aae3350cd1f6501b820d6		https://www.encodeproject.org/files/ENCFF075XTM/@@download/ENCFF075XTM.bed.gz				released	s3://encode-public/2018/06/08/b78a2e6a-57dc-4341-9658-712f3c107717/ENCFF075XTM.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2018/06/08/b78a2e6a-57dc-4341-9658-712f3c107717/ENCFF075XTM.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom hg19	archived	mixed read lengths		
ENCFF825UVD	bed narrowPeak	bed	narrowPeak	peaks	GRCh38	ENCSR050BDZ	eCLIP	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										SDAD1-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1, 2	1_1, 2_1							/files/ENCFF079MBG/, /files/ENCFF789KFH/, /files/ENCFF269URO/, /files/ENCFF346NQQ/, /files/ENCFF336IRY/, /files/ENCFF831VQE/	23440	Gene Yeo, UCSD	c2e27a578e55398078419126b14a76b0		https://www.encodeproject.org/files/ENCFF825UVD/@@download/ENCFF825UVD.bed.gz				released	s3://encode-public/2018/12/03/44e5dda4-4ec6-4e7d-a53a-cf66373c9472/ENCFF825UVD.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2018/12/03/44e5dda4-4ec6-4e7d-a53a-cf66373c9472/ENCFF825UVD.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom GRCh38	released	mixed read lengths		
ENCFF410XHF	bed narrowPeak	bed	narrowPeak	peaks	hg19	ENCSR647HOX	eCLIP	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										HLTF-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1, 2	1_1, 2_1							/files/ENCFF490MGU/, /files/ENCFF748PZV/, /files/ENCFF250KNJ/, /files/ENCFF039QTN/, /files/ENCFF773TEB/, /files/ENCFF395HUI/	73561	Gene Yeo, UCSD	3265beabde01f9ebb8761758da82828d		https://www.encodeproject.org/files/ENCFF410XHF/@@download/ENCFF410XHF.bed.gz				released	s3://encode-public/2018/06/08/db8666d2-cf59-42af-bdf2-cab1141addeb/ENCFF410XHF.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2018/06/08/db8666d2-cf59-42af-bdf2-cab1141addeb/ENCFF410XHF.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom hg19	archived			
ENCFF048FDF	bed narrowPeak	bed	narrowPeak	peaks	GRCh38	ENCSR647HOX	eCLIP	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										HLTF-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1, 2	1_1, 2_1							/files/ENCFF252MTE/, /files/ENCFF293ZZT/, /files/ENCFF745DZH/, /files/ENCFF269URO/, /files/ENCFF757PDP/, /files/ENCFF991OSY/	75321	Gene Yeo, UCSD	f399b9e754778f392b4efcd450bcac70		https://www.encodeproject.org/files/ENCFF048FDF/@@download/ENCFF048FDF.bed.gz				released	s3://encode-public/2018/12/03/549987b4-1dd7-427f-96c8-5ec008952e12/ENCFF048FDF.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2018/12/03/549987b4-1dd7-427f-96c8-5ec008952e12/ENCFF048FDF.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom GRCh38	released			
ENCFF146YPF	bed narrowPeak	bed	narrowPeak	peaks	hg19	ENCSR145NLR	eCLIP	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										DDX51-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1, 2	1_1, 2_1							/files/ENCFF509GAY/, /files/ENCFF475ZZT/, /files/ENCFF042FAB/, /files/ENCFF924PFV/, /files/ENCFF039QTN/, /files/ENCFF536UEG/	11134	Gene Yeo, UCSD	5fe59c125c8357d6f0a2e838c9b226f6		https://www.encodeproject.org/files/ENCFF146YPF/@@download/ENCFF146YPF.bed.gz				released	s3://encode-public/2018/06/08/45b3fe5c-e89a-400b-a50a-e61ae4d2969b/ENCFF146YPF.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2018/06/08/45b3fe5c-e89a-400b-a50a-e61ae4d2969b/ENCFF146YPF.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom hg19	archived			
ENCFF799ERK	bed narrowPeak	bed	narrowPeak	peaks	GRCh38	ENCSR145NLR	eCLIP	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										DDX51-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1, 2	1_1, 2_1							/files/ENCFF486XDM/, /files/ENCFF224JPZ/, /files/ENCFF269URO/, /files/ENCFF584CZB/, /files/ENCFF965UZI/, /files/ENCFF931ZGZ/	10505	Gene Yeo, UCSD	e53255b189ba93606bbaf6e42172fa1e		https://www.encodeproject.org/files/ENCFF799ERK/@@download/ENCFF799ERK.bed.gz				released	s3://encode-public/2018/12/03/d7d58f46-770f-40b7-9f53-f44b953640ed/ENCFF799ERK.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2018/12/03/d7d58f46-770f-40b7-9f53-f44b953640ed/ENCFF799ERK.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom GRCh38	released			
ENCFF400KYS	bed narrowPeak	bed	narrowPeak	peaks	hg19	ENCSR606BPV	eCLIP	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										AQR-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1, 2	1_1, 2_1							/files/ENCFF122NOF/, /files/ENCFF325SFV/, /files/ENCFF235BMH/, /files/ENCFF465QKS/, /files/ENCFF345VSH/, /files/ENCFF039QTN/	541845	Gene Yeo, UCSD	968faeeb7e0826cc91a27441209777e2		https://www.encodeproject.org/files/ENCFF400KYS/@@download/ENCFF400KYS.bed.gz				released	s3://encode-public/2018/06/08/3b4b1fd1-0001-4b53-a1bd-874340859f60/ENCFF400KYS.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2018/06/08/3b4b1fd1-0001-4b53-a1bd-874340859f60/ENCFF400KYS.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom hg19	archived			
ENCFF949QGM	bed narrowPeak	bed	narrowPeak	peaks	GRCh38	ENCSR606BPV	eCLIP	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										AQR-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1, 2	1_1, 2_1							/files/ENCFF269URO/, /files/ENCFF620JUD/, /files/ENCFF240IEE/, /files/ENCFF899ROO/, /files/ENCFF374DAW/, /files/ENCFF436KLO/	517110	Gene Yeo, UCSD	8892cda055b9eb5da95b4ca75e5716e5		https://www.encodeproject.org/files/ENCFF949QGM/@@download/ENCFF949QGM.bed.gz				released	s3://encode-public/2018/12/03/83d8235b-3861-4443-9781-83805ac1e77c/ENCFF949QGM.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2018/12/03/83d8235b-3861-4443-9781-83805ac1e77c/ENCFF949QGM.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom GRCh38	released			
