run_id	run_name	state	sweep_name	sweep_id	model.name	model.gamma	dataset.name	model.n_jobs	training.seed	model.max_depth	model.objective	model.reg_alpha	model.subsample	model.reg_lambda	training.loss_fn	model.eval_metric	platiglib_project	model.n_estimators	model.learning_rate	training.batch_size	training.pin_memory	training.num_workers	training.wandb.track	dataset.target_fields	training.wandb.entity	model.colsample_bytree	model.min_child_weight	training.profile.plots	training.wandb.project	dataset.fold_filter.seed	dataset.fold_filter.side	training.profile.metrics	training.wandb.save_code	training.wandb.save_model	training.wandb.save_plots	training.data_split.method	model.early_stopping_rounds	training.persistent_workers	dataset.fold_filter.num_folds	training.data_split.num_folds	training.wandb.save_artifacts	dataset.fold_filter.fold_index	training.profile.final_metrics	training.wandb.log_fold_metrics	training.wandb.save_predictions	dataset.fold_filter.group_column	training.data_split.group_column	training.wandb.log_training_plots	training.wandb.log_baseline_metrics	training.wandb.log_training_metrics	training.data_split.validate_frac_of_train	dataset.features.binding_matrix.in_silico_kd	dataset.features.binding_matrix.binding_format	dataset.data_source.EncodeRBPBindingDataSource.window	dataset.data_source.EncodeRBPBindingDataSource.cell_line	dataset.data_source.EncodeRBPBindingDataSource.min_read_count	dataset.data_source.EncodeRBPBindingDataSource.three_exon_combos	cv_loss	cv_mean_absolute_error	cv_mean_absolute_error_std	cv_r2_score	cv_r2_score_std	cv_rmse	cv_rmse_std	holdout_loss	holdout_mean_absolute_error	holdout_r2_score	holdout_rmse	outer_loop_holdout_loss	outer_loop_holdout_mean_absolute_error	outer_loop_holdout_r2_score	outer_loop_holdout_rmse
009kebvw	fiery-sweep-279	finished	1:early_stopping_rounds-learning_rate-max_depth	jd8kv80y	XGBRegressor	0.0	RBPSEDataset	-1	600	11	reg:logistic	0.0	1.0	1.0	mean_squared_error	['rmse', 'logloss']	rbpse	100000	0.1	1024	True	4	True	['target_psi']	platiglab	1.0	1	['fancy_scatter', 'cumul_resid_dist', ['wandb_faux_pr_curve', {'thresh': 0.5}], ['wandb_faux_roc_curve', {'thresh': 0.5}]]	yogi-rbp-ml-gencode-v24-v29-matching-exons	17	train	['r2_score', 'mean_absolute_error', 'rmse']	False	False	False	cross_validation	100	True	5	5	False	1	[]	False	False	ensembl_gene_id	ensembl_gene_id	False	False	True	0.1	True	binary	100	K562	40	all	0.07905	0.179	0.001384	0.2706	0.01139	0.2812	0.001776	0.07905	0.1791	0.2711	0.2812				
00hq0eth	lilac-sweep-227	finished	1:early_stopping_rounds-learning_rate-max_depth	jd8kv80y	XGBRegressor	0.0	RBPSEDataset	-1	300	7	reg:logistic	0.0	1.0	1.0	mean_squared_error	['rmse', 'logloss']	rbpse	100000	0.05	1024	True	4	True	['target_psi']	platiglab	1.0	1	['fancy_scatter', 'cumul_resid_dist', ['wandb_faux_pr_curve', {'thresh': 0.5}], ['wandb_faux_roc_curve', {'thresh': 0.5}]]	yogi-rbp-ml-gencode-v24-v29-matching-exons	17	train	['r2_score', 'mean_absolute_error', 'rmse']	False	False	False	cross_validation	100	True	5	5	False	1	[]	False	False	ensembl_gene_id	ensembl_gene_id	False	False	True	0.1	True	binary	100	K562	40	all	0.07888	0.1803	0.003421	0.2726	0.009745	0.2808	0.004178	0.07888	0.1803	0.2727	0.2809				
0149fzlw	toasty-sweep-245	finished	1:early_stopping_rounds-learning_rate-max_depth	jd8kv80y	XGBRegressor	0.0	RBPSEDataset	-1	700	11	reg:logistic	0.0	1.0	1.0	mean_squared_error	['rmse', 'logloss']	rbpse	100000	0.05	1024	True	4	True	['target_psi']	platiglab	1.0	1	['fancy_scatter', 'cumul_resid_dist', ['wandb_faux_pr_curve', {'thresh': 0.5}], ['wandb_faux_roc_curve', {'thresh': 0.5}]]	yogi-rbp-ml-gencode-v24-v29-matching-exons	17	train	['r2_score', 'mean_absolute_error', 'rmse']	False	False	False	cross_validation	100	True	5	5	False	1	[]	False	False	ensembl_gene_id	ensembl_gene_id	False	False	True	0.1	True	binary	100	K562	40	all	0.07867	0.1792	0.004046	0.2743	0.007799	0.2804	0.006459	0.07867	0.1791	0.2746	0.2805				
01swxkf9	rosy-sweep-418	finished	1:early_stopping_rounds-learning_rate-max_depth	jd8kv80y	XGBRegressor	0.0	RBPSEDataset	-1	500	11	reg:logistic	0.0	1.0	1.0	mean_squared_error	['rmse', 'logloss']	rbpse	100000	0.05	1024	True	4	True	['target_psi']	platiglab	1.0	1	['fancy_scatter', 'cumul_resid_dist', ['wandb_faux_pr_curve', {'thresh': 0.5}], ['wandb_faux_roc_curve', {'thresh': 0.5}]]	yogi-rbp-ml-gencode-v24-v29-matching-exons	17	train	['r2_score', 'mean_absolute_error', 'rmse']	False	False	False	cross_validation	500	True	5	5	False	1	[]	False	False	ensembl_gene_id	ensembl_gene_id	False	False	True	0.1	True	binary	100	K562	40	all	0.07946	0.1785	0.00431	0.2673	0.005287	0.2818	0.005347	0.07944	0.1785	0.2675	0.2819				
01vp6cwm	noble-sweep-1071	finished	1:early_stopping_rounds-learning_rate-max_depth	jd8kv80y	XGBRegressor	0.0	RBPSEDataset	-1	700	7	reg:logistic	0.0	1.0	1.0	mean_squared_error	['rmse', 'logloss']	rbpse	100000	0.01	1024	True	4	True	['target_psi']	platiglab	1.0	1	['fancy_scatter', 'cumul_resid_dist', ['wandb_faux_pr_curve', {'thresh': 0.5}], ['wandb_faux_roc_curve', {'thresh': 0.5}]]	yogi-rbp-ml-gencode-v24-v29-matching-exons	17	train	['r2_score', 'mean_absolute_error', 'rmse']	False	False	False	cross_validation	500	True	5	5	False	1	[]	False	False	ensembl_gene_id	ensembl_gene_id	False	False	True	0.1	True	binary	100	HepG2	40	all	0.08222	0.1887	0.006051	0.2845	0.01573	0.2866	0.008377	0.08215	0.1886	0.2855	0.2866				
02ox88nl	decent-sweep-1353	finished	1:early_stopping_rounds-learning_rate-max_depth	jd8kv80y	XGBRegressor	0.0	RBPSEDataset	-1	200	9	reg:logistic	0.0	1.0	1.0	mean_squared_error	['rmse', 'logloss']	rbpse	100000	0.2	1024	True	4	True	['target_psi']	platiglab	1.0	1	['fancy_scatter', 'cumul_resid_dist', ['wandb_faux_pr_curve', {'thresh': 0.5}], ['wandb_faux_roc_curve', {'thresh': 0.5}]]	yogi-rbp-ml-gencode-v24-v29-matching-exons	17	train	['r2_score', 'mean_absolute_error', 'rmse']	False	False	False	cross_validation	1000	True	5	5	False	1	[]	False	False	ensembl_gene_id	ensembl_gene_id	False	False	True	0.1	True	binary	100	HepG2	40	all	0.08318	0.1868	0.003483	0.2751	0.02007	0.2884	0.004154	0.08316	0.1868	0.2767	0.2884				
05jz6ds6	brisk-sweep-305	finished	1:early_stopping_rounds-learning_rate-max_depth	jd8kv80y	XGBRegressor	0.0	RBPSEDataset	-1	400	9	reg:logistic	0.0	1.0	1.0	mean_squared_error	['rmse', 'logloss']	rbpse	100000	0.2	1024	True	4	True	['target_psi']	platiglab	1.0	1	['fancy_scatter', 'cumul_resid_dist', ['wandb_faux_pr_curve', {'thresh': 0.5}], ['wandb_faux_roc_curve', {'thresh': 0.5}]]	yogi-rbp-ml-gencode-v24-v29-matching-exons	17	train	['r2_score', 'mean_absolute_error', 'rmse']	False	False	False	cross_validation	100	True	5	5	False	1	[]	False	False	ensembl_gene_id	ensembl_gene_id	False	False	True	0.1	True	binary	100	K562	40	all	0.07907	0.1783	0.005881	0.2707	0.01024	0.2811	0.005847	0.07907	0.1784	0.2709	0.2812				
06yrn3f6	faithful-sweep-140	finished	1:early_stopping_rounds-learning_rate-max_depth	jd8kv80y	XGBRegressor	0.0	RBPSEDataset	-1	700	11	reg:logistic	0.0	1.0	1.0	mean_squared_error	['rmse', 'logloss']	rbpse	100000	0.2	1024	True	4	True	['target_psi']	platiglab	1.0	1	['fancy_scatter', 'cumul_resid_dist', ['wandb_faux_pr_curve', {'thresh': 0.5}], ['wandb_faux_roc_curve', {'thresh': 0.5}]]	yogi-rbp-ml-gencode-v24-v29-matching-exons	17	train	['r2_score', 'mean_absolute_error', 'rmse']	False	False	False	cross_validation	50	True	5	5	False	1	[]	False	False	ensembl_gene_id	ensembl_gene_id	False	False	True	0.1	True	binary	100	K562	40	all	0.07935	0.1797	0.003004	0.2679	0.006317	0.2816	0.006176	0.07935	0.1796	0.2683	0.2817				
07f8o44e	smart-sweep-1254	finished	1:early_stopping_rounds-learning_rate-max_depth	jd8kv80y	XGBRegressor	0.0	RBPSEDataset	-1	100	11	reg:logistic	0.0	1.0	1.0	mean_squared_error	['rmse', 'logloss']	rbpse	100000	0.01	1024	True	4	True	['target_psi']	platiglab	1.0	1	['fancy_scatter', 'cumul_resid_dist', ['wandb_faux_pr_curve', {'thresh': 0.5}], ['wandb_faux_roc_curve', {'thresh': 0.5}]]	yogi-rbp-ml-gencode-v24-v29-matching-exons	17	train	['r2_score', 'mean_absolute_error', 'rmse']	False	False	False	cross_validation	1000	True	5	5	False	1	[]	False	False	ensembl_gene_id	ensembl_gene_id	False	False	True	0.1	True	binary	100	HepG2	40	all	0.08262	0.1867	0.003434	0.2806	0.0197	0.2874	0.003104	0.08262	0.1868	0.2814	0.2874				
07tm0ic7	atomic-sweep-956	finished	1:early_stopping_rounds-learning_rate-max_depth	jd8kv80y	XGBRegressor	0.0	RBPSEDataset	-1	400	5	reg:logistic	0.0	1.0	1.0	mean_squared_error	['rmse', 'logloss']	rbpse	100000	0.1	1024	True	4	True	['target_psi']	platiglab	1.0	1	['fancy_scatter', 'cumul_resid_dist', ['wandb_faux_pr_curve', {'thresh': 0.5}], ['wandb_faux_roc_curve', {'thresh': 0.5}]]	yogi-rbp-ml-gencode-v24-v29-matching-exons	17	train	['r2_score', 'mean_absolute_error', 'rmse']	False	False	False	cross_validation	100	True	5	5	False	1	[]	False	False	ensembl_gene_id	ensembl_gene_id	False	False	True	0.1	True	binary	100	HepG2	40	all	0.08275	0.1886	0.004691	0.2802	0.01467	0.2877	0.003054	0.08273	0.1886	0.2804	0.2876				
