run_id	run_name	state	sweep_name	sweep_id	seed	type	n_jobs	distance	data_file	data_type	max_depth	objective	eval_metric	n_estimators	learning_rate	early_stopping_rounds	_runtime	_timestamp	test_r2	validate_r2
c9rxmsng	vocal-voice-129	finished			1150	ignore_pos_1_6	-1	100	HepG2_100_non-overlapping_num-peaks-no-kd.feather	non-overlapping	5	reg:logistic	['rmse', 'logloss']	100000	0.05	100	19.750092413	1750118659.418394	0.1791863204536065	0.2151615375175886
gt4iyrst	earthy-plasma-125	finished			650	ignore_pos_1_6	-1	100	HepG2_100_non-overlapping_num-peaks-no-kd.feather	non-overlapping	5	reg:logistic	['rmse', 'logloss']	100000	0.2	100	22.450166227	1750118661.6313815	0.19950953016234363	0.2113117660952024
o1hpcipp	floral-bird-126	finished			150	ignore_pos_1_6	-1	100	HepG2_100_non-overlapping_num-peaks-no-kd.feather	non-overlapping	9	reg:logistic	['rmse', 'logloss']	100000	0.2	100	7.331064629	1750118646.5867803	0.18550262464418432	0.19363831826142688
r8leolcu	wandering-glitter-127	finished			1150	ignore_pos_1_6	-1	100	HepG2_100_non-overlapping_num-peaks-no-kd.feather	non-overlapping	9	reg:logistic	['rmse', 'logloss']	100000	0.1	100	8.677279321	1750118648.013217	0.21960948623048435	0.16817881807553003
s0ikunb0	magic-frog-128	finished			650	ignore_pos_1_6	-1	100	HepG2_100_non-overlapping_num-peaks-no-kd.feather	non-overlapping	3	reg:logistic	['rmse', 'logloss']	100000	0.1	100	13.545568664	1750118653.0691984	0.2011018518193344	0.1763712573148264
v3hjmwse	avid-hill-130	finished			150	ignore_pos_1_6	-1	50	HepG2_50_non-overlapping_num-peaks-no-kd.feather	non-overlapping	7	reg:logistic	['rmse', 'logloss']	100000	0.4	100	7.018351611	1750118646.7894025	0.22648452294751364	0.2225836634810816
zgrsv4rm	efficient-microwave-124	finished			650	ignore_pos_1_6	-1	50	HepG2_50_non-overlapping_num-peaks-no-kd.feather	non-overlapping	7	reg:logistic	['rmse', 'logloss']	100000	0.4	100	65.099986948	1750118704.279679	0.15899060850415714	0.2016487745432849
16ce4psu	vocal-armadillo-143	finished			150	ignore_pos_1_6	-1	50	HepG2_50_non-overlapping_num-peaks-no-kd.feather	non-overlapping	5	reg:logistic	['rmse', 'logloss']	100000	0.2	100	115.612472009	1750118756.1063857	0.2045151607828221	0.18120013079084352
3sw6l6hx	good-valley-140	finished			650	ignore_pos_1_6	-1	50	HepG2_50_non-overlapping_num-peaks-no-kd.feather	non-overlapping	5	reg:logistic	['rmse', 'logloss']	100000	0.2	100	12.689149496	1750118653.0089152	0.1601946929913186	0.17103634797666578
5y9tri19	polished-dream-139	finished			150	ignore_pos_1_6	-1	100	HepG2_100_non-overlapping_num-peaks-no-kd.feather	non-overlapping	9	reg:logistic	['rmse', 'logloss']	100000	0.1	100	95.451737497	1750118735.6643429	0.17140012080878697	0.152390481375135
9sebakgu	major-plant-136	finished			1150	ignore_pos_1_6	-1	100	HepG2_100_non-overlapping_num-peaks-no-kd.feather	non-overlapping	5	reg:logistic	['rmse', 'logloss']	100000	0.1	100	11.191284337	1750118651.2662232	0.2413672214378466	0.2146306960175598
f21rgoxx	denim-darkness-135	finished			650	ignore_pos_1_6	-1	100	HepG2_100_non-overlapping_num-peaks-no-kd.feather	non-overlapping	9	reg:logistic	['rmse', 'logloss']	100000	0.1	100	9.361048583	1750118649.4905422	0.27737810522809614	0.20786335686827795
laphhvxe	peachy-wind-137	finished			150	ignore_pos_1_6	-1	100	HepG2_100_non-overlapping_num-peaks-no-kd.feather	non-overlapping	5	reg:logistic	['rmse', 'logloss']	100000	0.1	100	13.269355647	1750118653.4271374	0.1645050059696197	0.21925882861290943
nd302xpo	woven-waterfall-142	finished			650	ignore_pos_1_6	-1	100	HepG2_100_non-overlapping_num-peaks-no-kd.feather	non-overlapping	5	reg:logistic	['rmse', 'logloss']	100000	0.1	100	112.479459957	1750118752.9018724	0.15272228931504894	0.21401476968584043
rpoqhzco	avid-pyramid-134	finished			1150	ignore_pos_1_6	-1	100	HepG2_100_non-overlapping_num-peaks-no-kd.feather	non-overlapping	3	reg:logistic	['rmse', 'logloss']	100000	0.1	100	16.51209164	1750118656.5540688	0.1440616432588686	0.16276623464078055
u810b8lk	divine-silence-132	finished			650	ignore_pos_1_6	-1	100	HepG2_100_non-overlapping_num-peaks-no-kd.feather	non-overlapping	7	reg:logistic	['rmse', 'logloss']	100000	0.1	100	9.678211142	1750118649.606624	0.17601473648491783	0.2045417103734201
uqxuytpx	devout-eon-133	finished			1150	ignore_pos_1_6	-1	100	HepG2_100_non-overlapping_num-peaks-no-kd.feather	non-overlapping	7	reg:logistic	['rmse', 'logloss']	100000	0.1	100	11.385753353	1750118651.3384552	0.19117317472440296	0.2257852043117934
voo4vzs5	playful-silence-131	finished			650	ignore_pos_1_6	-1	100	HepG2_100_non-overlapping_num-peaks-no-kd.feather	non-overlapping	5	reg:logistic	['rmse', 'logloss']	100000	0.05	100	31.117010571	1750118670.942009	0.18524456001459644	0.18735425145394713
wg980k03	likely-breeze-137	finished			1150	ignore_pos_1_6	-1	50	HepG2_50_non-overlapping_num-peaks-no-kd.feather	non-overlapping	5	reg:logistic	['rmse', 'logloss']	100000	0.2	100	12.459590825	1750118652.6163924	0.2590275691037004	0.25471346930724204
