Interaction	RBP 1	RBP 2	Rec-Y2H	Street et al | IP-MS	Street et al | IP/SEC-MS (Both)	K562 - Both eCLIP	HepG2 - Both eCLIP
AARS-AATF	AARS	AATF				true	false
AARS-ABCF1	AARS	ABCF1				true	false
AARS-ADAT1	AARS	ADAT1				true	false
AARS-AGGF1	AARS	AGGF1				true	false
AARS-AKAP1	AARS	AKAP1				true	false
AARS-AKAP8L	AARS	AKAP8L				true	false
AARS-APEX1	AARS	APEX1				true	false
AARS-APOBEC3C	AARS	APOBEC3C				true	false
AARS-AQR	AARS	AQR				true	false
AARS-BUD13	AARS	BUD13		false	false	true	false
AARS-CPEB4	AARS	CPEB4				true	false
AARS-CPSF6	AARS	CPSF6				true	false
AARS-CSTF2T	AARS	CSTF2T		false	false	true	false
AARS-DDX1	AARS	DDX1				true	false
AARS-DDX21	AARS	DDX21				true	false
AARS-DDX24	AARS	DDX24				true	false
AARS-DDX3X	AARS	DDX3X		false	false	true	false
AARS-DDX42	AARS	DDX42				true	false
AARS-DDX43	AARS	DDX43				true	false
AARS-DDX47	AARS	DDX47				true	false
AARS-DDX51	AARS	DDX51				true	false
AARS-DDX52	AARS	DDX52				true	false
AARS-DDX55	AARS	DDX55				true	false
AARS-DDX6	AARS	DDX6				true	false
AARS-DGCR8	AARS	DGCR8		false	false	true	false
AARS-DHX30	AARS	DHX30				true	false
AARS-DROSHA	AARS	DROSHA				true	false
AARS-EEF2	AARS	EEF2				true	false
AARS-EFTUD2	AARS	EFTUD2				true	false
AARS-EIF3G	AARS	EIF3G				true	false
AARS-EIF4E	AARS	EIF4E		false	false	true	false
AARS-EIF4G2	AARS	EIF4G2		false	false	true	false
AARS-ELAC2	AARS	ELAC2				true	false
AARS-ELAVL1	AARS	ELAVL1				true	false
AARS-EWSR1	AARS	EWSR1		false	false	true	false
AARS-EXOSC10	AARS	EXOSC10		false	false	true	false
AARS-EXOSC5	AARS	EXOSC5				true	false
AARS-FAM120A	AARS	FAM120A				true	false
AARS-FASTKD2	AARS	FASTKD2				true	false
AARS-FMR1	AARS	FMR1				true	false
AARS-FTO	AARS	FTO				true	false
AARS-FUS	AARS	FUS		false	false	true	false
AARS-FXR1	AARS	FXR1				true	false
AARS-FXR2	AARS	FXR2				true	false
AARS-GARS	AARS	GARS				true	false
AARS-GEMIN5	AARS	GEMIN5				true	false
AARS-GNL3	AARS	GNL3				true	false
AARS-GPKOW	AARS	GPKOW		false	false	true	false
AARS-GRWD1	AARS	GRWD1				true	false
AARS-GTF2F1	AARS	GTF2F1				true	false
AARS-HLTF	AARS	HLTF				true	false
AARS-HNRNPA1	AARS	HNRNPA1				true	false
AARS-HNRNPC	AARS	HNRNPC		false	false	true	false
AARS-HNRNPK	AARS	HNRNPK				true	false
AARS-HNRNPL	AARS	HNRNPL		false	false	true	false
AARS-HNRNPM	AARS	HNRNPM				true	false
AARS-HNRNPU	AARS	HNRNPU				true	false
AARS-HNRNPUL1	AARS	HNRNPUL1				true	false
AARS-IGF2BP1	AARS	IGF2BP1		false	false	true	false
AARS-IGF2BP2	AARS	IGF2BP2		false	false	true	false
AARS-ILF3	AARS	ILF3				true	false
AARS-KHDRBS1	AARS	KHDRBS1				true	false
AARS-KHSRP	AARS	KHSRP				true	false
AARS-LARP4	AARS	LARP4				true	false
AARS-LARP7	AARS	LARP7		false	false	true	false
AARS-LIN28B	AARS	LIN28B		false	false	true	false
AARS-LSM11	AARS	LSM11				true	false
AARS-MATR3	AARS	MATR3				true	false
AARS-MBNL1	AARS	MBNL1				true	false
AARS-METAP2	AARS	METAP2				true	false
AARS-METTL1	AARS	METTL1				true	false
AARS-MORC2	AARS	MORC2				true	false
AARS-MTPAP	AARS	MTPAP				true	false
AARS-NCBP2	AARS	NCBP2				true	false
