Cell Line	Feature	RBP	Position	(A) Significant & Bound	(B) Significant & Not Bound	(C) Not Significant & Bound	(D) Not Significant & Not Bound	(A*D / B*C) Odds Ratio	Log-Odds Ratio	Fisher's Exact Test P-Value	FDR BH
HepG2	AKAP1_1_binding	AKAP1	1	1	1082	13	21052	1.4966586094127683	0.17512274826785248	0.5044522568585404	1.0
HepG2	AKAP1_2_binding	AKAP1	2	3	1080	17	21048	3.43921568627451	0.5364594129320854	0.07150909542750153	0.4290545725650092
HepG2	AKAP1_3_binding	AKAP1	3	0	1083	16	21049	0.0	-inf	1.0	1.0
HepG2	AKAP1_4_binding	AKAP1	4	0	1083	23	21042	0.0	-inf	0.6265665461344168	1.0
HepG2	AKAP1_5_binding	AKAP1	5	1	1082	35	21030	0.5553208344335886	-0.25545603243450515	1.0	1.0
HepG2	AKAP1_6_binding	AKAP1	6	6	1077	148	20917	0.7873597831815102	-0.10382677190342901	0.7083471530551422	1.0
HepG2	AQR_1_binding	AQR	1	54	727	1282	21758	1.2606377157424673	0.10059029620051767	0.11322638379029654	0.5743665650453225
HepG2	AQR_2_binding	AQR	2	66	715	1954	21086	0.9961105424769703	-0.0016924634599922268	1.0	1.0
HepG2	AQR_3_binding	AQR	3	50	731	1490	21550	0.9892672536472057	-0.004686366537365296	1.0	1.0
HepG2	AQR_4_binding	AQR	4	43	738	1213	21827	1.048444247839016	0.02054534133485754	0.7446177440820588	1.0
HepG2	AQR_5_binding	AQR	5	93	688	1823	21217	1.573228546097029	0.19679181804532664	0.00012923420511859788	0.003068624955582026
HepG2	AQR_6_binding	AQR	6	38	743	959	22081	1.17759218117796	0.07099491343148408	0.3177996649147512	1.0
HepG2	BCCIP_1_binding	BCCIP	1	0	329	0	21886			1.0	1.0
HepG2	BCCIP_2_binding	BCCIP	2	0	329	7	21879	0.0	-inf	1.0	1.0
HepG2	BCCIP_3_binding	BCCIP	3	0	329	2	21884	0.0	-inf	1.0	1.0
HepG2	BCCIP_4_binding	BCCIP	4	0	329	0	21886			1.0	1.0
HepG2	BCCIP_5_binding	BCCIP	5	0	329	1	21885	0.0	-inf	1.0	1.0
HepG2	BCCIP_6_binding	BCCIP	6	0	329	2	21884	0.0	-inf	1.0	1.0
HepG2	BCLAF1_1_binding	BCLAF1	1	68	313	2365	18277	1.6789522387858073	0.22503834192315872	0.0002577576704899269	0.005230137459395607
