Cell Line	Data Mode	Feature	Zero Cutoff	% Non Zero
HepG2	Unique-Binding	CSTF2T_1_shap	0.001	0.4474026962567026
HepG2	Unique-Binding	AQR_1_shap	1e-05	99.89258952282684
HepG2	Unique-Binding	FASTKD2_1_shap	0.1	0.0
HepG2	Unique-Binding	EIF3H_1_shap	1e-08	10.855224208799202
HepG2	Unique-Binding	DKC1_1_shap	0.0001	0.22750723117779392
HepG2	Unique-Binding	AGGF1_1_shap	1e-10	0.03129281618430623
HepG2	Unique-Binding	AGGF1_1_shap	0.1	0.0
HepG2	Unique-Binding	DDX55_1_shap	1e-15	0.203826181092373
HepG2	Unique-Binding	DDX59_1_shap	1e-05	99.95686665877298
HepG2	Unique-Binding	CSTF2_1_shap	1e-15	0.06766014310120266
HepG2	Unique-Binding	FAM120A_1_shap	0.01	0.0
HepG2	Unique-Binding	EXOSC5_1_shap	1e-05	0.0
HepG2	Unique-Binding	DGCR8_1_shap	1e-10	0.30447064395541196
HepG2	Unique-Binding	BUD13_1_shap	0.05	0.0
HepG2	Unique-Binding	FUBP3_1_shap	1e-08	0.038058830494426495
HepG2	Unique-Binding	BCLAF1_1_shap	0.001	4.5755171772188294
HepG2	Unique-Binding	DKC1_1_shap	1e-15	0.22750723117779392
HepG2	Unique-Binding	FTO_1_shap	1e-15	0.5209831018792604
HepG2	Unique-Binding	DHX30_1_shap	1e-08	0.0
HepG2	Unique-Binding	BCLAF1_1_shap	1e-08	99.98900522674606
HepG2	Unique-Binding	CSTF2T_1_shap	0.0001	1.01490214651804
HepG2	Unique-Binding	BCCIP_1_shap	1e-08	0.0
HepG2	Unique-Binding	DDX52_1_shap	1e-07	0.0
HepG2	Unique-Binding	EIF3H_1_shap	1e-10	10.855224208799202
HepG2	Unique-Binding	DKC1_1_shap	1e-05	0.22750723117779392
HepG2	Unique-Binding	DGCR8_1_shap	1e-15	0.30447064395541196
HepG2	Unique-Binding	FASTKD2_1_shap	0.05	0.0
HepG2	Unique-Binding	DDX52_1_shap	0.1	0.0
HepG2	Unique-Binding	EXOSC5_1_shap	1e-06	0.0
HepG2	Unique-Binding	AGGF1_1_shap	0.0001	0.0076117660988853
HepG2	Unique-Binding	DDX59_1_shap	1e-06	100.0
HepG2	Unique-Binding	CDC40_1_shap	0.1	0.0
HepG2	Unique-Binding	FAM120A_1_shap	0.001	0.0
HepG2	Unique-Binding	AQR_1_shap	0.001	9.053772898729681
HepG2	Unique-Binding	DDX6_1_shap	1e-10	0.0
HepG2	Unique-Binding	BUD13_1_shap	0.01	0.3349177083509532
HepG2	Unique-Binding	EFTUD2_1_shap	0.0001	89.74272230585768
HepG2	Unique-Binding	CSTF2_1_shap	0.01	0.06766014310120266
HepG2	Unique-Binding	BCLAF1_1_shap	0.0001	35.122380283834296
HepG2	Unique-Binding	AQR_1_shap	1e-15	100.0
HepG2	Unique-Binding	DDX59_1_shap	0.05	0.0
HepG2	Unique-Binding	FKBP4_1_shap	0.1	0.0
HepG2	Unique-Binding	DROSHA_1_shap	1e-08	38.7312031664947
HepG2	Unique-Binding	CSTF2T_1_shap	1e-05	1.01997665725063
HepG2	Unique-Binding	EIF3H_1_shap	1e-15	10.855224208799202
HepG2	Unique-Binding	DKC1_1_shap	1e-06	0.22750723117779392
HepG2	Unique-Binding	AQR_1_shap	1e-06	99.98393071601348
HepG2	Unique-Binding	DDX6_1_shap	0.1	0.0
HepG2	Unique-Binding	DDX52_1_shap	0.05	0.0
HepG2	Unique-Binding	EXOSC5_1_shap	1e-07	0.0
HepG2	Unique-Binding	EFTUD2_1_shap	0.001	3.8836922140090326
HepG2	Unique-Binding	CDC40_1_shap	0.05	0.0
HepG2	Unique-Binding	FAM120A_1_shap	0.0001	0.0
HepG2	Unique-Binding	DDX3X_1_shap	0.001	42.68678428254876
HepG2	Unique-Binding	EFTUD2_1_shap	1e-05	99.98646797137975
HepG2	Unique-Binding	DDX6_1_shap	1e-15	0.0
HepG2	Unique-Binding	CSTF2T_1_shap	1e-06	1.01997665725063
HepG2	Unique-Binding	AKAP1_1_shap	1e-07	0.1302457754698151
HepG2	Unique-Binding	FKBP4_1_shap	0.05	0.0
HepG2	Unique-Binding	EIF3D_1_shap	0.1	0.0
HepG2	Unique-Binding	AKAP1_1_shap	0.1	0.0
HepG2	Unique-Binding	DKC1_1_shap	1e-07	0.22750723117779392
HepG2	Unique-Binding	DDX6_1_shap	0.05	0.0
HepG2	Unique-Binding	BCLAF1_1_shap	1e-05	95.37965797797663
HepG2	Unique-Binding	DDX52_1_shap	0.01	0.0
HepG2	Unique-Binding	EXOSC5_1_shap	1e-08	0.0
HepG2	Unique-Binding	DDX59_1_shap	1e-08	100.0
HepG2	Unique-Binding	FASTKD2_1_shap	0.001	0.0
HepG2	Unique-Binding	FAM120A_1_shap	1e-05	0.0
HepG2	Unique-Binding	CDC40_1_shap	0.001	0.29093861533517146
HepG2	Unique-Binding	CSTF2_1_shap	1e-06	0.06766014310120266
HepG2	Unique-Binding	EFTUD2_1_shap	1e-06	100.0
HepG2	Unique-Binding	CSTF2T_1_shap	1e-07	1.01997665725063
HepG2	Unique-Binding	CSTF2_1_shap	0.05	0.05328236269219709
HepG2	Unique-Binding	CSTF2_1_shap	0.001	0.06766014310120266
HepG2	Unique-Binding	DDX3X_1_shap	0.0001	99.63125222009845
HepG2	Unique-Binding	FKBP4_1_shap	0.01	0.0
HepG2	Unique-Binding	EIF3D_1_shap	0.05	0.0
HepG2	Unique-Binding	BCLAF1_1_shap	0.1	0.0
HepG2	Unique-Binding	DKC1_1_shap	1e-08	0.22750723117779392
HepG2	Unique-Binding	DDX6_1_shap	0.01	0.0
HepG2	Unique-Binding	BUD13_1_shap	1e-05	99.91373331754598
HepG2	Unique-Binding	BCCIP_1_shap	1e-10	0.0
HepG2	Unique-Binding	EXOSC5_1_shap	1e-10	0.0
HepG2	Unique-Binding	DDX52_1_shap	0.001	0.0
HepG2	Unique-Binding	FAM120A_1_shap	1e-06	0.0
HepG2	Unique-Binding	AKAP1_1_shap	0.05	0.0126862768314755
HepG2	Unique-Binding	DROSHA_1_shap	1e-07	38.7286659111284
HepG2	Unique-Binding	DDX59_1_shap	0.1	0.0
HepG2	Unique-Binding	FASTKD2_1_shap	0.0001	0.0
HepG2	Unique-Binding	DKC1_1_shap	0.05	0.0
HepG2	Unique-Binding	EFTUD2_1_shap	1e-07	100.0
HepG2	Unique-Binding	DROSHA_1_shap	0.001	0.23850200443173938
HepG2	Unique-Binding	DDX59_1_shap	1e-15	100.0
HepG2	Unique-Binding	BUD13_1_shap	0.0001	93.52154129805984
HepG2	Unique-Binding	CSTF2T_1_shap	1e-08	1.01997665725063
HepG2	Unique-Binding	DDX3X_1_shap	1e-05	99.9610954177168
HepG2	Unique-Binding	DKC1_1_shap	0.01	0.0033830071550601326
HepG2	Unique-Binding	AGGF1_1_shap	0.05	0.0
HepG2	Unique-Binding	CSTF2T_1_shap	1e-15	1.01997665725063
HepG2	Unique-Binding	EIF3D_1_shap	0.01	0.0
HepG2	Unique-Binding	DDX6_1_shap	0.001	0.0
HepG2	Unique-Binding	DDX52_1_shap	0.0001	0.0
HepG2	Unique-Binding	DKC1_1_shap	1e-10	0.22750723117779392
HepG2	Unique-Binding	DDX6_1_shap	1e-08	0.0
HepG2	Unique-Binding	EXOSC5_1_shap	1e-15	0.0
HepG2	Unique-Binding	FAM120A_1_shap	1e-07	0.0
HepG2	Unique-Binding	AKAP1_1_shap	0.01	0.07780916456638307
HepG2	Unique-Binding	AGGF1_1_shap	1e-08	0.03129281618430623
HepG2	Unique-Binding	DROSHA_1_shap	1e-06	38.717671137874454
HepG2	Unique-Binding	BCCIP_1_shap	1e-15	0.0
HepG2	Unique-Binding	FASTKD2_1_shap	1e-05	0.0
HepG2	Unique-Binding	EFTUD2_1_shap	1e-08	100.0
HepG2	Unique-Binding	DDX3X_1_shap	1e-06	99.9949254892674
HepG2	Unique-Binding	DHX30_1_shap	1e-15	0.0
HepG2	Unique-Binding	DDX52_1_shap	1e-05	0.0
HepG2	Unique-Binding	AGGF1_1_shap	0.01	0.0
HepG2	Unique-Binding	DDX55_1_shap	0.1	0.0
HepG2	Unique-Binding	EIF3D_1_shap	0.001	0.0
HepG2	Unique-Binding	DDX6_1_shap	0.0001	0.0
HepG2	Unique-Binding	DDX59_1_shap	1e-07	100.0
HepG2	Unique-Binding	BUD13_1_shap	1e-07	99.99830849642247
HepG2	Unique-Binding	DROSHA_1_shap	0.01	0.05751112163602226
HepG2	Unique-Binding	CDC40_1_shap	0.0001	0.29093861533517146
HepG2	Unique-Binding	EIF3H_1_shap	0.1	0.0
HepG2	Unique-Binding	FKBP4_1_shap	0.0001	0.0
HepG2	Unique-Binding	EFTUD2_1_shap	0.01	0.10318171822933406
HepG2	Unique-Binding	FAM120A_1_shap	1e-08	0.0
HepG2	Unique-Binding	AQR_1_shap	0.1	0.0
HepG2	Unique-Binding	EFTUD2_1_shap	1e-10	100.0
HepG2	Unique-Binding	FASTKD2_1_shap	1e-06	0.0
HepG2	Unique-Binding	DDX3X_1_shap	1e-07	99.99915424821123
HepG2	Unique-Binding	BCCIP_1_shap	0.001	0.0
HepG2	Unique-Binding	AKAP1_1_shap	0.001	0.1302457754698151
HepG2	Unique-Binding	DDX55_1_shap	0.05	0.0
HepG2	Unique-Binding	DDX6_1_shap	1e-05	0.0
HepG2	Unique-Binding	CDC40_1_shap	1e-05	0.29093861533517146
HepG2	Unique-Binding	EIF3D_1_shap	0.0001	0.0
HepG2	Unique-Binding	CSTF2T_1_shap	1e-10	1.01997665725063
HepG2	Unique-Binding	BUD13_1_shap	1e-08	100.0
HepG2	Unique-Binding	BCLAF1_1_shap	1e-10	100.0
HepG2	Unique-Binding	AGGF1_1_shap	0.001	0.0
HepG2	Unique-Binding	AGGF1_1_shap	1e-07	0.03129281618430623
HepG2	Unique-Binding	EIF3H_1_shap	0.05	0.0
HepG2	Unique-Binding	DGCR8_1_shap	0.05	0.0
HepG2	Unique-Binding	FAM120A_1_shap	1e-10	0.0
HepG2	Unique-Binding	FKBP4_1_shap	1e-05	0.0
HepG2	Unique-Binding	AQR_1_shap	0.05	0.0
HepG2	Unique-Binding	EFTUD2_1_shap	1e-15	100.0
HepG2	Unique-Binding	AQR_1_shap	1e-10	100.0
HepG2	Unique-Binding	DDX59_1_shap	0.01	0.08034641993267816
HepG2	Unique-Binding	DDX3X_1_shap	1e-08	100.0
HepG2	Unique-Binding	FASTKD2_1_shap	1e-07	0.0
HepG2	Unique-Binding	BCCIP_1_shap	0.01	0.0
HepG2	Unique-Binding	DDX55_1_shap	0.01	0.02875556081801113
HepG2	Unique-Binding	DHX30_1_shap	0.05	0.0
HepG2	Unique-Binding	DDX6_1_shap	1e-06	0.0
HepG2	Unique-Binding	CDC40_1_shap	1e-06	0.29093861533517146
HepG2	Unique-Binding	EIF3D_1_shap	1e-05	0.0
HepG2	Unique-Binding	AGGF1_1_shap	1e-15	0.03129281618430623
HepG2	Unique-Binding	BCLAF1_1_shap	1e-15	100.0
HepG2	Unique-Binding	BUD13_1_shap	1e-10	100.0
HepG2	Unique-Binding	EIF3H_1_shap	0.01	0.005920262521355232
HepG2	Unique-Binding	DGCR8_1_shap	0.01	0.13954904514623048
HepG2	Unique-Binding	FAM120A_1_shap	1e-15	0.0
HepG2	Unique-Binding	CSTF2_1_shap	0.0001	0.06766014310120266
HepG2	Unique-Binding	AQR_1_shap	0.01	0.17337911669683181
HepG2	Unique-Binding	FKBP4_1_shap	1e-06	0.0
HepG2	Unique-Binding	DDX52_1_shap	1e-08	0.0
HepG2	Unique-Binding	DROSHA_1_shap	0.1	0.0
HepG2	Unique-Binding	DDX3X_1_shap	1e-10	100.0
HepG2	Unique-Binding	AKAP1_1_shap	0.0001	0.1302457754698151
HepG2	Unique-Binding	DDX55_1_shap	0.001	0.1657673505979465
HepG2	Unique-Binding	FASTKD2_1_shap	1e-08	0.0
HepG2	Unique-Binding	DHX30_1_shap	0.01	0.0
HepG2	Unique-Binding	EIF3D_1_shap	1e-06	0.0
HepG2	Unique-Binding	CSTF2_1_shap	0.1	0.025372553662951
HepG2	Unique-Binding	BCCIP_1_shap	0.1	0.0
HepG2	Unique-Binding	EIF3H_1_shap	0.001	0.1759163720631269
HepG2	Unique-Binding	DROSHA_1_shap	0.0001	10.972783707437541
HepG2	Unique-Binding	DGCR8_1_shap	0.001	0.30447064395541196
HepG2	Unique-Binding	DKC1_1_shap	0.1	0.0
HepG2	Unique-Binding	EXOSC5_1_shap	0.1	0.0
HepG2	Unique-Binding	FTO_1_shap	1e-05	0.5209831018792604
HepG2	Unique-Binding	BCLAF1_1_shap	1e-07	99.90950455860215
HepG2	Unique-Binding	DROSHA_1_shap	0.05	0.0
HepG2	Unique-Binding	DDX3X_1_shap	1e-15	100.0
HepG2	Unique-Binding	FKBP4_1_shap	1e-07	0.0
HepG2	Unique-Binding	DDX52_1_shap	1e-10	0.0
HepG2	Unique-Binding	DDX52_1_shap	1e-06	0.0
HepG2	Unique-Binding	CDC40_1_shap	1e-08	0.29093861533517146
HepG2	Unique-Binding	CSTF2_1_shap	1e-05	0.06766014310120266
HepG2	Unique-Binding	DHX30_1_shap	0.001	0.0
HepG2	Unique-Binding	DDX6_1_shap	1e-07	0.0
HepG2	Unique-Binding	FASTKD2_1_shap	1e-10	0.0
HepG2	Unique-Binding	EIF3D_1_shap	1e-07	0.0
HepG2	Unique-Binding	DDX55_1_shap	0.0001	0.203826181092373
HepG2	Unique-Binding	EIF3H_1_shap	0.0001	0.712968757928923
HepG2	Unique-Binding	AQR_1_shap	1e-07	99.9949254892674
HepG2	Unique-Binding	AKAP1_1_shap	1e-05	0.1302457754698151
HepG2	Unique-Binding	DGCR8_1_shap	0.0001	0.30447064395541196
HepG2	Unique-Binding	EXOSC5_1_shap	0.05	0.0
HepG2	Unique-Binding	AGGF1_1_shap	1e-05	0.014377780409005565
HepG2	Unique-Binding	DDX55_1_shap	1e-06	0.203826181092373
HepG2	Unique-Binding	CDC40_1_shap	1e-07	0.29093861533517146
HepG2	Unique-Binding	FTO_1_shap	1e-06	0.5209831018792604
HepG2	Unique-Binding	AQR_1_shap	0.0001	97.36379167441939
HepG2	Unique-Binding	BUD13_1_shap	1e-06	99.98646797137975
HepG2	Unique-Binding	BUD13_1_shap	0.001	5.60225984877958
HepG2	Unique-Binding	FKBP4_1_shap	1e-08	0.0
HepG2	Unique-Binding	DROSHA_1_shap	1e-05	37.80341345421945
HepG2	Unique-Binding	DGCR8_1_shap	1e-07	0.30447064395541196
HepG2	Unique-Binding	DDX52_1_shap	1e-15	0.0
HepG2	Unique-Binding	DHX30_1_shap	0.0001	0.0
HepG2	Unique-Binding	DGCR8_1_shap	0.1	0.0
HepG2	Unique-Binding	BCCIP_1_shap	0.0001	0.0
HepG2	Unique-Binding	DDX55_1_shap	1e-05	0.203826181092373
HepG2	Unique-Binding	CSTF2T_1_shap	0.1	0.0
HepG2	Unique-Binding	CSTF2_1_shap	1e-07	0.06766014310120266
HepG2	Unique-Binding	FASTKD2_1_shap	1e-15	0.0
HepG2	Unique-Binding	EIF3D_1_shap	1e-08	0.0
HepG2	Unique-Binding	BCCIP_1_shap	0.05	0.0
HepG2	Unique-Binding	BUD13_1_shap	1e-15	100.0
HepG2	Unique-Binding	BCCIP_1_shap	1e-05	0.0
HepG2	Unique-Binding	AQR_1_shap	1e-08	100.0
HepG2	Unique-Binding	EIF3H_1_shap	1e-05	2.7859063921920195
HepG2	Unique-Binding	AKAP1_1_shap	1e-06	0.1302457754698151
HepG2	Unique-Binding	DGCR8_1_shap	1e-05	0.30447064395541196
HepG2	Unique-Binding	EXOSC5_1_shap	0.01	0.0
HepG2	Unique-Binding	DDX55_1_shap	1e-07	0.203826181092373
HepG2	Unique-Binding	DHX30_1_shap	0.1	0.0
HepG2	Unique-Binding	FTO_1_shap	1e-07	0.5209831018792604
HepG2	Unique-Binding	CDC40_1_shap	1e-10	0.29093861533517146
HepG2	Unique-Binding	AKAP1_1_shap	1e-08	0.1302457754698151
HepG2	Unique-Binding	CSTF2T_1_shap	0.05	0.0
HepG2	Unique-Binding	AKAP1_1_shap	1e-10	0.1302457754698151
HepG2	Unique-Binding	FKBP4_1_shap	1e-10	0.0
HepG2	Unique-Binding	DHX30_1_shap	1e-05	0.0
HepG2	Unique-Binding	DDX3X_1_shap	0.1	0.0
HepG2	Unique-Binding	EIF3D_1_shap	1e-10	0.0
HepG2	Unique-Binding	EFTUD2_1_shap	0.05	0.0
HepG2	Unique-Binding	AGGF1_1_shap	1e-06	0.03129281618430623
HepG2	Unique-Binding	DHX30_1_shap	1e-10	0.0
HepG2	Unique-Binding	DDX55_1_shap	1e-08	0.203826181092373
HepG2	Unique-Binding	FAM120A_1_shap	0.1	0.0
HepG2	Unique-Binding	EIF3H_1_shap	1e-06	7.419780442835637
HepG2	Unique-Binding	BCLAF1_1_shap	1e-06	99.32424432077673
HepG2	Unique-Binding	DDX59_1_shap	0.001	0.4203386390162215
HepG2	Unique-Binding	CSTF2_1_shap	1e-08	0.06766014310120266
HepG2	Unique-Binding	EXOSC5_1_shap	0.001	0.0
HepG2	Unique-Binding	DGCR8_1_shap	1e-06	0.30447064395541196
HepG2	Unique-Binding	DROSHA_1_shap	1e-10	38.7312031664947
HepG2	Unique-Binding	CDC40_1_shap	1e-15	0.29093861533517146
HepG2	Unique-Binding	BCLAF1_1_shap	0.05	0.0
HepG2	Unique-Binding	FTO_1_shap	1e-08	0.5209831018792604
HepG2	Unique-Binding	BCCIP_1_shap	1e-06	0.0
HepG2	Unique-Binding	DHX30_1_shap	1e-06	0.0
HepG2	Unique-Binding	DROSHA_1_shap	1e-15	38.7312031664947
HepG2	Unique-Binding	FKBP4_1_shap	1e-15	0.0
HepG2	Unique-Binding	DDX3X_1_shap	0.05	0.15984708807659126
HepG2	Unique-Binding	CDC40_1_shap	0.01	0.18099088279571712
HepG2	Unique-Binding	DDX59_1_shap	1e-10	100.0
HepG2	Unique-Binding	CSTF2T_1_shap	0.01	0.0033830071550601326
HepG2	Unique-Binding	EIF3D_1_shap	1e-15	0.0
HepG2	Unique-Binding	DDX59_1_shap	0.0001	17.463928686209172
HepG2	Unique-Binding	DDX55_1_shap	1e-10	0.203826181092373
HepG2	Unique-Binding	EIF3H_1_shap	1e-07	10.466178385967288
HepG2	Unique-Binding	CSTF2_1_shap	1e-10	0.06766014310120266
HepG2	Unique-Binding	FAM120A_1_shap	0.05	0.0
HepG2	Unique-Binding	EXOSC5_1_shap	0.0001	0.0
HepG2	Unique-Binding	EFTUD2_1_shap	0.1	0.0
HepG2	Unique-Binding	DKC1_1_shap	0.001	0.22750723117779392
HepG2	Unique-Binding	BUD13_1_shap	0.1	0.0
HepG2	Unique-Binding	BCLAF1_1_shap	0.01	0.11417649148327948
HepG2	Unique-Binding	AKAP1_1_shap	1e-15	0.1302457754698151
HepG2	Unique-Binding	DHX30_1_shap	1e-07	0.0
HepG2	Unique-Binding	DDX3X_1_shap	0.01	4.645714575686328
HepG2	Unique-Binding	FTO_1_shap	1e-10	0.5209831018792604
HepG2	Unique-Binding	DGCR8_1_shap	1e-08	0.30447064395541196
HepG2	Unique-Binding	BCCIP_1_shap	1e-07	0.0
HepG2	Unique-Binding	FKBP4_1_shap	0.001	0.0
HepG2	Unique-Binding	FUBP3_1_shap	0.01	0.019452291141595766
HepG2	Unique-Binding	FTO_1_shap	0.001	0.0786549163551481
HepG2	Unique-Binding	FTO_1_shap	0.01	0.0
