Cell Line	Feature	RBP	Position	(A) Significant & Bound	(B) Significant & Not Bound	(C) Not Significant & Bound	(D) Not Significant & Not Bound	(A*D / B*C) Odds Ratio	Log-Odds Ratio	Fisher's Exact Test P-Value	FDR BH
HepG2	AKAP1_1_binding	AKAP1	1	1	1436	13	20698	1.1087422326976644	0.04483059039706854	0.6091519999733273	1.0
HepG2	AKAP1_2_binding	AKAP1	2	3	1434	17	20694	2.546640413487571	0.4059676267606416	0.13663797142703626	0.5933384284535893
HepG2	AKAP1_3_binding	AKAP1	3	0	1437	16	20695	0.0	-inf	0.6203426125936745	1.0
HepG2	AKAP1_4_binding	AKAP1	4	0	1437	23	20688	0.0	-inf	0.39827625156780727	1.0
HepG2	AKAP1_5_binding	AKAP1	5	3	1434	33	20678	1.310891340180043	0.11756669450018113	0.505604023568404	1.0
HepG2	AKAP1_6_binding	AKAP1	6	12	1425	142	20569	1.2198072646404745	0.08629121549805228	0.5088925722570231	1.0
HepG2	AQR_1_binding	AQR	1	72	1049	1264	21436	1.164001882443798	0.06595368266291861	0.23091892085051363	0.7669807013963488
HepG2	AQR_2_binding	AQR	2	94	1027	1926	20774	0.9872366155342613	-0.00557874550128589	0.9562131081825636	1.0
HepG2	AQR_3_binding	AQR	3	72	1049	1468	21232	0.9927087689586294	-0.0031781418219808265	1.0	1.0
HepG2	AQR_4_binding	AQR	4	54	1067	1202	21498	0.9051549510578277	-0.04327706871846787	0.5376768222113875	1.0
HepG2	AQR_5_binding	AQR	5	117	1004	1799	20901	1.353904559638046	0.13158805084584146	0.003400319025286541	0.04361788542781356
HepG2	AQR_6_binding	AQR	6	42	1079	955	21745	0.8863064016031909	-0.05241611386740179	0.49209956615767625	1.0
HepG2	BCCIP_1_binding	BCCIP	1	0	540	0	21675			1.0	1.0
HepG2	BCCIP_2_binding	BCCIP	2	0	540	7	21668	0.0	-inf	1.0	1.0
HepG2	BCCIP_3_binding	BCCIP	3	0	540	2	21673	0.0	-inf	1.0	1.0
HepG2	BCCIP_4_binding	BCCIP	4	0	540	0	21675			1.0	1.0
HepG2	BCCIP_5_binding	BCCIP	5	0	540	1	21674	0.0	-inf	1.0	1.0
HepG2	BCCIP_6_binding	BCCIP	6	0	540	2	21673	0.0	-inf	1.0	1.0
HepG2	BCLAF1_1_binding	BCLAF1	1	82	458	2351	18132	1.380833947832289	0.1401414556415583	0.009553860627007284	0.09216341540595027
HepG2	BCLAF1_2_binding	BCLAF1	2	101	439	3022	17461	1.3293260207227484	0.12363150587645486	0.014033089114641139	0.12732461343040252
HepG2	BCLAF1_3_binding	BCLAF1	3	33	507	1969	18514	0.6120128260222802	-0.2132394762003011	0.004700878043825184	0.054647707259467763
HepG2	BCLAF1_4_binding	BCLAF1	4	43	497	2548	17935	0.6089954167706395	-0.21538597580507302	0.0014014196979598255	0.022342634041759506
HepG2	BCLAF1_5_binding	BCLAF1	5	79	461	2567	17916	1.1960280111240025	0.07774135100200014	0.14820973108709765	0.6189395338288504
HepG2	BCLAF1_6_binding	BCLAF1	6	97	443	3200	17283	1.182598053047404	0.07283715966945843	0.1499127139643605	0.6189395338288504
HepG2	BUD13_1_binding	BUD13	1	3	146	519	18824	0.7452688257185842	-0.12768704474526765	0.8011994405127372	1.0
HepG2	BUD13_2_binding	BUD13	2	1	148	503	18840	0.25307613776798665	-0.5967488019940262	0.19146059939641302	0.6892581578270869
HepG2	BUD13_3_binding	BUD13	3	2	147	467	18876	0.5499278940698336	-0.25969425097939536	0.5902858027995781	1.0
HepG2	BUD13_4_binding	BUD13	4	0	149	311	19032	0.0	-inf	0.18085854891283765	0.6847513228942403
HepG2	BUD13_5_binding	BUD13	5	5	144	617	18726	1.05382225823879	0.02276736725650383	0.8139659508590448	1.0
HepG2	BUD13_6_binding	BUD13	6	0	149	298	19045	0.0	-inf	0.17872591888708006	0.6847513228942403
HepG2	CSTF2T_1_binding	CSTF2T	1	0	108	58	16736	0.0	-inf	1.0	1.0
HepG2	CSTF2T_2_binding	CSTF2T	2	3	105	186	16608	2.5511520737327187	0.40673634760017185	0.12064069404523235	0.5609792273103305
HepG2	CSTF2T_3_binding	CSTF2T	3	0	108	49	16745	0.0	-inf	1.0	1.0
HepG2	CSTF2T_4_binding	CSTF2T	4	1	107	35	16759	4.475033377837116	0.6507962789271079	0.20626851931233003	0.7126800853020444
HepG2	CSTF2T_5_binding	CSTF2T	5	0	108	26	16768	0.0	-inf	1.0	1.0
HepG2	CSTF2T_6_binding	CSTF2T	6	0	108	34	16760	0.0	-inf	1.0	1.0
HepG2	CSTF2_1_binding	CSTF2	1	0	170	4	15448	0.0	-inf	1.0	1.0
