hash	name	seed	cell_line	n_jobs	objective	eval_metric	n_estimators	early_stopping_rounds	learning_rate	max_depth	min_child_weight	gamma	subsample	colsample_bytree	reg_alpha	reg_lambda	shap_expected_value	holdout_r2_score	l1_ratio	alpha
ajtg	XGBRegressor	17	HepG2	-1.0	reg:logistic	['rmse', 'logloss']	100000.0	100.0	0.1	5.0	100.0	0.5	0.75	0.75	0.0	0.5	1.592665195465088	0.2925524115562439		
btjy	XGBRegressor	17	HepG2	-1.0	reg:logistic	['rmse', 'logloss']	100000.0	100.0	0.1	5.0	100.0	0.5	0.75	0.75	0.2	10.0	1.5923242568969727	0.29168856143951416		
gufp	XGBRegressor	17	HepG2	-1.0	reg:logistic	['rmse', 'logloss']	100000.0	100.0	0.1	5.0	100.0	0.5	0.75	0.75	0.0	10.0	1.5926086902618408	0.29709678888320923		
jmhq	XGBRegressor	17	HepG2	-1.0	reg:logistic	['rmse', 'logloss']	100000.0	100.0	0.1	5.0	100.0	0.5	0.75	0.75	1.0	5.0	1.5927326679229736	0.29390227794647217		
juwg	XGBRegressor	17	HepG2	-1.0	reg:logistic	['rmse', 'logloss']	100000.0	100.0	0.1	5.0	100.0	0.5	0.75	0.75	0.8	0.5	1.5924322605133057	0.29400330781936646		
kzbv	XGBRegressor	17	K562	-1.0	reg:logistic	['rmse', 'logloss']	100000.0	100.0	0.01	5.0	50.0	1.0	0.75	0.25	0.0	10.0	1.6224664449691772	0.2779240012168884		
mzdv	XGBRegressor	17	K562	-1.0	reg:logistic	['rmse', 'logloss']	100000.0	100.0	0.01	5.0	50.0	1.0	0.75	0.25	1.0	10.0	1.6225529909133911	0.27506572008132935		
niwy	XGBRegressor	17	K562	-1.0	reg:logistic	['rmse', 'logloss']	100000.0	100.0	0.01	5.0	50.0	1.0	0.75	0.25	1.0	5.0	1.6225428581237793	0.2792508006095886		
nuyh	XGBRegressor	17	K562	-1.0	reg:logistic	['rmse', 'logloss']	100000.0	100.0	0.01	5.0	50.0	1.0	0.75	0.25	0.8	0.1	1.6224966049194336	0.27730274200439453		
oodr	XGBRegressor	17	K562	-1.0	reg:logistic	['rmse', 'logloss']	100000.0	100.0	0.01	5.0	50.0	1.0	0.75	0.25	0.0	1.0	1.6225807666778564	0.2764347195625305		
oynj	ElasticNet	17	HepG2															0.18792327648974794	1.0	0.0001
phat	ElasticNet	17	HepG2															0.18802640331187437	0.9	0.0001
qicy	ElasticNet	17	HepG2															0.18805490453444373	0.75	0.0001
sibz	ElasticNet	17	HepG2															0.18554832679719624	0.25	0.0005
tsrc	ElasticNet	17	HepG2															0.18505293417060387	0.1	0.001
vxaj	ElasticNet	17	K562															0.17762898405759042	0.1	0.001
wdso	ElasticNet	17	K562															0.1772932010957895	0.25	0.0005
xaor	ElasticNet	17	K562															0.177809480210123	1.0	0.0001
xiix	ElasticNet	17	K562															0.17774612781260235	0.9	0.0001
yfow	ElasticNet	17	K562															0.17826593750047726	0.1	0.0005
