Cell Line	Percentile	Value
HepG2	0	0.0
HepG2	11	0.0
HepG2	22	0.0
HepG2	33	0.0
HepG2	44	2.93304174192599e-06
HepG2	55	4.8059704568004236e-05
HepG2	66	0.0001899805647553876
HepG2	77	0.0007047522813081741
HepG2	88	0.002582242013886571
HepG2	99	0.03682261027395728
K562	0	0.0
K562	11	0.0
K562	22	0.0
K562	33	1.7203149695892104e-07
K562	44	6.658177881035954e-06
K562	55	2.7405531000113115e-05
K562	66	0.00011517890961840768
K562	77	0.0004152621724642816
K562	88	0.0019972042180597775
K562	99	0.03274445533752457
