Cell Line	Percentile	Value
HepG2	0	0.0
HepG2	11	0.002404233440756798
HepG2	22	0.015962058678269386
HepG2	33	0.04728418588638306
HepG2	44	0.08578629761934282
HepG2	55	0.13465938568115238
HepG2	66	0.20601969838142398
HepG2	77	0.3722662091255189
HepG2	88	0.8430047178268433
HepG2	99	1.7057449817657466
K562	0	0.0
K562	11	0.003104698355309665
K562	22	0.01105544418096542
K562	33	0.03210140019655228
K562	44	0.07452494204044341
K562	55	0.13495929092168807
K562	66	0.21254054427146912
K562	77	0.40177590131759666
K562	88	0.8823803949356077
K562	99	1.4654812383651727
