Cell Line	Data Mode	Feature	Zero Cutoff	% Non Zero
HepG2	Unique-Binding	AGGF1_1_shap	1e-15	0.0
HepG2	Unique-Binding	AGGF1_1_shap	1e-10	0.0
HepG2	Unique-Binding	AGGF1_1_shap	1e-08	0.0
HepG2	Unique-Binding	AGGF1_1_shap	1e-07	0.0
HepG2	Unique-Binding	AGGF1_1_shap	1e-06	0.0
HepG2	Unique-Binding	AGGF1_1_shap	1e-05	0.0
HepG2	Unique-Binding	AGGF1_1_shap	0.0001	0.0
HepG2	Unique-Binding	AGGF1_1_shap	0.001	0.0
HepG2	Unique-Binding	AGGF1_1_shap	0.01	0.0
HepG2	Unique-Binding	AGGF1_1_shap	0.05	0.0
HepG2	Unique-Binding	AGGF1_1_shap	0.1	0.0
HepG2	Unique-Binding	AGGF1_2_shap	1e-15	0.0
HepG2	Unique-Binding	AGGF1_2_shap	1e-10	0.0
HepG2	Unique-Binding	AGGF1_2_shap	1e-08	0.0
HepG2	Unique-Binding	AGGF1_2_shap	1e-07	0.0
HepG2	Unique-Binding	AGGF1_2_shap	1e-06	0.0
HepG2	Unique-Binding	AGGF1_2_shap	1e-05	0.0
HepG2	Unique-Binding	AGGF1_2_shap	0.0001	0.0
HepG2	Unique-Binding	AGGF1_2_shap	0.001	0.0
HepG2	Unique-Binding	AGGF1_2_shap	0.01	0.0
HepG2	Unique-Binding	AGGF1_2_shap	0.05	0.0
HepG2	Unique-Binding	AGGF1_2_shap	0.1	0.0
HepG2	Unique-Binding	AGGF1_3_shap	1e-15	100.0
HepG2	Unique-Binding	AGGF1_3_shap	1e-10	100.0
HepG2	Unique-Binding	AGGF1_3_shap	1e-08	100.0
HepG2	Unique-Binding	AGGF1_3_shap	1e-07	100.0
HepG2	Unique-Binding	AGGF1_3_shap	1e-06	100.0
HepG2	Unique-Binding	AGGF1_3_shap	1e-05	100.0
HepG2	Unique-Binding	AGGF1_3_shap	0.0001	100.0
HepG2	Unique-Binding	AGGF1_3_shap	0.001	21.6308864265928
HepG2	Unique-Binding	AGGF1_3_shap	0.01	0.24757617728531855
HepG2	Unique-Binding	AGGF1_3_shap	0.05	0.24757617728531855
HepG2	Unique-Binding	AGGF1_3_shap	0.1	0.24757617728531855
HepG2	Unique-Binding	AGGF1_4_shap	1e-15	0.0
HepG2	Unique-Binding	AGGF1_4_shap	1e-10	0.0
HepG2	Unique-Binding	AGGF1_4_shap	1e-08	0.0
HepG2	Unique-Binding	AGGF1_4_shap	1e-07	0.0
HepG2	Unique-Binding	AGGF1_4_shap	1e-06	0.0
HepG2	Unique-Binding	AGGF1_4_shap	1e-05	0.0
HepG2	Unique-Binding	AGGF1_4_shap	0.0001	0.0
HepG2	Unique-Binding	AGGF1_4_shap	0.001	0.0
HepG2	Unique-Binding	AGGF1_4_shap	0.01	0.0
HepG2	Unique-Binding	AGGF1_4_shap	0.05	0.0
HepG2	Unique-Binding	AGGF1_4_shap	0.1	0.0
HepG2	Unique-Binding	AGGF1_5_shap	1e-15	100.0
HepG2	Unique-Binding	AGGF1_5_shap	1e-10	100.0
HepG2	Unique-Binding	AGGF1_5_shap	1e-08	100.0
HepG2	Unique-Binding	AGGF1_5_shap	1e-07	100.0
HepG2	Unique-Binding	AGGF1_5_shap	1e-06	100.0
HepG2	Unique-Binding	AGGF1_5_shap	1e-05	100.0
HepG2	Unique-Binding	AGGF1_5_shap	0.0001	0.2995152354570637
HepG2	Unique-Binding	AGGF1_5_shap	0.001	0.2995152354570637
HepG2	Unique-Binding	AGGF1_5_shap	0.01	0.2995152354570637
HepG2	Unique-Binding	AGGF1_5_shap	0.05	0.015581717451523544
HepG2	Unique-Binding	AGGF1_5_shap	0.1	0.0
HepG2	Unique-Binding	AGGF1_6_shap	1e-15	100.0
HepG2	Unique-Binding	AGGF1_6_shap	1e-10	100.0
HepG2	Unique-Binding	AGGF1_6_shap	1e-08	100.0
HepG2	Unique-Binding	AGGF1_6_shap	1e-07	100.0
HepG2	Unique-Binding	AGGF1_6_shap	1e-06	100.0
HepG2	Unique-Binding	AGGF1_6_shap	1e-05	96.12534626038781
HepG2	Unique-Binding	AGGF1_6_shap	0.0001	5.855263157894737
HepG2	Unique-Binding	AGGF1_6_shap	0.001	0.33154432132963985
HepG2	Unique-Binding	AGGF1_6_shap	0.01	0.08743074792243767
HepG2	Unique-Binding	AGGF1_6_shap	0.05	0.0
HepG2	Unique-Binding	AGGF1_6_shap	0.1	0.0
HepG2	Unique-Binding	AKAP1_1_shap	1e-15	100.0
HepG2	Unique-Binding	AKAP1_1_shap	1e-10	100.0
HepG2	Unique-Binding	AKAP1_1_shap	1e-08	100.0
HepG2	Unique-Binding	AKAP1_1_shap	1e-07	100.0
HepG2	Unique-Binding	AKAP1_1_shap	1e-06	100.0
HepG2	Unique-Binding	AKAP1_1_shap	1e-05	100.0
HepG2	Unique-Binding	AKAP1_1_shap	0.0001	100.0
HepG2	Unique-Binding	AKAP1_1_shap	0.001	0.12292243767313019
HepG2	Unique-Binding	AKAP1_1_shap	0.01	0.12292243767313019
HepG2	Unique-Binding	AKAP1_1_shap	0.05	0.12292243767313019
HepG2	Unique-Binding	AKAP1_1_shap	0.1	0.12292243767313019
HepG2	Unique-Binding	AKAP1_2_shap	1e-15	0.0
HepG2	Unique-Binding	AKAP1_2_shap	1e-10	0.0
HepG2	Unique-Binding	AKAP1_2_shap	1e-08	0.0
HepG2	Unique-Binding	AKAP1_2_shap	1e-07	0.0
HepG2	Unique-Binding	AKAP1_2_shap	1e-06	0.0
HepG2	Unique-Binding	AKAP1_2_shap	1e-05	0.0
HepG2	Unique-Binding	AKAP1_2_shap	0.0001	0.0
HepG2	Unique-Binding	AKAP1_2_shap	0.001	0.0
HepG2	Unique-Binding	AKAP1_2_shap	0.01	0.0
HepG2	Unique-Binding	AKAP1_2_shap	0.05	0.0
HepG2	Unique-Binding	AKAP1_2_shap	0.1	0.0
HepG2	Unique-Binding	AKAP1_3_shap	1e-15	0.0
HepG2	Unique-Binding	AKAP1_3_shap	1e-10	0.0
HepG2	Unique-Binding	AKAP1_3_shap	1e-08	0.0
HepG2	Unique-Binding	AKAP1_3_shap	1e-07	0.0
HepG2	Unique-Binding	AKAP1_3_shap	1e-06	0.0
HepG2	Unique-Binding	AKAP1_3_shap	1e-05	0.0
HepG2	Unique-Binding	AKAP1_3_shap	0.0001	0.0
HepG2	Unique-Binding	AKAP1_3_shap	0.001	0.0
HepG2	Unique-Binding	AKAP1_3_shap	0.01	0.0
HepG2	Unique-Binding	AKAP1_3_shap	0.05	0.0
HepG2	Unique-Binding	AKAP1_3_shap	0.1	0.0
HepG2	Unique-Binding	AKAP1_4_shap	1e-15	0.0
HepG2	Unique-Binding	AKAP1_4_shap	1e-10	0.0
HepG2	Unique-Binding	AKAP1_4_shap	1e-08	0.0
HepG2	Unique-Binding	AKAP1_4_shap	1e-07	0.0
HepG2	Unique-Binding	AKAP1_4_shap	1e-06	0.0
HepG2	Unique-Binding	AKAP1_4_shap	1e-05	0.0
HepG2	Unique-Binding	AKAP1_4_shap	0.0001	0.0
HepG2	Unique-Binding	AKAP1_4_shap	0.001	0.0
HepG2	Unique-Binding	AKAP1_4_shap	0.01	0.0
HepG2	Unique-Binding	AKAP1_4_shap	0.05	0.0
HepG2	Unique-Binding	AKAP1_4_shap	0.1	0.0
HepG2	Unique-Binding	AKAP1_5_shap	1e-15	0.0
HepG2	Unique-Binding	AKAP1_5_shap	1e-10	0.0
HepG2	Unique-Binding	AKAP1_5_shap	1e-08	0.0
HepG2	Unique-Binding	AKAP1_5_shap	1e-07	0.0
HepG2	Unique-Binding	AKAP1_5_shap	1e-06	0.0
HepG2	Unique-Binding	AKAP1_5_shap	1e-05	0.0
HepG2	Unique-Binding	AKAP1_5_shap	0.0001	0.0
HepG2	Unique-Binding	AKAP1_5_shap	0.001	0.0
HepG2	Unique-Binding	AKAP1_5_shap	0.01	0.0
HepG2	Unique-Binding	AKAP1_5_shap	0.05	0.0
HepG2	Unique-Binding	AKAP1_5_shap	0.1	0.0
HepG2	Unique-Binding	AKAP1_6_shap	1e-15	100.0
HepG2	Unique-Binding	AKAP1_6_shap	1e-10	100.0
HepG2	Unique-Binding	AKAP1_6_shap	1e-08	100.0
HepG2	Unique-Binding	AKAP1_6_shap	1e-07	100.0
HepG2	Unique-Binding	AKAP1_6_shap	1e-06	100.0
HepG2	Unique-Binding	AKAP1_6_shap	1e-05	100.0
HepG2	Unique-Binding	AKAP1_6_shap	0.0001	67.79864958448753
HepG2	Unique-Binding	AKAP1_6_shap	0.001	24.606994459833796
HepG2	Unique-Binding	AKAP1_6_shap	0.01	0.7487880886426592
HepG2	Unique-Binding	AKAP1_6_shap	0.05	0.4613919667590028
HepG2	Unique-Binding	AKAP1_6_shap	0.1	0.11426592797783934
HepG2	Unique-Binding	AQR_1_shap	1e-15	100.0
