RBP	Cell Line	Position	Positional Preference (%)	Avg. SHAP
AARS	K562	1	30.04206331636042	0.0
AARS	K562	2	9.608147000221386	0.0
AARS	K562	3	29.577152977640026	0.0
AARS	K562	4	8.545494797431925	0.0
AARS	K562	5	22.227141908346248	0.0
AATF	K562	1	14.54644544023253	0.0005808766619395877
AATF	K562	2	19.39808647208429	0.0060460936466465364
AATF	K562	3	23.579992733438296	0.03592125069347106
AATF	K562	4	13.042267167252028	-0.1626498977991118
AATF	K562	5	18.080416616204435	0.010500368758113056
AATF	K562	6	11.35279157078842	6.719437095386595e-06
ABCF1	K562	1	27.280727486066297	0.0
ABCF1	K562	2	30.360809621589908	0.0
ABCF1	K562	3	22.939278380756818	0.0
ABCF1	K562	4	15.459078908770902	0.0
ABCF1	K562	5	0.9680258140217073	0.0
ABCF1	K562	6	2.992079788794368	0.0
ADAT1	K562	1	6.358659110556141	0.0
ADAT1	K562	2	12.189030832773028	0.0
ADAT1	K562	3	3.947747574680626	0.0
ADAT1	K562	4	4.61050811641533	0.0
ADAT1	K562	5	13.946787052156374	0.07980516459792852
ADAT1	K562	6	58.94726731341849	0.588917592074722
AGGF1	HepG2	1	10.976191612195239	0.0
AGGF1	K562	1	9.7393448397323	-0.000606328668349885
AGGF1	HepG2	2	23.35989312467198	0.0
AGGF1	K562	2	20.095103909827404	0.035933678780158664
AGGF1	HepG2	3	12.331218092466244	-0.5804436772644936
AGGF1	K562	3	14.590147436219997	-0.4859750053257618
AGGF1	HepG2	4	16.944987833388996	0.0
AGGF1	K562	4	19.722739395159262	-0.11432018957305595
AGGF1	HepG2	5	15.78081015315616	0.03603889387251669
AGGF1	K562	5	16.498515573894228	-0.009366043390263246
AGGF1	HepG2	6	20.60689918412138	-0.006862325767087896
AGGF1	K562	6	19.35414884516681	-0.00642312385521854
AKAP1	HepG2	1	5.895777107477378	0.403092815842427
AKAP1	K562	1	9.342710775375531	0.0
AKAP1	HepG2	2	8.296951897126528	0.0
AKAP1	K562	2	9.334027958669793	0.0
AKAP1	HepG2	3	5.5167486902682965	0.0
AKAP1	K562	3	8.691499522445081	-0.0019723499647591744
AKAP1	HepG2	4	6.3641054135577075	0.0
AKAP1	K562	4	6.338456195189719	0.0
AKAP1	HepG2	5	12.934592792506747	0.0
AKAP1	K562	5	13.102370408960667	0.0
AKAP1	HepG2	6	60.991824099063344	-0.044941537661483504
AKAP1	K562	6	53.190935139359205	-0.6447181207834235
AKAP8L	K562	1	12.813660733793844	-0.015857008768437916
AKAP8L	K562	2	41.04102589959495	-0.0008703798433399505
AKAP8L	K562	3	15.062438024168474	-0.009252608487118145
AKAP8L	K562	4	12.08423670986067	8.469167555574586e-05
AKAP8L	K562	5	11.611959864871677	-0.0006793858329975009
AKAP8L	K562	6	7.386678767710382	0.0
APEX1	K562	1	30.844382414515003	0.0
APEX1	K562	2	25.65712956501512	0.0
APEX1	K562	3	25.540823447313326	0.0
APEX1	K562	4	4.000930448941614	0.0
APEX1	K562	5	6.699232379623169	0.0
APEX1	K562	6	7.257501744591766	0.0
APOBEC3C	K562	1	9.979176084362795	-0.11793670354332132
APOBEC3C	K562	2	13.599276720937297	-0.004009261605642235
APOBEC3C	K562	3	13.23763718958656	0.029881113463157718
APOBEC3C	K562	4	11.629526978457251	-0.0024212065876660274
APOBEC3C	K562	5	24.933859983251942	-0.015329641654946803
APOBEC3C	K562	6	26.620523043404155	-0.020847727857960935
AQR	HepG2	1	14.105082207927344	-0.06848996581329327
AQR	K562	1	6.642972479806575	-0.016039169479387026
AQR	HepG2	2	22.644947315179778	-0.17702699556813217
AQR	K562	2	32.30690317655661	-0.23183257767311366
AQR	HepG2	3	16.49439283780562	0.912755211176452
AQR	K562	3	8.342043851824386	0.5177471288268317
AQR	HepG2	4	13.855416988821325	0.5869931206167334
AQR	K562	4	22.821243133667753	1.0292456501520604
AQR	HepG2	5	21.747222042731636	-0.15067441382635802
AQR	K562	5	9.34488072186471	-0.3816079053668225
AQR	HepG2	6	11.152938607534297	-0.10367128458974191
AQR	K562	6	20.541956636279966	-0.0005466928278564456
BCCIP	HepG2	1	13.300861745972275	0.0
BCCIP	HepG2	2	40.20232296740352	0.0
BCCIP	HepG2	3	19.932559010865493	0.0
BCCIP	HepG2	4	0.9366804046459348	0.0
BCCIP	HepG2	5	11.35256650430873	0.0
BCCIP	HepG2	6	14.275009366804046	0.0
BCLAF1	HepG2	1	15.007102756076108	-0.024509654163886754
BCLAF1	HepG2	2	19.250522117899145	-0.11299844380869302
BCLAF1	HepG2	3	12.425903480048966	1.1958039377726455
BCLAF1	HepG2	4	16.15204348891054	1.2499012653314057
BCLAF1	HepG2	5	16.508832428654415	-0.08279812337332801
BCLAF1	HepG2	6	20.655595728410823	-0.0841444294882393
BUD13	HepG2	1	18.47065064772518	-0.000354534578267184
BUD13	K562	1	18.418218992626283	0.1198398045618544
BUD13	HepG2	2	18.036557240608143	-0.0021659522357454462
BUD13	K562	2	16.249385113308456	-0.1343527564656814
BUD13	HepG2	3	17.91965539368603	0.6812607716347711
BUD13	K562	3	18.228966257727254	0.824750914376847
BUD13	HepG2	4	11.5801127086285	0.036881563178328775
BUD13	K562	4	10.879569631646701	0.3738327373463
BUD13	HepG2	5	22.993449684555614	-0.16227119557528488
BUD13	K562	5	25.281739696838546	-0.0856955264884223
BUD13	HepG2	6	10.999574324796534	-0.06876208716434845
BUD13	K562	6	10.942120307852758	-0.01620900528834852
CDC40	HepG2	1	11.925389666904026	-0.09885289671635905
CDC40	HepG2	2	36.56737083630034	0.0
CDC40	HepG2	3	10.261887807579713	0.0
CDC40	HepG2	4	17.53105467204684	0.6837205655898425
CDC40	HepG2	5	10.352876018672363	0.0
CDC40	HepG2	6	13.361420998496717	-0.004801296784426086
CPEB4	K562	1	3.248730964467005	0.0
CPEB4	K562	2	14.31472081218274	-0.22518947815641444
CPEB4	K562	3	7.93570219966159	0.0
CPEB4	K562	4	11.912013536379018	0.0
CPEB4	K562	5	4.974619289340102	0.0
CPEB4	K562	6	57.61421319796954	-0.03408335051440363
CPSF6	K562	1	9.513991476517914	-0.06076036211088649
CPSF6	K562	2	14.95541644968276	-0.020291669799841126
CPSF6	K562	3	12.500398541868151	0.19449363830890365
CPSF6	K562	4	14.822569160298855	-0.10949699558227895
CPSF6	K562	5	18.176697522663748	0.1468677520705387
CPSF6	K562	6	30.030926848968576	-0.0024102434241069157
CSTF2	HepG2	1	6.451612903225806	0.0
CSTF2	HepG2	2	2.518104015799868	0.0
CSTF2	HepG2	3	7.946017116524029	0.0
CSTF2	HepG2	4	4.275839368005267	0.0
CSTF2	HepG2	5	3.558262014483213	0.0
CSTF2	HepG2	6	75.25016458196183	-0.013997103430018795
