Cell Line	Feature	RBP	Position	Avg. SHAP	Avg. |SHAP|	Activity Score
HepG2	AGGF1_1	AGGF1	1	0.0	0.0	
HepG2	AGGF1_2	AGGF1	2	0.0	0.0	
HepG2	AGGF1_3	AGGF1	3	-0.5804436772644936	0.5804436772644936	
HepG2	AGGF1_4	AGGF1	4	0.0	0.0	
HepG2	AGGF1_5	AGGF1	5	0.03603889387251669	0.03603889387251669	
HepG2	AGGF1_6	AGGF1	6	-0.006862325767087896	0.006862325767087896	
HepG2	AKAP1_1	AKAP1	1	0.403092815842427	0.403092815842427	
HepG2	AKAP1_2	AKAP1	2	0.0	0.0	
HepG2	AKAP1_3	AKAP1	3	0.0	0.0	
HepG2	AKAP1_4	AKAP1	4	0.0	0.0	
HepG2	AKAP1_5	AKAP1	5	0.0	0.0	
HepG2	AKAP1_6	AKAP1	6	-0.044941537661483504	0.044941537661483504	0.5
HepG2	AQR_1	AQR	1	-0.06848996581329327	0.06870785715881303	0.3734939759036144
HepG2	AQR_2	AQR	2	-0.17702699556813217	0.17842207479237426	0.1546391752577319
HepG2	AQR_3	AQR	3	0.912755211176452	0.9127730408129848	0.5064935064935064
HepG2	AQR_4	AQR	4	0.5869931206167334	0.5873544296925323	0.4642857142857143
HepG2	AQR_5	AQR	5	-0.15067441382635802	0.15163821554739734	0.3870967741935484
HepG2	AQR_6	AQR	6	-0.10367128458974191	0.10367834731041717	0.375
HepG2	BCCIP_1	BCCIP	1	0.0	0.0	
HepG2	BCCIP_2	BCCIP	2	0.0	0.0	
HepG2	BCCIP_3	BCCIP	3	0.0	0.0	
HepG2	BCCIP_4	BCCIP	4	0.0	0.0	
HepG2	BCCIP_5	BCCIP	5	0.0	0.0	
HepG2	BCCIP_6	BCCIP	6	0.0	0.0	
HepG2	BCLAF1_1	BCLAF1	1	-0.024509654163886754	0.02702874249282129	0.0975609756097561
HepG2	BCLAF1_2	BCLAF1	2	-0.11299844380869302	0.11306393229425629	0.1923076923076923
HepG2	BCLAF1_3	BCLAF1	3	1.1958039377726455	1.1958039377726455	0.2571428571428571
HepG2	BCLAF1_4	BCLAF1	4	1.2499012653314057	1.2499066015386924	0.4666666666666667
HepG2	BCLAF1_5	BCLAF1	5	-0.08279812337332801	0.08321883792503919	0.1358024691358024
HepG2	BCLAF1_6	BCLAF1	6	-0.0841444294882393	0.0842329137132818	0.12
HepG2	BUD13_1	BUD13	1	-0.000354534578267184	0.0029306141355326765	
HepG2	BUD13_2	BUD13	2	-0.0021659522357454462	0.011728963814266025	
HepG2	BUD13_3	BUD13	3	0.6812607716347711	0.6812607716347711	
HepG2	BUD13_4	BUD13	4	0.036881563178328775	0.07268861369079588	
HepG2	BUD13_5	BUD13	5	-0.16227119557528488	0.1625059490194073	
HepG2	BUD13_6	BUD13	6	-0.06876208716434845	0.06876208716434845	
HepG2	CDC40_1	CDC40	1	-0.09885289671635905	0.09885289671635905	
HepG2	CDC40_2	CDC40	2	0.0	0.0	
HepG2	CDC40_3	CDC40	3	0.0	0.0	
HepG2	CDC40_4	CDC40	4	0.6837205655898425	0.6837205655898425	
HepG2	CDC40_5	CDC40	5	0.0	0.0	
HepG2	CDC40_6	CDC40	6	-0.004801296784426086	0.004801296784426086	
HepG2	CSTF2_1	CSTF2	1	0.0	0.0	
HepG2	CSTF2_2	CSTF2	2	0.0	0.0	
HepG2	CSTF2_3	CSTF2	3	0.0	0.0	
HepG2	CSTF2_4	CSTF2	4	0.0	0.0	
HepG2	CSTF2_5	CSTF2	5	0.0	0.0	
HepG2	CSTF2_6	CSTF2	6	-0.013997103430018795	0.013997103430018795	
HepG2	CSTF2T_1	CSTF2T	1	0.00672430110410571	0.00672430110410571	
HepG2	CSTF2T_2	CSTF2T	2	0.011538568647388335	0.02884572030242424	
HepG2	CSTF2T_3	CSTF2T	3	-0.23711133636534215	0.23711133636534215	
HepG2	CSTF2T_4	CSTF2T	4	-0.018563943150568484	0.018563943150568484	
HepG2	CSTF2T_5	CSTF2T	5	0.0008033707536685103	0.018924988334818447	
HepG2	CSTF2T_6	CSTF2T	6	-0.08643001625624189	0.08643001625624189	
HepG2	DDX3X_1	DDX3X	1	-0.11027128446914101	0.11043197547924563	0.2727272727272727
HepG2	DDX3X_2	DDX3X	2	-0.09813055136032665	0.10220745390130587	0.5619047619047619
HepG2	DDX3X_3	DDX3X	3	0.998556550464883	0.998588019428221	0.3684210526315789
HepG2	DDX3X_4	DDX3X	4	0.4594515556837303	0.4594515556837303	0.4782608695652174
HepG2	DDX3X_5	DDX3X	5	-1.2013146649371642	1.2013146649371642	0.4
HepG2	DDX3X_6	DDX3X	6	-0.6443455676279307	0.6443455676279307	0.6
HepG2	DDX52_1	DDX52	1	0.0	0.0	
HepG2	DDX52_2	DDX52	2	0.0	0.0	
HepG2	DDX52_3	DDX52	3	0.0	0.0	
HepG2	DDX52_4	DDX52	4	0.0	0.0	
HepG2	DDX52_5	DDX52	5	0.0	0.0	
HepG2	DDX52_6	DDX52	6	0.0	0.0	
HepG2	DDX55_1	DDX55	1	-0.41224489609400433	0.41224489609400433	
HepG2	DDX55_2	DDX55	2	-0.5646834690650508	0.5646834690650508	
HepG2	DDX55_3	DDX55	3	0.0	0.0	
HepG2	DDX55_4	DDX55	4	0.0	0.0	
HepG2	DDX55_5	DDX55	5	0.23607705042140031	0.23607705042140031	
HepG2	DDX55_6	DDX55	6	-0.006238035480530302	0.007864025254888654	
HepG2	DDX59_1	DDX59	1	-0.0323174678672008	0.0323174678672008	
HepG2	DDX59_2	DDX59	2	-0.0021850879494321627	0.0021850879494321627	
HepG2	DDX59_3	DDX59	3	-0.0886720284102005	0.09613692766064327	
HepG2	DDX59_4	DDX59	4	0.003127069849657643	0.003127069849657643	
HepG2	DDX59_5	DDX59	5	0.0	0.0	
HepG2	DDX59_6	DDX59	6	0.08681063707275637	0.08681063707275637	
HepG2	DDX6_1	DDX6	1	0.0	0.0	
HepG2	DDX6_2	DDX6	2	0.0	0.0	
HepG2	DDX6_3	DDX6	3	-0.5017086684703826	0.5017086684703826	
HepG2	DDX6_4	DDX6	4	0.0	0.0	
HepG2	DDX6_5	DDX6	5	0.0	0.0	
HepG2	DDX6_6	DDX6	6	0.0	0.0	
