Feature	Cell Line	RBP	Position	Avg. |SHAP|
AARS_1	K562	AARS	1	0.0
AARS_2	K562	AARS	2	0.0
AARS_3	K562	AARS	3	0.0
AARS_4	K562	AARS	4	0.0
AARS_5	K562	AARS	5	0.0
AARS_6	K562	AARS	6	
AATF_1	K562	AATF	1	0.0006007607160267049
AATF_2	K562	AATF	2	0.015256180324460602
AATF_3	K562	AATF	3	0.03695929116083972
AATF_4	K562	AATF	4	0.1626498977991118
AATF_5	K562	AATF	5	0.01666554911458765
AATF_6	K562	AATF	6	6.719437095386595e-06
ABCF1_1	K562	ABCF1	1	0.0
ABCF1_2	K562	ABCF1	2	0.0
ABCF1_3	K562	ABCF1	3	0.0
ABCF1_4	K562	ABCF1	4	0.0
ABCF1_5	K562	ABCF1	5	0.0
ABCF1_6	K562	ABCF1	6	0.0
ADAT1_1	K562	ADAT1	1	0.0
ADAT1_2	K562	ADAT1	2	0.0
ADAT1_3	K562	ADAT1	3	0.0
ADAT1_4	K562	ADAT1	4	0.0
ADAT1_5	K562	ADAT1	5	0.07980516459792852
ADAT1_6	K562	ADAT1	6	0.588917592074722
AGGF1_1	HepG2	AGGF1	1	0.0
AGGF1_1	K562	AGGF1	1	0.001465725997354582
AGGF1_2	HepG2	AGGF1	2	0.0
AGGF1_2	K562	AGGF1	2	0.035933678780158664
AGGF1_3	HepG2	AGGF1	3	0.5804436772644936
AGGF1_3	K562	AGGF1	3	0.4859750053257618
AGGF1_4	HepG2	AGGF1	4	0.0
AGGF1_4	K562	AGGF1	4	0.1222745523907385
AGGF1_5	HepG2	AGGF1	5	0.03603889387251669
AGGF1_5	K562	AGGF1	5	0.009366043390263246
AGGF1_6	HepG2	AGGF1	6	0.006862325767087896
AGGF1_6	K562	AGGF1	6	0.00642312385521854
AKAP1_1	HepG2	AKAP1	1	0.403092815842427
AKAP1_1	K562	AKAP1	1	0.0
AKAP1_2	HepG2	AKAP1	2	0.0
AKAP1_2	K562	AKAP1	2	0.0
AKAP1_3	HepG2	AKAP1	3	0.0
AKAP1_3	K562	AKAP1	3	0.0019723499647591744
AKAP1_4	HepG2	AKAP1	4	0.0
AKAP1_4	K562	AKAP1	4	0.0
AKAP1_5	HepG2	AKAP1	5	0.0
AKAP1_5	K562	AKAP1	5	0.0
AKAP1_6	HepG2	AKAP1	6	0.044941537661483504
AKAP1_6	K562	AKAP1	6	0.6447181207834235
AKAP8L_1	K562	AKAP8L	1	0.015857008768437916
AKAP8L_2	K562	AKAP8L	2	0.00952404707739944
AKAP8L_3	K562	AKAP8L	3	0.02034977648671721
AKAP8L_4	K562	AKAP8L	4	8.469167555574586e-05
AKAP8L_5	K562	AKAP8L	5	0.0025108380226757953
AKAP8L_6	K562	AKAP8L	6	0.0
APEX1_1	K562	APEX1	1	0.0
APEX1_2	K562	APEX1	2	0.0
APEX1_3	K562	APEX1	3	0.0
APEX1_4	K562	APEX1	4	0.0
APEX1_5	K562	APEX1	5	0.0
APEX1_6	K562	APEX1	6	0.0
APOBEC3C_1	K562	APOBEC3C	1	0.11793670354332132
APOBEC3C_2	K562	APOBEC3C	2	0.004009261605642235
APOBEC3C_3	K562	APOBEC3C	3	0.029881113463157718
APOBEC3C_4	K562	APOBEC3C	4	0.0024765588118959977
APOBEC3C_5	K562	APOBEC3C	5	0.015445377510521212
APOBEC3C_6	K562	APOBEC3C	6	0.021636694029169592
AQR_1	HepG2	AQR	1	0.06870785715881303
AQR_1	K562	AQR	1	0.018633338739107507
AQR_2	HepG2	AQR	2	0.17842207479237426
AQR_2	K562	AQR	2	0.23183257767311366
AQR_3	HepG2	AQR	3	0.9127730408129848
AQR_3	K562	AQR	3	0.5178164905826047
AQR_4	HepG2	AQR	4	0.5873544296925323
AQR_4	K562	AQR	4	1.0292456501520604
AQR_5	HepG2	AQR	5	0.15163821554739734
AQR_5	K562	AQR	5	0.3816079053668225
AQR_6	HepG2	AQR	6	0.10367834731041717
AQR_6	K562	AQR	6	0.009653763849413494
BCCIP_1	HepG2	BCCIP	1	0.0
BCCIP_2	HepG2	BCCIP	2	0.0
BCCIP_3	HepG2	BCCIP	3	0.0
BCCIP_4	HepG2	BCCIP	4	0.0
BCCIP_5	HepG2	BCCIP	5	0.0
BCCIP_6	HepG2	BCCIP	6	0.0
BCLAF1_1	HepG2	BCLAF1	1	0.02702874249282129
BCLAF1_2	HepG2	BCLAF1	2	0.11306393229425629
BCLAF1_3	HepG2	BCLAF1	3	1.1958039377726455
BCLAF1_4	HepG2	BCLAF1	4	1.2499066015386924
BCLAF1_5	HepG2	BCLAF1	5	0.08321883792503919
BCLAF1_6	HepG2	BCLAF1	6	0.0842329137132818
BUD13_1	HepG2	BUD13	1	0.0029306141355326765
BUD13_1	K562	BUD13	1	0.1262228341641135
BUD13_2	HepG2	BUD13	2	0.011728963814266025
BUD13_2	K562	BUD13	2	0.1343527564656814
BUD13_3	HepG2	BUD13	3	0.6812607716347711
BUD13_3	K562	BUD13	3	0.824750914376847
BUD13_4	HepG2	BUD13	4	0.07268861369079588
BUD13_4	K562	BUD13	4	0.37414453391560987
BUD13_5	HepG2	BUD13	5	0.1625059490194073
BUD13_5	K562	BUD13	5	0.08592492399437564
BUD13_6	HepG2	BUD13	6	0.06876208716434845
BUD13_6	K562	BUD13	6	0.02700731207547714
CDC40_1	HepG2	CDC40	1	0.09885289671635905
CDC40_2	HepG2	CDC40	2	0.0
CDC40_3	HepG2	CDC40	3	0.0
CDC40_4	HepG2	CDC40	4	0.6837205655898425
CDC40_5	HepG2	CDC40	5	0.0
CDC40_6	HepG2	CDC40	6	0.004801296784426086
CPEB4_1	K562	CPEB4	1	0.0
CPEB4_2	K562	CPEB4	2	0.22518947815641444
CPEB4_3	K562	CPEB4	3	0.0
CPEB4_4	K562	CPEB4	4	0.0
CPEB4_5	K562	CPEB4	5	0.0
CPEB4_6	K562	CPEB4	6	0.03408335051440363
CPSF6_1	K562	CPSF6	1	0.06076036211088649
CPSF6_2	K562	CPSF6	2	0.030672815450143116
CPSF6_3	K562	CPSF6	3	0.19449363830890365
CPSF6_4	K562	CPSF6	4	0.10949699558227895
CPSF6_5	K562	CPSF6	5	0.1468677520705387
CPSF6_6	K562	CPSF6	6	0.006879604026224318
CSTF2T_1	HepG2	CSTF2T	1	0.00672430110410571
CSTF2T_1	K562	CSTF2T	1	0.011443912118080901
CSTF2T_2	HepG2	CSTF2T	2	0.02884572030242424
CSTF2T_2	K562	CSTF2T	2	0.008963370687151629
CSTF2T_3	HepG2	CSTF2T	3	0.23711133636534215
CSTF2T_3	K562	CSTF2T	3	0.1467945993885953
CSTF2T_4	HepG2	CSTF2T	4	0.018563943150568484
CSTF2T_4	K562	CSTF2T	4	0.1307449837323922
CSTF2T_5	HepG2	CSTF2T	5	0.018924988334818447
CSTF2T_5	K562	CSTF2T	5	0.008602515428066861
CSTF2T_6	HepG2	CSTF2T	6	0.08643001625624189
CSTF2T_6	K562	CSTF2T	6	0.011759696838532034
CSTF2_1	HepG2	CSTF2	1	0.0
CSTF2_2	HepG2	CSTF2	2	0.0
CSTF2_3	HepG2	CSTF2	3	0.0
CSTF2_4	HepG2	CSTF2	4	0.0
CSTF2_5	HepG2	CSTF2	5	0.0
CSTF2_6	HepG2	CSTF2	6	0.013997103430018795
DDX1_1	K562	DDX1	1	0.02073920127266427
DDX1_2	K562	DDX1	2	0.004248780362608019
DDX1_3	K562	DDX1	3	0.002133442163732584
DDX1_4	K562	DDX1	4	0.0005631904624957805
DDX1_5	K562	DDX1	5	0.0
DDX1_6	K562	DDX1	6	0.0
DDX21_1	K562	DDX21	1	0.0
DDX21_2	K562	DDX21	2	0.0
DDX21_3	K562	DDX21	3	0.0
DDX21_4	K562	DDX21	4	0.0
DDX21_5	K562	DDX21	5	0.037183454242882295
DDX21_6	K562	DDX21	6	0.0
DDX24_1	K562	DDX24	1	0.017352953897363285
DDX24_2	K562	DDX24	2	0.01352925907202747
DDX24_3	K562	DDX24	3	0.8824179218071546
DDX24_4	K562	DDX24	4	1.0511978448030992
DDX24_5	K562	DDX24	5	0.03282853562656722
DDX24_6	K562	DDX24	6	0.006946277162369026
DDX3X_1	HepG2	DDX3X	1	0.11043197547924563
DDX3X_1	K562	DDX3X	1	0.3895769467588912
DDX3X_2	HepG2	DDX3X	2	0.10220745390130587
DDX3X_2	K562	DDX3X	2	0.13830645814702688
DDX3X_3	HepG2	DDX3X	3	0.998588019428221
DDX3X_3	K562	DDX3X	3	1.0972215350611034
DDX3X_4	HepG2	DDX3X	4	0.4594515556837303
DDX3X_4	K562	DDX3X	4	0.79347367195812
