RBP,1,2,3,4,5,6,Cell Line
AGGF1,,,,1.0,1.0,,K562
AKAP8L,,0.8947368421052632,1.0,,,,K562
AQR,0.7422434367541766,0.6926051232479459,0.8550185873605948,0.8918128654970761,0.644891122278057,0.7656631407648494,K562
BUD13,0.5483870967741935,0.36,0.6190476190476191,0.0,0.4074074074074074,0.2,K562
DDX24,,0.2727272727272727,,,0.16666666666666666,,K562
DDX3X,0.058823529411764705,0.6,,,,,K562
DROSHA,,-0.3333333333333333,,,,,K562
EFTUD2,0.8909090909090909,0.6403508771929824,0.855072463768116,0.8651685393258427,0.8780487804878049,0.7560975609756098,K562
FMR1,-0.07692307692307693,-0.23076923076923078,,1.0,,,K562
FXR1,-0.09090909090909091,0.3333333333333333,,0.2727272727272727,0.16666666666666666,0.07692307692307693,K562
GPKOW,0.2857142857142857,-0.5789473684210527,,,-0.375,-0.6923076923076923,K562
HNRNPK,,0.23809523809523808,-0.2,,,,K562
IGF2BP2,,,,,,0.14285714285714285,K562
KHSRP,0.08333333333333333,-0.15384615384615385,0.23529411764705882,0.08333333333333333,-0.15384615384615385,-0.07142857142857142,K562
METAP2,,-0.4,,,-0.6,,K562
PABPC4,,,,,-0.07692307692307693,,K562
PTBP1,,,-0.75,0.2,0.16666666666666666,,K562
PUM2,,,,,,-0.8,K562
RBFOX2,,,,0.45454545454545453,,,K562
RBM15,0.7567567567567568,0.8405797101449275,0.8709677419354839,0.6129032258064516,0.8028169014084507,0.7215189873417721,K562
RBM22,,-0.06666666666666667,,0.8620689655172413,,0.47368421052631576,K562
SF3B4,0.8186528497409327,0.7142857142857143,0.8504672897196262,0.8723404255319149,0.8389423076923077,0.782608695652174,K562
SMNDC1,,,,,0.058823529411764705,,K562
SRSF1,0.4418604651162791,0.3972602739726027,0.8333333333333334,0.803921568627451,0.4603174603174603,0.5151515151515151,K562
TARDBP,,0.8181818181818182,,,0.5238095238095238,,K562
TIA1,,-0.1724137931034483,,-0.16666666666666666,,-0.45454545454545453,K562
U2AF1,0.40540540540540543,0.8181818181818182,0.3170731707317073,,0.47126436781609193,,K562
U2AF2,0.5714285714285714,0.6842105263157895,0.31297709923664124,0.23809523809523808,0.688715953307393,,K562
UCHL5,-0.4482758620689655,-0.13636363636363635,0.42857142857142855,0.0,-0.037037037037037035,-0.17647058823529413,K562
UPF1,,,,,,-0.3333333333333333,K562
YBX3,0.8333333333333334,0.23076923076923078,,,-0.09090909090909091,-0.2,K562
AKAP1,,,,,,0.5,HepG2
AQR,0.37349397590361444,0.15463917525773196,0.5064935064935064,0.4642857142857143,0.3870967741935484,0.375,HepG2
BCLAF1,0.0975609756097561,0.19230769230769232,0.2571428571428571,0.4666666666666667,0.13580246913580246,0.12,HepG2
DDX3X,0.2727272727272727,0.5619047619047619,0.3684210526315789,0.4782608695652174,0.4,0.6,HepG2
EFTUD2,0.6666666666666666,0.41025641025641024,0.44,0.5714285714285714,0.5833333333333334,0.38461538461538464,HepG2
G3BP1,-0.8571428571428571,-0.5294117647058824,,-0.3333333333333333,-0.7894736842105263,-0.2222222222222222,HepG2
GRWD1,-0.06666666666666667,-0.13513513513513514,,,-0.25,-0.04,HepG2
HNRNPC,,,-1.0,,,,HepG2
HNRNPK,-0.3333333333333333,-0.21428571428571427,-0.42857142857142855,0.09090909090909091,0.3333333333333333,-0.6,HepG2
IGF2BP3,,,,,,-0.07692307692307693,HepG2
KHSRP,,-0.9285714285714286,-0.6521739130434783,-0.7,-0.875,-0.6923076923076923,HepG2
LARP4,,0.16666666666666666,0.3333333333333333,,0.47368421052631576,0.44,HepG2
NCBP2,0.13636363636363635,0.07246376811594203,,,,,HepG2
PCBP2,,0.2727272727272727,0.3333333333333333,,,,HepG2
PPIG,-0.02564102564102564,-0.391304347826087,-0.2,-0.25,-0.4146341463414634,-0.3442622950819672,HepG2
PRPF4,0.0,0.18518518518518517,-0.14285714285714285,0.3333333333333333,0.23076923076923078,,HepG2
PRPF8,0.25925925925925924,0.33,0.52,0.5819209039548022,0.7391304347826086,0.3953488372093023,HepG2
PTBP1,,,-1.0,,,,HepG2
QKI,,0.2,-0.7647058823529411,0.24324324324324326,0.5789473684210527,,HepG2
RBFOX2,,0.2631578947368421,-0.375,0.6,0.4444444444444444,,HepG2
RBM22,,0.24489795918367346,,0.5454545454545454,,0.26666666666666666,HepG2
SF3A3,0.8,,0.711340206185567,,0.6470588235294118,,HepG2
SF3B4,0.674074074074074,,0.7777777777777778,0.5,0.636963696369637,1.0,HepG2
SRSF1,0.35294117647058826,0.45161290322580644,0.7894736842105263,0.7931034482758621,0.42857142857142855,0.6666666666666666,HepG2
TIA1,,-0.9166666666666666,,-0.45454545454545453,,-0.3333333333333333,HepG2
TIAL1,,-0.10638297872340426,,-0.10526315789473684,,0.1111111111111111,HepG2
U2AF1,0.7872340425531915,0.5789473684210527,0.49295774647887325,0.3103448275862069,0.6190476190476191,0.875,HepG2
U2AF2,0.6938775510204082,0.3333333333333333,0.46958637469586373,0.24731182795698925,0.5670498084291188,0.6206896551724138,HepG2
UCHL5,-0.8,-0.5789473684210527,,,,,HepG2
XRN2,,0.07692307692307693,,,,,HepG2
