RBP,1,2,3,4,5,6,Cell Line
AGGF1,,,,,1.0,,K562
AKAP8L,,1.0,,,,,K562
AQR,0.7659574468085106,0.718475073313783,0.863013698630137,0.879133409350057,0.689119170984456,0.7794871794871795,K562
BUD13,0.6470588235294118,0.5,0.4,,0.4736842105263157,,K562
DDX3X,,0.5384615384615384,,,,,K562
EFTUD2,1.0,0.68,0.8545454545454545,0.8769230769230769,0.9298245614035088,0.7916666666666666,K562
GPKOW,,-0.4,,,,,K562
HNRNPK,,0.1764705882352941,-0.2307692307692307,,,,K562
KHSRP,0.2,-0.25,0.1764705882352941,0.0,-0.3793103448275862,-0.2857142857142857,K562
PTBP1,,,-0.7142857142857143,,,,K562
RBM15,0.7735849056603774,0.9019607843137256,1.0,0.5652173913043478,0.9574468085106383,0.7241379310344828,K562
RBM22,,-0.5384615384615384,,1.0,,,K562
SF3B4,0.8365758754863813,0.6756756756756757,0.8755555555555555,0.8857142857142857,0.8835616438356164,0.8888888888888888,K562
SRSF1,0.5172413793103449,0.320754716981132,0.9090909090909092,0.8333333333333334,0.5238095238095238,0.4736842105263157,K562
TARDBP,,,,,0.6363636363636364,,K562
TIA1,,-0.1818181818181818,,,,,K562
U2AF1,0.4285714285714285,,0.25,,0.4492753623188406,,K562
U2AF2,0.6781609195402298,1.0,0.3125,0.2857142857142857,0.6666666666666666,,K562
UCHL5,-0.4666666666666667,-0.2592592592592592,,-0.2307692307692307,-0.2941176470588235,-0.2631578947368421,K562
UPF1,,,,,,-0.6,K562
AQR,0.3636363636363636,0.1481481481481481,0.3170731707317073,0.4545454545454545,0.3783783783783784,0.4594594594594595,HepG2
BCLAF1,0.0689655172413793,0.2,0.0476190476190476,0.5833333333333334,0.2692307692307692,0.1875,HepG2
DDX3X,0.2941176470588235,0.6206896551724138,0.1764705882352941,,0.6190476190476191,0.3846153846153846,HepG2
EFTUD2,,0.5111111111111111,,,0.6923076923076923,0.6666666666666666,HepG2
G3BP1,,-0.4545454545454545,,,-0.8181818181818182,,HepG2
GRWD1,-0.0666666666666666,-0.4117647058823529,,,-0.1666666666666666,-0.2,HepG2
HNRNPC,,,-1.0,,,,HepG2
HNRNPK,,-0.25,-0.3636363636363636,0.1851851851851851,,,HepG2
IGF2BP3,,,,,,0.0,HepG2
KHSRP,,-0.9047619047619048,-0.5,-0.8666666666666667,-0.8333333333333334,-0.6,HepG2
LARP4,,,,,,0.0909090909090909,HepG2
NCBP2,0.2592592592592592,0.1363636363636363,,,,,HepG2
PPIG,0.1111111111111111,-0.2142857142857142,,-0.375,-0.4615384615384615,-0.4285714285714285,HepG2
PRPF4,,0.2857142857142857,,,,,HepG2
PRPF8,0.3684210526315789,0.366412213740458,0.5,0.5963302752293578,0.5714285714285714,0.3834586466165413,HepG2
QKI,,,-0.7692307692307693,0.1515151515151515,0.5714285714285714,,HepG2
RBFOX2,,,-0.2727272727272727,0.7058823529411765,0.3846153846153846,,HepG2
RBM22,,0.2,,0.5,,0.1818181818181818,HepG2
SF3A3,0.7407407407407407,,0.6206896551724138,,0.6457142857142857,,HepG2
SF3B4,0.6590909090909091,,0.8125,,0.61,,HepG2
SRSF1,0.4615384615384615,0.4761904761904761,0.75,0.76,0.4666666666666667,0.7894736842105263,HepG2
TIA1,,-1.0,,,,,HepG2
TIAL1,,-0.0857142857142857,,0.037037037037037,,,HepG2
U2AF1,0.7837837837837838,0.5714285714285714,0.4915254237288136,0.5294117647058824,0.5932203389830508,,HepG2
U2AF2,0.7327586206896551,0.3513513513513513,0.5,0.2058823529411764,0.5872235872235873,0.5151515151515151,HepG2
UCHL5,,-0.8333333333333334,,,,,HepG2
XRN2,,-0.0909090909090909,,,,,HepG2
