,RBP,Cell Line,Significant Events,AUROC,AUPRC,Sign Concordance
0,AQR Position 2,K562,720,0.5416804821607433,0.07539781598108607,14.583333333333334
1,AQR Position 4,K562,460,0.5773377722083307,0.07143833359257244,94.34782608695652
2,SF3B4 Position 5,K562,361,0.48434115253774224,0.08971235981558326,5.8171745152354575
3,AQR Position 6,K562,358,0.47034873475951267,0.05043383355138119,48.882681564245814
4,U2AF2 Position 5,HepG2,242,0.5162530157589446,0.18030861634452677,25.6198347107438
5,AQR Position 5,K562,203,0.5073254867508172,0.06987190436139337,14.285714285714285
6,U2AF2 Position 3,HepG2,191,0.5388803456030721,0.16524663480738513,63.35078534031413
7,AQR Position 3,K562,187,0.5195122050480633,0.07735494726279322,92.51336898395722
8,PRPF8 Position 2,HepG2,170,0.5136411594531737,0.037995846641687044,29.411764705882355
9,SF3B4 Position 1,K562,144,0.538983027033103,0.07098898832531733,90.97222222222221
10,U2AF2 Position 1,HepG2,140,0.4829923922231614,0.14559820509194754,15.714285714285714
11,AQR Position 1,K562,131,0.4764247090869551,0.05726843122813157,26.717557251908396
12,SF3B4 Position 3,K562,119,0.5328082730952581,0.06234442340304047,94.9579831932773
13,U2AF2 Position 5,K562,117,0.47681911609488214,0.08954396476540459,29.914529914529915
14,SF3B4 Position 5,HepG2,116,0.5309268758394149,0.05833220150681183,20.689655172413794
15,SF3A3 Position 5,HepG2,90,0.4927472716335825,0.06927514305759555,14.444444444444443
16,PRPF8 Position 6,HepG2,79,0.518643368189323,0.02813406791835114,29.11392405063291
17,EFTUD2 Position 2,K562,79,0.5348382463638959,0.055497831463430326,12.658227848101266
18,U2AF2 Position 3,K562,70,0.5716035405516673,0.12200488293947676,50.0
19,RBM15 Position 2,K562,66,0.5504367080821748,0.09333382868646331,19.696969696969695
20,PRPF8 Position 4,HepG2,57,0.4903145500779964,0.016171462947126576,85.96491228070175
21,U2AF2 Position 1,K562,50,0.4766561514195583,0.07165569673494449,26.0
22,U2AF1 Position 5,K562,49,0.47012049500651326,0.11443136493361813,32.6530612244898
23,SF3B4 Position 3,HepG2,49,0.51560295576136,0.03519039358658768,89.79591836734694
24,RBM22 Position 2,HepG2,46,0.560798776032152,0.11050195986144631,43.47826086956522
25,U2AF2 Position 4,HepG2,45,0.5694202898550724,0.25023727027681264,42.22222222222222
26,SF3B4 Position 1,HepG2,43,0.515775666477595,0.037159512112043366,25.581395348837212
27,U2AF1 Position 5,HepG2,42,0.5910816912972086,0.1899724879542477,23.809523809523807
28,RBM15 Position 6,K562,41,0.500349970387121,0.08507994942976622,12.195121951219512
29,BCLAF1 Position 2,HepG2,40,0.42652529761904767,0.01946640081576527,47.5
30,U2AF1 Position 3,HepG2,38,0.4216882786676837,0.1340194026108046,26.31578947368421
31,EFTUD2 Position 4,K562,36,0.5790167059087341,0.06893004406036829,91.66666666666666
32,EFTUD2 Position 3,K562,34,0.5238035892323031,0.06081370495990753,73.52941176470588
33,BCLAF1 Position 5,HepG2,34,0.5532619481688321,0.02440366957359547,41.17647058823529
34,BCLAF1 Position 1,HepG2,33,0.5208462612472852,0.015471767719271008,51.515151515151516
35,SF3A3 Position 3,HepG2,33,0.42597112060199305,0.05590857521425633,75.75757575757575
36,BCLAF1 Position 6,HepG2,33,0.6154762922233934,0.01654425542985248,45.45454545454545
37,SF3A3 Position 1,HepG2,32,0.5313424556213018,0.04649781327043278,28.125
38,AQR Position 5,HepG2,32,0.5583607006020799,0.025444580409610937,37.5
39,DDX3X Position 2,HepG2,31,0.5610373181530677,0.04140734713886647,16.129032258064516
40,RBM15 Position 5,K562,30,0.44081245254365986,0.12342005337172618,90.0
41,RBM15 Position 1,K562,30,0.4560744115413819,0.06967734110081437,6.666666666666667
42,SRSF1 Position 2,K562,29,0.4836490205601425,0.1016078143950023,37.93103448275862
43,EFTUD2 Position 6,K562,28,0.4725370895149192,0.029424103184494278,7.142857142857142
44,EFTUD2 Position 5,K562,28,0.5318877551020409,0.04937222865403912,96.42857142857143
45,SRSF1 Position 5,K562,28,0.5606556002682763,0.07756867212729973,71.42857142857143
46,RBFOX2 Position 4,HepG2,25,0.5762913907284768,0.232820439281428,12.0
47,U2AF1 Position 1,HepG2,24,0.4590827338129496,0.14603705494662939,12.5
48,TIAL1 Position 2,HepG2,24,0.5171326754385964,0.12980695483106253,66.66666666666666
49,U2AF2 Position 2,HepG2,24,0.5452083333333333,0.12319084603554038,25.0
50,QKI Position 4,HepG2,24,0.3570601851851852,0.21757062444794525,41.66666666666667
51,U2AF1 Position 3,K562,23,0.36158755484643,0.07600516272658381,52.17391304347826
52,SF3B4 Position 4,K562,22,0.41443850267379684,0.1272376437110741,13.636363636363635
53,EFTUD2 Position 2,HepG2,22,0.5331699898614397,0.022120627418024022,27.27272727272727
54,SRSF1 Position 2,HepG2,22,0.5045754575457546,0.08732011249237681,13.636363636363635
55,SRSF1 Position 4,K562,22,0.5145082904516867,0.10474890182792893,95.45454545454545
56,SF3B4 Position 2,K562,21,0.5446886446886446,0.08241569577430147,9.523809523809524
