Cell Line,Column,Column Type,Sorted RBP Pair,RBP 1,Position 1,RBP 2,Position 2,# UBPs - Signed-Local-SHAP-Mean-Bound-Only,Value - Signed-Local-SHAP-Mean-Bound-Only,Rec-Y2H,Street et al | IP-MS,Street et al | IP/SEC-MS (Both),Rec-Y2H/Street et al. IP-MS (Union)
K562,ZNF622_2-SAFB_3-interaction-shap,interaction,SAFB-ZNF622,ZNF622,2,SAFB,3,22,1.5057477951049805,,,,
K562,TRA2A_2-SAFB_3-interaction-shap,interaction,SAFB-TRA2A,TRA2A,2,SAFB,3,6,0.5413831472396851,,,,
K562,SAFB_3-U2AF2_3-interaction-shap,interaction,SAFB-U2AF2,SAFB,3,U2AF2,3,20,0.428535133600235,,False,False,False
K562,SAFB_3-AQR_4-interaction-shap,interaction,AQR-SAFB,SAFB,3,AQR,4,19,0.4053784608840942,,,,
K562,EFTUD2_2-SAFB_3-interaction-shap,interaction,EFTUD2-SAFB,EFTUD2,2,SAFB,3,18,0.3992882370948791,,,,
K562,UCHL5_1-SAFB_3-interaction-shap,interaction,SAFB-UCHL5,UCHL5,1,SAFB,3,2,0.2995811104774475,,,,
K562,TRA2A_1-SAFB_3-interaction-shap,interaction,SAFB-TRA2A,TRA2A,1,SAFB,3,2,0.2766208052635193,,,,
K562,XRN2_2-SAFB_3-interaction-shap,interaction,SAFB-XRN2,XRN2,2,SAFB,3,19,0.2466102540493011,,,,
K562,KHSRP_1-SAFB_3-interaction-shap,interaction,KHSRP-SAFB,KHSRP,1,SAFB,3,5,0.2247733920812606,,,,
K562,SAFB_2-NONO_3-interaction-shap,interaction,NONO-SAFB,SAFB,2,NONO,3,2,0.1953362226486206,,,,
K562,SAFB_3-ZNF622_4-interaction-shap,interaction,SAFB-ZNF622,SAFB,3,ZNF622,4,2,0.0806103199720382,,,,
K562,UCHL5_2-SAFB_3-interaction-shap,interaction,SAFB-UCHL5,UCHL5,2,SAFB,3,7,0.0294880997389554,,,,
K562,SAFB_3-U2AF2_5-interaction-shap,interaction,SAFB-U2AF2,SAFB,3,U2AF2,5,10,0.0254773944616317,,False,False,False
K562,SAFB_3-AQR_6-interaction-shap,interaction,AQR-SAFB,SAFB,3,AQR,6,26,0.0157505683600902,,,,
K562,SAFB_3-EFTUD2_6-interaction-shap,interaction,EFTUD2-SAFB,SAFB,3,EFTUD2,6,10,0.0133377723395824,,,,
K562,SAFB_3-SAFB_4-interaction-shap,interaction,SAFB-SAFB,SAFB,3,SAFB,4,12,0.0128252152353525,,,,
K562,SAFB_3-U2AF1_5-interaction-shap,interaction,SAFB-U2AF1,SAFB,3,U2AF1,5,10,0.0119441477581858,,,,
K562,SAFB_3-SF3B4_5-interaction-shap,interaction,SAFB-SF3B4,SAFB,3,SF3B4,5,2,0.0070273652672767,,False,False,False
K562,SAFB_3-DDX43_6-interaction-shap,interaction,DDX43-SAFB,SAFB,3,DDX43,6,3,0.0050812996923923,,,,
K562,TARDBP_2-SAFB_3-interaction-shap,interaction,SAFB-TARDBP,TARDBP,2,SAFB,3,19,0.0036332365125417,,,,
K562,SAFB_3-ZNF622_3-interaction-shap,interaction,SAFB-ZNF622,SAFB,3,ZNF622,3,2,9.0479850769e-05,,,,
K562,SAFB_6-ZC3H11A_6-interaction-shap,interaction,SAFB-ZC3H11A,SAFB,6,ZC3H11A,6,32,4.86353455926e-05,,,,
K562,IGF2BP2_2-SAFB_3-interaction-shap,interaction,IGF2BP2-SAFB,IGF2BP2,2,SAFB,3,19,3.91043722629e-05,,False,False,False
HepG2,SAFB_3-main-shap,main,SAFB-SAFB,SAFB,3,SAFB,3,9,3.45588123309e-05,,,,
K562,SAFB_3-UCHL5_6-interaction-shap,interaction,SAFB-UCHL5,SAFB,3,UCHL5,6,4,2.47247517108e-05,,,,
K562,PRPF8_2-SAFB_3-interaction-shap,interaction,PRPF8-SAFB,PRPF8,2,SAFB,3,25,2.05290325538e-05,,False,False,False
K562,SAFB_3-RBM15_5-interaction-shap,interaction,RBM15-SAFB,SAFB,3,RBM15,5,3,-9.794486686587334e-06,,,,
K562,SAFB_6-main-shap,main,SAFB-SAFB,SAFB,6,SAFB,6,51,-8.41417859192e-05,,,,
K562,SAFB_4-main-shap,main,SAFB-SAFB,SAFB,4,SAFB,4,22,-8.6020110757e-05,,,,
K562,SAFB_3-ZNF622_6-interaction-shap,interaction,SAFB-ZNF622,SAFB,3,ZNF622,6,2,-0.0002226547803729,,,,
K562,NONO_2-SAFB_3-interaction-shap,interaction,NONO-SAFB,NONO,2,SAFB,3,19,-0.0002613688411656,,,,
K562,RBM15_3-SAFB_3-interaction-shap,interaction,RBM15-SAFB,RBM15,3,SAFB,3,19,-0.0024049598723649,,,,
K562,SAFB_2-main-shap,main,SAFB-SAFB,SAFB,2,SAFB,2,19,-0.0195269510149955,,,,
K562,SAFB_3-UCHL5_3-interaction-shap,interaction,SAFB-UCHL5,SAFB,3,UCHL5,3,2,-0.0205277800559997,,,,
K562,SAFB_3-LIN28B_4-interaction-shap,interaction,LIN28B-SAFB,SAFB,3,LIN28B,4,19,-0.0226868297904729,,False,False,False
