,RBP,Cell Line,Significant Events,AUROC,AUPRC,Sign Concordance
0,AQR Position 2,K562,1971,0.5482952211833491,0.21813729753807792,15.271435819381024
1,AQR Position 4,K562,1304,0.5486159610151837,0.18236165080599018,94.78527607361963
2,AQR Position 6,K562,1169,0.48059991330543717,0.16817012726322728,48.93071000855432
3,SF3B4 Position 5,K562,802,0.5003085317397045,0.20482247083764232,7.855361596009976
4,AQR Position 5,K562,567,0.5267572603075134,0.20773844302017386,17.28395061728395
5,AQR Position 3,K562,501,0.5263246195594982,0.19571421851597043,93.01397205588823
6,U2AF2 Position 5,HepG2,443,0.5285749292375934,0.32215139020733574,22.34762979683973
7,PRPF8 Position 2,HepG2,396,0.5230305169052901,0.09109250234407386,33.33333333333333
8,AQR Position 1,K562,390,0.5042077036282335,0.17835523177833107,26.666666666666668
9,SF3B4 Position 1,K562,369,0.5176182697900038,0.18089473882948187,91.05691056910568
10,U2AF2 Position 3,HepG2,364,0.5189861133890985,0.2849080093896601,64.28571428571429
11,SF3B4 Position 3,K562,307,0.5142829198595011,0.14352058459204192,94.13680781758957
12,SF3B4 Position 5,HepG2,287,0.49771385906278887,0.13143963300547884,17.770034843205575
13,SF3A3 Position 5,HepG2,261,0.5031860183990001,0.19252399352886826,17.24137931034483
14,U2AF2 Position 1,HepG2,254,0.5062879024526858,0.2819487598478941,16.141732283464567
15,U2AF2 Position 5,K562,251,0.47261220230425066,0.1957483643541437,25.099601593625497
16,EFTUD2 Position 2,K562,221,0.513682559147225,0.1452628768167455,18.099547511312217
17,PRPF8 Position 6,HepG2,211,0.5002399044299087,0.07357493124857498,35.07109004739337
18,PRPF8 Position 4,HepG2,174,0.5009454540175444,0.06359270792544386,79.3103448275862
19,SF3B4 Position 3,HepG2,146,0.5091918410798216,0.09930811750746753,88.35616438356165
20,RBM15 Position 2,K562,136,0.5153488525455024,0.18939471324859256,23.52941176470588
21,U2AF2 Position 3,K562,128,0.5821540880503144,0.22694210839186918,53.125
22,SF3B4 Position 1,HepG2,125,0.5046731707317074,0.09342516134170327,26.400000000000002
23,U2AF2 Position 1,K562,123,0.5041230091445299,0.18002413311123114,30.081300813008134
24,AQR Position 5,HepG2,113,0.5146859065981408,0.06516007647577803,30.973451327433626
25,BCLAF1 Position 2,HepG2,97,0.5162370265358809,0.039545861002296484,41.23711340206185
26,RBM22 Position 2,HepG2,96,0.5677891722099039,0.17642349732541368,37.5
27,SF3A3 Position 3,HepG2,94,0.4815229563269877,0.12828180731521674,85.1063829787234
28,BCLAF1 Position 6,HepG2,93,0.6515868028009877,0.04736699830506661,44.086021505376344
29,DDX3X Position 2,HepG2,93,0.4951893630053083,0.07552293705948995,27.956989247311824
30,AQR Position 2,HepG2,89,0.5784760289530271,0.0579783853702084,44.9438202247191
31,U2AF1 Position 5,K562,87,0.5003570699857172,0.22722344484849122,26.436781609195403
32,SF3A3 Position 1,HepG2,87,0.45851148499824157,0.10618031815234213,22.988505747126435
33,U2AF2 Position 4,HepG2,84,0.5296060832710047,0.3487430757351145,36.904761904761905
34,EFTUD2 Position 4,K562,80,0.5717001055966209,0.1238721417971142,92.5
35,EFTUD2 Position 6,K562,80,0.5764596273291925,0.14388778646318112,18.75
36,RBM15 Position 6,K562,79,0.47007777947231966,0.16820369234780308,13.924050632911392
37,BCLAF1 Position 1,HepG2,78,0.49989683362889104,0.03332487246889905,43.58974358974359
38,EFTUD2 Position 5,K562,76,0.46427968960863697,0.10295823135104329,92.10526315789474
39,EFTUD2 Position 2,HepG2,76,0.5004076807044723,0.056238713054839344,30.263157894736842
40,BCLAF1 Position 5,HepG2,75,0.5886735778841041,0.04815908255482311,41.333333333333336
41,U2AF1 Position 5,HepG2,75,0.545929648241206,0.3177548056780705,20.0
42,DDX3X Position 1,HepG2,73,0.4745227633570875,0.05964996090552639,36.986301369863014
43,RBM15 Position 1,K562,73,0.49505327245053266,0.17597343147258665,12.32876712328767
44,RBM15 Position 5,K562,71,0.4771746054214736,0.1763360783817621,81.69014084507043
45,AQR Position 3,HepG2,70,0.533820459290188,0.05671974207708025,77.14285714285715
46,AQR Position 1,HepG2,70,0.5875144241864758,0.06658325739052276,32.857142857142854
47,U2AF1 Position 3,HepG2,69,0.42453063241106725,0.24424763198819446,26.08695652173913
48,EFTUD2 Position 3,K562,65,0.5051465529104171,0.11763935411875923,69.23076923076923
49,SRSF1 Position 2,K562,65,0.47986193293885604,0.17436868167950081,30.76923076923077
50,SRSF1 Position 6,K562,62,0.5160128288556288,0.211730229266562,24.193548387096776
51,SRSF1 Position 5,K562,61,0.574375338922955,0.17154844265810945,54.09836065573771
52,NCBP2 Position 2,HepG2,60,0.5730018587360595,0.13393722842944555,46.666666666666664
53,SF3B4 Position 2,K562,57,0.5885808270676692,0.2609566960199019,8.771929824561402
54,SRSF1 Position 2,HepG2,56,0.5294742432288901,0.20083311626304645,25.0
55,PPIG Position 6,HepG2,56,0.5211843768100679,0.02394255465163398,33.92857142857143
56,BUD13 Position 5,K562,54,0.5969468777214282,0.05307091551490423,29.629629629629626
57,AQR Position 4,HepG2,54,0.4814500408727912,0.05273293091502232,72.22222222222221
58,U2AF2 Position 6,HepG2,53,0.4251000571755289,0.22939680441243923,22.641509433962266
59,KHSRP Position 2,K562,52,0.5461605997163503,0.060648671299729506,57.692307692307686
60,EFTUD2 Position 1,K562,51,0.48996465539005296,0.0942266082548965,86.27450980392157
61,KHSRP Position 5,K562,51,0.6164936562860438,0.13399955199080346,60.78431372549019
62,SRSF1 Position 4,K562,50,0.49286206896551726,0.156188468819917,90.0
63,U2AF2 Position 2,HepG2,48,0.5697798295454545,0.25195865238702103,33.33333333333333
64,TIAL1 Position 2,HepG2,46,0.535345359235276,0.2902177864464468,56.52173913043478
65,SF3B4 Position 6,K562,46,0.6046117114852978,0.32085375912365116,45.65217391304348
66,SF3B4 Position 4,K562,45,0.47684754521963824,0.20304492563108184,8.88888888888889
67,PPIG Position 2,HepG2,45,0.4388233893057044,0.013935508063788998,66.66666666666666
68,AQR Position 6,HepG2,42,0.5523060634232001,0.09615634827173009,30.952380952380953
69,SRSF1 Position 1,K562,42,0.46413009648303766,0.11482795317939656,28.57142857142857
70,UCHL5 Position 2,K562,42,0.54866007561823,0.02823738559470338,57.14285714285714
71,BCLAF1 Position 4,HepG2,41,0.5443645083932854,0.017938660492699196,75.60975609756098
72,NCBP2 Position 1,HepG2,41,0.5623861298853953,0.11279565668742242,48.78048780487805
73,U2AF1 Position 3,K562,41,0.44036585365853664,0.18727779003126438,65.85365853658537
74,U2AF1 Position 1,HepG2,41,0.5017992802878849,0.2624493800786736,9.75609756097561
75,PPIG Position 1,HepG2,38,0.5286804386932048,0.021835526344573662,57.89473684210527
76,RBFOX2 Position 4,HepG2,37,0.5497763951001362,0.27367461720797714,18.91891891891892
77,U2AF1 Position 1,K562,37,0.46747704642441495,0.1388431797309994,35.13513513513514
78,GRWD1 Position 2,HepG2,37,0.5486599255723039,0.02175242603560338,56.75675675675676
79,PPIG Position 5,HepG2,36,0.47739547302627583,0.04614240299568109,77.77777777777779
80,SRSF1 Position 3,K562,36,0.4967525979216627,0.12488918665954717,88.88888888888889
81,DDX3X Position 3,HepG2,36,0.47273556924480953,0.06894892465397097,69.44444444444444
82,DDX3X Position 5,HepG2,36,0.4330997664330998,0.08710890897818735,33.33333333333333
83,QKI Position 4,HepG2,34,0.4316888045540797,0.3581297503439278,38.23529411764706
84,TIAL1 Position 4,HepG2,34,0.48741515837104077,0.202484974258868,50.0
85,HNRNPK Position 4,HepG2,33,0.5239431350542462,0.3235723398194459,45.45454545454545
86,BCLAF1 Position 3,HepG2,33,0.6186764337590783,0.0333163359353894,60.60606060606061
87,KHSRP Position 3,K562,32,0.5975865687303253,0.04778484967735586,50.0
88,SRSF1 Position 1,HepG2,32,0.6286951013513513,0.32650194415912537,31.25
89,BUD13 Position 1,K562,31,0.46828200262735364,0.026516920020856326,77.41935483870968
90,RBM15 Position 4,K562,31,0.3516553480475382,0.07896604232278681,80.64516129032258
91,UCHL5 Position 6,K562,31,0.567911714770798,0.024257235306988027,61.29032258064516
92,DDX3X Position 2,K562,30,0.527989449003517,0.021654113561748685,20.0
93,QKI Position 3,HepG2,30,0.5728070175438597,0.3341508787172343,86.66666666666667
94,RBM22 Position 6,HepG2,30,0.6388609715242881,0.15057762477547418,36.666666666666664
95,RBM15 Position 3,K562,30,0.43209459459459465,0.07809942972464265,93.33333333333333
96,SRSF1 Position 4,HepG2,29,0.605998775760049,0.23682063558357686,10.344827586206897
97,GRWD1 Position 1,HepG2,29,0.5754500108436348,0.027662340301030257,51.724137931034484
98,RBM22 Position 4,K562,29,0.4338229518498154,0.056872017036129596,93.10344827586206
99,EFTUD2 Position 4,HepG2,28,0.3471001221001221,0.035820423157217805,85.71428571428571
100,RBM22 Position 2,K562,28,0.6571555668530759,0.0993670685089081,50.0
101,KHSRP Position 2,HepG2,27,0.46537503890445064,0.12787746177646123,96.29629629629629
102,KHSRP Position 6,K562,27,0.6150340371524172,0.0627688457157223,51.85185185185185
103,HNRNPK Position 3,HepG2,27,0.542469135802469,0.3079611144376019,66.66666666666666
104,UCHL5 Position 1,K562,27,0.5695466982595696,0.02589115891821153,66.66666666666666
105,TIA1 Position 2,K562,26,0.5880581752073628,0.07009466832390929,61.53846153846154
106,PRPF4 Position 2,HepG2,26,0.43113370420103586,0.05408683865852846,42.30769230769231
107,SRSF1 Position 6,HepG2,26,0.4530219780219781,0.1491938275943418,15.384615384615385
108,UCHL5 Position 5,K562,26,0.48918269230769235,0.01759267652423044,50.0
109,PRPF8 Position 1,HepG2,26,0.6418790188140032,0.1496436729391956,34.61538461538461
110,BUD13 Position 2,K562,25,0.5500000000000002,0.03448764684392393,32.0
111,HNRNPK Position 2,HepG2,25,0.4925773195876289,0.2028989017466597,68.0
112,EFTUD2 Position 3,HepG2,25,0.5297435897435897,0.14026823439213218,28.000000000000004
113,U2AF1 Position 4,HepG2,25,0.592463768115942,0.36361196220594133,36.0
114,GRWD1 Position 6,HepG2,25,0.5958881408596581,0.01762179090374409,52.0
115,TIA1 Position 2,HepG2,24,0.4955257270693512,0.15404361476126227,95.83333333333334
116,PRPF8 Position 3,HepG2,24,0.4759134134134133,0.11867602679008414,79.16666666666666
117,LARP4 Position 6,HepG2,24,0.5713883526383526,0.05728476254644127,29.166666666666668
