,RBP,cell_line,Significant Events,AUROC,AUPRC,Sign Concordance
0,PRPF8 Position 2,K562,221,0.5213037469629762,0.04491940922989532,18.099547511312217
1,PRPF8 Position 4,K562,115,0.5481535536886,0.03696664804503993,77.39130434782608
2,PRPF8 Position 6,K562,111,0.44043896403778415,0.03246439306271039,36.93693693693694
3,PRPF8 Position 3,K562,34,0.5543364983788791,0.08351875842997215,8.823529411764707
4,PRPF8 Position 5,K562,20,0.5157216494845361,0.05876038283259852,75.0
5,PRPF8 Position 1,K562,15,0.48612716763005775,0.0471988174774709,93.33333333333333
6,DDX43 Position 2,K562,11,0.29702992112105053,0.0038654727682629645,36.36363636363637
7,FXR2 Position 6,HepG2,10,0.7660493827160494,0.1660086764167282,30.0
8,DDX43 Position 5,K562,10,0.42152145643693106,0.006104435660684164,20.0
9,DDX43 Position 6,K562,10,0.41629754453538764,0.004240012457291026,60.0
10,EIF4E Position 1,K562,9,0.3843292536597072,0.016048940511281362,100.0
11,FXR2 Position 1,HepG2,9,0.587087087087087,0.10125591252259113,33.33333333333333
12,ELAVL1 Position 3,K562,8,0.5651041666666667,0.20555327172662538,62.5
13,FXR2 Position 5,K562,8,0.6207386363636364,0.2781005622675351,75.0
14,ELAVL1 Position 4,K562,7,0.4044117647058823,0.22960577673692428,71.42857142857143
15,FXR2 Position 6,K562,7,0.6175595238095237,0.11775275777898103,57.14285714285714
16,FXR2 Position 2,K562,7,0.7651785714285714,0.36502523066490644,85.71428571428571
17,FXR2 Position 2,HepG2,7,0.48522167487684725,0.05982269995464495,28.57142857142857
18,EIF4E Position 2,K562,7,0.3723893065998329,0.022215437158546823,57.14285714285714
19,ELAC2 Position 2,K562,6,0.47301136363636365,0.03516460315090367,0.0
20,FXR2 Position 5,HepG2,6,0.5047425474254743,0.1318714872366139,66.66666666666666
21,FXR2 Position 1,K562,6,0.5337186897880539,0.06266998450486898,66.66666666666666
22,RPS3 Position 6,K562,6,0.5540633608815427,0.016575171620486124,66.66666666666666
23,RBM5 Position 5,HepG2,6,0.7781385281385282,0.19745624745624746,100.0
24,DDX43 Position 4,K562,5,0.658957415565345,0.0061987274031794284,40.0
25,DDX6 Position 3,K562,5,0.4807692307692308,0.10416666666666667,20.0
26,DDX43 Position 1,K562,5,0.46904913848117424,0.005304626715912629,40.0
27,IGF2BP1 Position 1,HepG2,5,0.5889447236180905,0.034274413557355755,60.0
28,SF3B1 Position 5,K562,5,0.8571428571428571,0.8583333333333332,60.0
29,ELAVL1 Position 1,K562,5,0.5436363636363637,0.14336075205640425,40.0
30,ZC3H11A Position 6,K562,5,0.10357142857142856,0.02774778630938786,60.0
31,RPS3 Position 1,K562,5,0.3353319057815846,0.009464456228585652,80.0
32,EIF4E Position 3,K562,4,0.40406976744186046,0.08565407087266308,0.0
33,IGF2BP1 Position 6,K562,4,0.44494047619047616,0.00847457186607715,25.0
34,CDC40 Position 2,HepG2,4,0.5,0.05263157894736842,0.0
35,IGF2BP1 Position 5,HepG2,4,0.6353790613718412,0.026373704219015463,100.0
36,ELAVL1 Position 2,K562,4,0.5833333333333334,0.06512820512820514,100.0
37,TRA2A Position 2,K562,4,0.4363425925925926,0.01955120669582673,75.0
38,RPS3 Position 2,K562,4,0.3673913043478261,0.00653384151948934,100.0
39,FXR2 Position 4,K562,4,0.29705882352941176,0.03924373084016679,0.0
40,ZC3H11A Position 5,K562,4,0.2638888888888889,0.08248958749530833,50.0
41,ELAC2 Position 4,K562,4,0.4929245283018868,0.047950089126559715,50.0
42,XRCC6 Position 2,K562,3,0.44131455399061037,0.045866053370857356,0.0
43,TRA2A Position 4,K562,3,0.46578366445916114,0.06143906598452053,66.66666666666666
44,TRA2A Position 1,K562,3,0.5728542914171657,0.3486772486772487,66.66666666666666
45,EXOSC5 Position 2,K562,3,0.5121951219512195,0.10620915032679738,33.33333333333333
46,SRSF7 Position 4,HepG2,3,0.21052631578947367,0.16666666666666666,100.0
47,DDX43 Position 3,K562,3,0.6152081284824648,0.005170413979070185,66.66666666666666
48,CDC40 Position 6,HepG2,3,0.6287878787878788,0.1611952861952862,66.66666666666666
49,DROSHA Position 1,HepG2,3,0.2619047619047619,0.12301587301587302,33.33333333333333
50,FXR2 Position 3,K562,2,0.8260869565217392,0.08712121212121213,0.0
51,RPS3 Position 5,K562,2,0.2962406015037594,0.0032224920605268075,100.0
52,ELAVL1 Position 6,K562,2,0.1694915254237288,0.014917071197411001,50.0
53,DROSHA Position 3,HepG2,2,0.625,0.12142857142857143,50.0
54,TRA2A Position 3,K562,2,0.41150442477876104,0.03250517598343685,50.0
55,SAFB Position 6,K562,2,1.0,1.0,100.0
56,IGF2BP1 Position 2,HepG2,2,0.5164319248826291,0.014001937984496124,50.0
57,XRCC6 Position 1,K562,2,0.07608695652173914,0.033367037411526794,0.0
58,XRCC6 Position 3,K562,2,0.2804878048780488,0.04791666666666666,100.0
59,SRSF7 Position 2,K562,2,0.2446808510638298,0.020620748299319726,100.0
60,SRSF7 Position 3,HepG2,2,0.5,0.11764705882352941,0.0
61,FXR2 Position 4,HepG2,2,0.34328358208955223,0.016670829170829172,50.0
62,ELAC2 Position 1,K562,1,0.8288288288288288,0.05,0.0
63,ELAC2 Position 3,K562,1,0.5855855855855856,0.02127659574468085,0.0
64,EXOSC5 Position 4,K562,1,0.75,0.14285714285714285,100.0
65,RPS6 Position 5,K562,1,0.6578947368421053,0.1,0.0
66,RPS3 Position 3,K562,1,0.9839679358717435,0.1111111111111111,0.0
67,GARS Position 6,K562,1,0.5,0.06666666666666667,0.0
68,MORC2 Position 1,K562,1,1.0,1.0,0.0
69,MORC2 Position 2,K562,1,0.33695652173913043,0.03125,0.0
70,FXR2 Position 3,HepG2,1,0.032258064516129004,0.01098901098901099,0.0
71,EIF4E Position 5,K562,1,1.0,1.0,100.0
72,ZNF800 Position 6,K562,1,0.4215938303341902,0.004424778761061947,100.0
73,ZNF800 Position 5,K562,1,0.30117647058823527,0.003355704697986577,0.0
74,NPM1 Position 3,K562,1,0.5,0.5,0.0
75,SDAD1 Position 2,HepG2,1,0.5,0.008695652173913044,0.0
