,Feature,Cell Line,Significant Events,MCC,dpsi_dshap_concordance,FET OR,FET P-Value
0,PRPF8 Position 1,K562,28,0.4714045207910317,89.28571428571429,inf,0.14285714285714285
1,EIF4E Position 2,K562,26,0.4583333333333333,76.92307692307693,8.333333333333334,0.06009377350338448
2,PRPF8 Position 5,K562,30,0.26382242650554316,73.33333333333333,3.8,0.30025346301208367
3,PRPF8 Position 6,K562,267,0.029143776161720737,35.95505617977528,1.1886792452830188,0.7254875276771455
4,PRPF8 Position 2,K562,476,0.0,19.747899159663866,,1.0
5,PRPF8 Position 3,K562,53,0.0,24.528301886792452,,1.0
6,RPS3 Position 3,K562,18,0.0,27.77777777777778,,1.0
7,RPS3 Position 5,K562,32,0.0,71.875,,1.0
8,RPS3 Position 4,K562,17,0.0,29.411764705882355,,1.0
9,SF3B1 Position 5,K562,10,0.0,30.0,,1.0
10,DDX43 Position 5,K562,22,0.0,45.45454545454545,,1.0
11,RPS3 Position 6,K562,30,0.0,70.0,,1.0
12,TRA2A Position 2,K562,11,0.0,45.45454545454545,,1.0
13,DDX43 Position 1,K562,32,0.0,31.25,,1.0
14,EIF4E Position 1,K562,30,0.0,80.0,,1.0
15,DDX43 Position 2,K562,35,0.0,42.857142857142854,,1.0
16,DDX43 Position 4,K562,16,0.0,56.25,,1.0
17,FXR2 Position 6,K562,12,0.0,58.333333333333336,,1.0
18,ELAVL1 Position 3,K562,14,0.0,42.857142857142854,,1.0
19,DDX43 Position 6,K562,26,0.0,50.0,,1.0
20,RPS3 Position 2,K562,32,-0.019518001458970664,68.75,0.875,1.0
21,PRPF8 Position 4,K562,277,-0.02615735561169893,83.75451263537906,0.0,1.0
22,FXR2 Position 1,HepG2,12,-0.11952286093343936,41.66666666666667,0.6,1.0
23,RPS3 Position 1,K562,33,-0.1613743060919757,51.515151515151516,0.0,1.0
24,FXR2 Position 6,HepG2,14,-0.45226701686664544,35.714285714285715,0.0,0.2087912087912088
