,Feature,Cell Line,Significant Events,MCC
0,PRPF8 Position 1,K562,27,0.47026997156298017
1,EIF4E Position 2,K562,25,0.4485294117647059
2,PRPF8 Position 5,K562,30,0.26382242650554316
3,RPS3 Position 2,K562,34,0.18269230769230768
4,PRPF8 Position 6,K562,267,0.011840723886560139
5,RPS3 Position 6,K562,31,0.0
6,RPS3 Position 3,K562,19,0.0
7,RPS3 Position 4,K562,17,0.0
8,RPS3 Position 5,K562,35,0.0
9,PRPF8 Position 2,K562,479,0.0
10,EIF4E Position 1,K562,30,0.0
11,TRA2A Position 2,K562,11,0.0
12,SF3B1 Position 5,K562,10,0.0
13,DDX43 Position 5,K562,22,0.0
14,DDX43 Position 1,K562,32,0.0
15,DDX43 Position 2,K562,37,0.0
16,DDX43 Position 4,K562,16,0.0
17,PRPF8 Position 3,K562,53,0.0
18,ELAVL1 Position 3,K562,13,0.0
19,DDX43 Position 6,K562,26,0.0
20,FXR2 Position 6,K562,12,0.0
21,PRPF8 Position 4,K562,280,-0.026198125853112306
22,FXR2 Position 1,HepG2,12,-0.11952286093343936
23,RPS3 Position 1,K562,35,-0.17647058823529413
24,FXR2 Position 6,HepG2,14,-0.45226701686664544
