RBP,1,2,3,4,5,6
AGGF1,,,,,1.0,
AKAP8L,,1.0,,,,
AQR,0.7659574468085106,0.718475073313783,0.863013698630137,0.879133409350057,0.689119170984456,0.7794871794871795
BUD13,0.6470588235294118,0.5,0.4,,0.47368421052631576,
DDX3X,,0.5384615384615384,,,,
EFTUD2,1.0,0.68,0.8545454545454545,0.8769230769230769,0.9298245614035088,0.7916666666666666
GPKOW,,-0.4,,,,
HNRNPK,,0.17647058823529413,-0.23076923076923078,,,
KHSRP,0.2,-0.25,0.17647058823529413,0.0,-0.3793103448275862,-0.2857142857142857
PTBP1,,,-0.7142857142857143,,,
RBM15,0.7735849056603774,0.9019607843137255,1.0,0.5652173913043478,0.9574468085106383,0.7241379310344828
RBM22,,-0.5384615384615384,,1.0,,
SF3B4,0.8365758754863813,0.6756756756756757,0.8755555555555555,0.8857142857142857,0.8835616438356164,0.8888888888888888
SRSF1,0.5172413793103449,0.32075471698113206,0.9090909090909091,0.8333333333333334,0.5238095238095238,0.47368421052631576
TARDBP,,,,,0.6363636363636364,
TIA1,,-0.18181818181818182,,,,
U2AF1,0.42857142857142855,,0.25,,0.4492753623188406,
U2AF2,0.6781609195402298,1.0,0.3125,0.2857142857142857,0.6666666666666666,
UCHL5,-0.4666666666666667,-0.25925925925925924,,-0.23076923076923078,-0.29411764705882354,-0.2631578947368421
UPF1,,,,,,-0.6
