RBP,1,2,3,4,5,6
AQR,0.36363636363636365,0.14814814814814814,0.3170731707317073,0.45454545454545453,0.3783783783783784,0.4594594594594595
BCLAF1,0.06896551724137931,0.2,0.047619047619047616,0.5833333333333334,0.2692307692307692,0.1875
DDX3X,0.29411764705882354,0.6206896551724138,0.17647058823529413,,0.6190476190476191,0.38461538461538464
EFTUD2,,0.5111111111111111,,,0.6923076923076923,0.6666666666666666
G3BP1,,-0.45454545454545453,,,-0.8181818181818182,
GRWD1,-0.06666666666666667,-0.4117647058823529,,,-0.16666666666666666,-0.2
HNRNPC,,,-1.0,,,
HNRNPK,,-0.25,-0.36363636363636365,0.18518518518518517,,
IGF2BP3,,,,,,0.0
KHSRP,,-0.9047619047619048,-0.5,-0.8666666666666667,-0.8333333333333334,-0.6
LARP4,,,,,,0.09090909090909091
NCBP2,0.25925925925925924,0.13636363636363635,,,,
PPIG,0.1111111111111111,-0.21428571428571427,,-0.375,-0.46153846153846156,-0.42857142857142855
PRPF4,,0.2857142857142857,,,,
PRPF8,0.3684210526315789,0.366412213740458,0.5,0.5963302752293578,0.5714285714285714,0.38345864661654133
QKI,,,-0.7692307692307693,0.15151515151515152,0.5714285714285714,
RBFOX2,,,-0.2727272727272727,0.7058823529411765,0.38461538461538464,
RBM22,,0.2,,0.5,,0.18181818181818182
SF3A3,0.7407407407407407,,0.6206896551724138,,0.6457142857142857,
SF3B4,0.6590909090909091,,0.8125,,0.61,
SRSF1,0.46153846153846156,0.47619047619047616,0.75,0.76,0.4666666666666667,0.7894736842105263
TIA1,,-1.0,,,,
TIAL1,,-0.08571428571428572,,0.037037037037037035,,
U2AF1,0.7837837837837838,0.5714285714285714,0.4915254237288136,0.5294117647058824,0.5932203389830508,
U2AF2,0.7327586206896551,0.35135135135135137,0.5,0.20588235294117646,0.5872235872235873,0.5151515151515151
UCHL5,,-0.8333333333333334,,,,
XRN2,,-0.09090909090909091,,,,
