Protein1,Protein2,Position,Pearson_Corr,Pearson_P,Spearman_Corr,Spearman_P,n
U2AF1,U2AF2,1,-0.022602145895227396,0.5571509692732151,-0.34316669929988897,3.8186183503184766e-20,677
U2AF1,U2AF2,2,0.8027745784637325,2.250180003316091e-41,0.82280682249295,4.684087511528544e-45,178
U2AF1,U2AF2,3,-0.30683993372821533,3.6668092998271253e-28,-0.4818080421785976,2.5665438092214625e-72,1227
U2AF1,U2AF2,4,0.04206228178970251,0.4978464083530055,0.12230499766464269,0.04796887591338827,262
U2AF1,U2AF2,5,0.4202726493385108,1.9879685248180586e-60,0.6571223763242996,4.196565650537658e-172,1386
U2AF1,U2AF2,6,0.3747799001128083,1.26006439753332e-07,0.9130824360435273,5.427616423230614e-74,187
QKI,RBFOX2,3,0.47127491226898194,0.004267813033376985,0.8935574229691878,5.101391072120888e-13,35
QKI,RBFOX2,4,0.8375282309742993,1.8444397294863053e-14,0.8395402506900764,1.392943440443324e-14,51
QKI,RBFOX2,5,0.568153058584518,0.0001613568493303431,0.7645272322332456,1.4704105877224404e-08,39
QKI,RBFOX2,6,0.4953415604295013,0.0028953724748557886,-0.2424751718869366,0.167064656803191,34
PCBP2,QKI,6,0.8717043938174027,4.0297540568363277e-11,0.6599799398194583,2.933794508515445e-05,33
PCBP1,PTBP1,3,0.9417484981154863,3.209301915631172e-16,0.7488915516191396,5.360759176071089e-07,33
PCBP2,RBFOX2,1,0.9883698402166631,8.513449496681816e-83,0.10341332132803657,0.30342474050016327,101
PCBP2,RBFOX2,2,0.14730352015939846,0.009513578168847748,-0.11704860531999425,0.039757364609314116,309
PCBP2,RBFOX2,3,0.39187381753970135,1.1420727081045587e-05,0.6651580074008321,2.1206013465286826e-16,118
PCBP2,RBFOX2,4,-0.9274833588453653,2.1074277310519317e-81,-0.9402977122632146,5.39450266214536e-89,188
PCBP2,RBFOX2,6,-0.09280637964284928,0.37364085171872224,-0.864180937929041,3.46220547971123e-29,94
PCBP1,RBFOX2,2,-0.059185425139484056,0.6561205680499863,-0.2219591335613435,0.09111041385912005,59
PCBP1,RBFOX2,4,-0.28697622928515065,0.009853517156190478,0.3196665574364018,0.003847064728348392,80
PCBP1,RBFOX2,5,,,,,56
CSTF2T,TAF15,1,,,,,33
RBM22,TIA1,2,0.8394797635771354,9.128955251641502e-87,0.8512065262233867,1.3325407692625667e-91,322
RBM22,TIA1,4,-0.2826390867357081,0.0008955982665180163,-0.4296473159084645,1.9912937665259126e-07,135
RBM22,TIA1,6,0.7992689037874205,1.974511760718535e-33,0.7964493605802183,4.801725429089663e-33,145
CSTF2T,SFPQ,2,-0.018998552694217404,0.8613472894007739,-0.6300649424697993,6.213345250930271e-11,87
CSTF2T,SFPQ,3,0.8765545357635964,5.516512452627219e-13,0.8785365062974038,4.192488351964757e-13,38
CSTF2T,SFPQ,4,0.9081792684115998,1.238527534947343e-18,0.6809263308693275,1.3870419404846374e-07,47
FUBP3,LARP4,6,-0.536334009552978,7.214776757195337e-08,-0.6905478945421882,9.765069180645117e-14,88
NIP7,QKI,5,0.46033946576714085,6.894726393587591e-05,0.46341730758691235,6.072368756277363e-05,69
HNRNPK,LARP4,1,0.6948846649078972,1.4362200416789227e-09,0.7586217504999231,5.258895832231172e-12,58
HNRNPK,LARP4,2,0.936929600119141,7.308858734917015e-20,0.8054947726720159,1.2509736665297894e-10,42
HNRNPK,LARP4,3,-0.9552216364509322,7.062884477768507e-41,-0.9262125832433099,4.44227937889667e-33,76
HNRNPK,LARP4,6,,,,,88
SRSF9,TRA2A,2,,,,,33
