Protein1,Protein2,Position,Pearson_Corr,Pearson_P,Spearman_Corr,Spearman_P,n
BCLAF1,BUD13,1,0.43859240606891253,6.702089922064052e-41,0.4098624536482143,1.901565489053979e-35,842
BCLAF1,BUD13,2,0.12427300696712439,0.0007527943195441002,0.43009981564414884,2.5660424569729517e-34,732
BCLAF1,BUD13,3,0.6761721428136255,1.839933866931482e-105,0.6234143332356196,2.6398031106793185e-85,781
BCLAF1,BUD13,4,0.5546611120137228,6.5754474999932805e-53,0.4704446921286813,1.4734706920214333e-36,640
BCLAF1,BUD13,5,0.728274235012746,1.72153235106038e-177,0.6839814526427586,1.830972866399193e-148,1070
BCLAF1,BUD13,6,0.6505061961978256,1.0887507792448242e-105,0.5930808351960895,1.123693196758741e-83,869
BUD13,CDC40,1,-0.7206523299192966,2.2493407926198837e-06,-0.8155339805825241,7.433295906720912e-09,33
BUD13,CDC40,2,,,,,306
BUD13,CDC40,3,-0.9021507614126724,1.587388396006071e-26,-0.8076472132295038,2.9842303328639697e-17,70
BUD13,CDC40,4,0.5360256359736624,1.0551431213419042e-14,0.6178667941650651,3.1625858555608403e-20,179
BUD13,CDC40,5,0.05789897869190647,0.5732174631968644,0.7655882730072567,6.70038140455668e-20,97
BUD13,CDC40,6,,,,,66
BUD13,EFTUD2,1,0.23826589550270724,2.0587269558701967e-14,0.44201061941114195,3.1945515210241147e-49,1003
BUD13,EFTUD2,2,0.3405409871190082,2.917709945175693e-74,0.5872450903534533,5.5815486523452965e-250,2699
BUD13,EFTUD2,3,-0.44020921987029893,1.5456901517422404e-63,-0.3549292943539733,2.1978241207892882e-40,1317
BUD13,EFTUD2,4,0.7105614948505468,1.6029000230252413e-235,0.7199161289843353,1.2821067771039576e-244,1530
BUD13,EFTUD2,5,-0.5724614932696319,5.746692903901073e-121,-0.6564687551540815,6.4954279076052785e-171,1380
BUD13,EFTUD2,6,0.18031641947708152,8.117991739097983e-10,0.14319823066782456,1.1550757024655004e-06,1144
BUD13,FXR2,1,-0.020426594344949405,0.812035973386207,-0.0439690661625191,0.6086026498306767,138
BUD13,FXR2,2,-0.033489303090412405,0.6438262536958187,-0.07272683264255207,0.3148381956827138,193
BUD13,FXR2,3,0.3083601208187964,2.285442827960287e-05,0.21999173895084675,0.002844631043903471,182
BUD13,FXR2,4,0.8105057084398557,4.151893212211257e-41,0.7105341159049153,1.373801369514458e-27,171
BUD13,FXR2,5,-0.07415279178527195,0.3054182899191289,-0.33016964402411697,2.7422296398784132e-06,193
BUD13,FXR2,6,-0.4237940694540144,2.519341124940362e-13,-0.3364122290594653,1.1985599602555631e-08,273
BUD13,PABPN1,1,-0.8276016630853803,1.6143951933185638e-85,-0.6304587048491471,1.6005145072469115e-38,335
BUD13,PABPN1,2,-0.03134750835546672,0.5376098692591766,-0.16767569090485884,0.0009002593664380551,389
BUD13,PABPN1,3,0.6163904819033247,2.592179799995941e-50,0.5229888811817586,3.2514006722046654e-34,468
BUD13,PABPN1,4,0.5008669235212186,6.272617157083917e-23,0.5171032892371414,1.4166968045639316e-24,339
BUD13,PABPN1,5,0.4221233156630716,6.967404770749706e-28,0.413311830065752,1.0845192846451245e-26,613
BUD13,PABPN1,6,0.6753822672773592,3.0216666964815034e-72,0.5306701304629683,4.74063827081216e-40,533
BUD13,PRPF8,1,-0.361604056420455,2.8365597137198625e-26,-0.42834491578030526,2.9518957563938132e-37,805
BUD13,PRPF8,2,0.37981592085103694,4.583423366907338e-136,0.5235196229163044,1.4486039352878403e-277,3959
BUD13,PRPF8,3,0.8674954877258229,4.801239475754351e-273,0.774671117107314,6.321442562831913e-180,895
BUD13,PRPF8,4,0.5143047151774246,2.8939651102664105e-161,0.4726737505957302,4.3619980855091754e-133,2386
BUD13,PRPF8,5,0.46142922283575555,1.6952604435639048e-48,0.2750189648748297,4.962365184147722e-17,897
