Protein1,Protein2,Position,Pearson_Corr,Pearson_P,Spearman_Corr,Spearman_P,n
U2AF1,U2AF2,1,0.3894651836473189,3.8228233247819805e-61,0.5118968254552669,2.401690656321978e-111,1657
U2AF1,U2AF2,2,0.9015856735813067,1.0643291048951784e-97,0.7942899997132111,7.423079351320104e-59,265
U2AF1,U2AF2,3,0.7566140962604425,0.0,0.7613991847876735,0.0,1929
U2AF1,U2AF2,4,0.5498824539124478,5.3449383872484864e-27,0.5259596457019475,1.905379456924611e-24,324
U2AF1,U2AF2,5,0.6109585291732916,1.0503417199742007e-278,0.6999138782519309,0.0,2726
U2AF1,U2AF2,6,-0.018996185512789032,0.7858703705156284,-0.2884783598442279,2.4943254594394962e-05,207
EWSR1,NONO,1,0.6704898410419522,2.1569364196965108e-65,0.627629753771437,3.861352422740519e-55,491
EWSR1,NONO,2,0.2251924817704509,2.6249617246778162e-15,0.4717164618796674,9.826337269196428e-68,1204
EWSR1,NONO,3,0.4714757923413617,6.58374504522293e-36,0.5938163090336793,8.057052075994947e-61,625
EWSR1,NONO,4,0.8235011240066004,6.307475144807541e-107,0.9143494562511016,2.331876824514718e-169,428
EWSR1,NONO,5,-0.12398979869744095,0.050674181963420994,0.10648734577074107,0.09360947063282857,249
EWSR1,NONO,6,0.04692571179050622,0.7149590850027042,0.045293139693747146,0.7244744920151681,63
PCBP1,PTBP1,3,-0.969745116327293,1.891337500048919e-46,-0.969171538571225,3.716288119707885e-46,75
PCBP1,PTBP1,5,-0.23414625133583533,0.10919816957237284,-0.30926594464500606,0.03244205992885088,48
PCBP1,PTBP1,6,0.7548467755334793,1.0446170521807767e-07,0.7060110696357318,1.506906863406841e-06,36
MBNL1,RBFOX2,2,0.818056465984766,6.118068992856329e-09,0.9327871593379032,2.769444481649544e-15,33
EWSR1,HNRNPK,2,0.9170144620600921,1.6567948662268435e-13,0.6759633027522934,2.1766841197972578e-05,32
FMR1,FXR2,1,-0.1598058748287755,4.875381412737331e-09,-0.18915363741024122,3.806727042902726e-12,1326
FMR1,FXR2,2,-0.2386817959559346,2.354868477212837e-19,-0.5683314704530525,4.8145208268274364e-119,1382
FMR1,FXR2,3,0.8741478704476924,0.0,0.8133791390622305,8.054365017441002e-257,1084
FMR1,FXR2,4,0.9573182638533376,0.0,0.9075233230732015,0.0,1111
FMR1,FXR2,5,0.5021227863883907,2.5831886575449177e-76,0.48351056743827825,4.188478660748656e-70,1179
FMR1,FXR2,6,0.907390594213069,0.0,0.12421958963687575,2.7320006276067576e-05,1134
CPSF6,RBM15,2,0.012831332892177227,0.8795357563573089,0.30149602554901284,0.00026614091231099725,142
CPSF6,RBM15,3,-0.4560552531366913,0.0007701049444255098,-0.3016749660479855,0.031446245488117405,51
CPSF6,RBM15,4,-0.059879742957797334,0.6795513764679196,0.1431455489328975,0.3213391171312715,50
CPSF6,RBM15,5,0.7483548953296237,3.425880011110388e-09,0.7859239680433678,1.5987386384280768e-10,45
CPSF6,RBM15,6,0.9480924485306128,1.467418066940504e-39,0.8905894268924593,1.0091003484161037e-27,78
IGF2BP2,PCBP1,1,0.4313766319306639,3.664358747766633e-13,-0.23869473594056947,0.00010485860329531433,259
IGF2BP2,PCBP1,2,0.8925952970225914,1.885482250865996e-131,0.4749960733615667,1.4754839464305342e-22,376
IGF2BP2,PCBP1,3,0.7973558065827152,1.2685271593054104e-46,0.629015972252253,4.319012883419526e-24,206
IGF2BP2,PCBP1,4,0.08728062440916227,0.2649595034650471,-0.3362928669330537,1.0043473988699263e-05,165
IGF2BP2,PCBP1,5,0.5497967076077381,2.3875884522655207e-12,0.4670730794541031,6.784518904610147e-09,139
IGF2BP2,PCBP1,6,0.5187847434116705,2.8233159648223945e-22,0.5323257319269725,1.426917259751856e-23,303
FXR1,FXR2,1,0.12475055493298753,0.0001289061808406608,0.16597638989414967,3.233388888114945e-07,937
FXR1,FXR2,2,0.4727898270396369,1.7828633610738688e-59,0.2396224167409308,3.755616946946182e-15,1048
FXR1,FXR2,3,0.9146950089752118,0.0,0.8483195760260531,1.2603525347567839e-233,840
FXR1,FXR2,4,0.9454594492363572,0.0,0.895190912598018,0.0,958
FXR1,FXR2,5,0.26785587047730386,4.352190644943596e-15,0.20886435988549343,1.2655373458466897e-09,829
FXR1,FXR2,6,0.83614634871799,1.1239077111563328e-265,0.1899137530524347,1.1322018297811085e-09,1012
IGF2BP2,PTBP1,4,0.3116218655930116,0.08791026591693715,0.14475806451612905,0.4371803494803197,31
PCBP1,RBFOX2,2,0.3439991314193486,1.2348839284524232e-08,-0.26562097255993095,1.4209562840910029e-05,260
PCBP1,RBFOX2,3,-0.4629021516648281,0.003003532761077813,-0.5857880352262373,8.934058868767407e-05,39
CSTF2T,TAF15,1,0.620398679894938,9.308298605034097e-07,0.585565461911943,5.1159001489366445e-06,52
RBM22,TIA1,1,-0.36578545332121526,0.01867815910068654,0.005315904139433551,0.9736857985655804,41
RBM22,TIA1,2,0.7670119712851915,1.5965060371792915e-178,0.8583053008141889,2.252325408679994e-267,917
RBM22,TIA1,4,-0.04416850789076401,0.2729370988922921,-0.09429017340177982,0.01905280013074352,618
RBM22,TIA1,6,0.2963510109674386,7.01633064363373e-11,0.1472686659644584,0.001449975682443126,465
CSTF2T,EWSR1,1,0.5843848328142991,2.4783730620865794e-60,0.43538510273724157,3.233599154166834e-31,645
CSTF2T,EWSR1,2,0.10973404578728785,6.342954801415338e-05,0.30419328801528006,1.0050544073065484e-29,1323
CSTF2T,EWSR1,3,0.6079351639427214,2.1560887982258688e-78,0.7519830941654213,4.639188898488487e-140,764
CSTF2T,EWSR1,4,0.5048073842774431,5.304043581111585e-36,0.6692135830771556,6.939295113550384e-71,536
CSTF2T,EWSR1,5,0.2222457194194862,4.060665897883981e-05,0.14094210216407171,0.00979659207683367,335
CSTF2T,EWSR1,6,0.05670110824615717,0.4521938644423609,0.044397227333786524,0.5562302745682671,178
EWSR1,RBM15,1,0.7591648147319473,8.766439748883802e-09,0.4817603914308881,0.001426592175500964,41
EWSR1,RBM15,2,0.28742787675069836,0.0001444249335038724,0.5108665912688524,1.097141751193318e-12,170
EWSR1,RBM15,3,0.21829226417175804,0.15964007448332093,0.24915036628653425,0.10714312322980712,43
EWSR1,RBM15,5,0.38722831750513914,0.031384954842681244,0.4564142861932341,0.009856654472728908,31
APOBEC3C,PCBP1,5,0.46460264308810484,4.506551980854559e-06,-0.43661764501065564,1.8896761511941548e-05,89
APOBEC3C,PCBP1,6,0.08015362405630103,0.5223286329954122,0.016662316647564627,0.8943609642774817,66
PUM2,RBFOX2,6,-0.5768505473493527,0.00044127712800238913,-0.7236996153202877,1.943068272621365e-06,33
IGF2BP1,PTBP1,4,-0.12658723995942145,0.48995484563055514,-0.33357771260997066,0.062073922331174786,32
PTBP1,ZC3H8,1,0.09698936529366459,0.45712116415775417,0.31292499007805274,0.01406998047415411,61
PTBP1,ZC3H8,2,,,,,175
PTBP1,ZC3H8,3,0.3516175719352222,1.2121000581800064e-06,0.8636399980227176,3.887298997583136e-55,181
PTBP1,ZC3H8,4,0.15299746340901593,0.12664305631744105,0.9538693683983618,1.5485161070224274e-53,101
PTBP1,ZC3H8,5,-0.06929197631370117,0.20382612763144622,0.12415323982676402,0.022435486173489828,338
PTBP1,ZC3H8,6,-0.4709254752355517,6.1599717361531845e-06,-0.6225452186755346,2.577766925368191e-10,84
HNRNPK,PCBP1,1,0.6695163538815864,3.377500958713408e-20,0.16794471584400456,0.04346809413076123,145
HNRNPK,PCBP1,2,0.4497355859504497,3.0210898918362154e-10,0.582836922140996,1.398613874383159e-17,178
HNRNPK,PCBP1,3,-0.4826490335964281,1.5402580421836487e-10,-0.3185033351215745,4.796441935450732e-05,157
HNRNPK,PCBP1,4,0.20726128390403986,0.020903125147259973,0.5658427892826284,7.48398732919148e-12,124
HNRNPK,PCBP1,5,0.476456532526948,6.750217307283743e-09,0.6582190662748938,7.361392815952275e-18,133
HNRNPK,PCBP1,6,-0.3544915650818834,6.898728308360596e-07,-0.5657974609193612,3.933912175342712e-17,186
RBFOX2,SF3B4,1,0.1851850894696035,0.0006837256608865353,-0.17396396735367933,0.0014378567444522591,333
RBFOX2,SF3B4,2,0.13488372051016242,0.0055707486360249215,0.21979188993201434,5.310621290180453e-06,421
RBFOX2,SF3B4,3,-0.6240119095279174,1.0945439017076891e-70,-0.44475725671758143,1.4741729329024407e-32,643
RBFOX2,SF3B4,4,0.5873962562272563,4.528584420873474e-14,0.7940488747443003,5.5869891383981695e-31,137
RBFOX2,SF3B4,5,0.1653647934537237,2.3249179905189383e-06,0.4460447729744644,1.044939624436708e-40,807
RBFOX2,SF3B4,6,0.321538792289197,4.7786551917403753e-05,0.49274997851425695,8.495301278184644e-11,154
DDX21,RBFOX2,5,,,,,47
DDX21,RBFOX2,6,,,,,47
GTF2F1,PCBP1,2,0.10939491626017722,0.1543567302761777,0.45385313262164856,4.5370672758510776e-10,171
CSTF2T,NONO,1,0.5457954446751802,4.345510945939343e-42,0.5260091493792647,1.07991003735784e-38,525
CSTF2T,NONO,2,-0.10433615141849682,8.04196938418464e-05,-0.24154748746648338,2.4425564572656918e-20,1423
CSTF2T,NONO,3,0.8574482810104389,9.520191345135014e-192,0.8265231206402204,4.0753752248743975e-166,659
CSTF2T,NONO,4,0.8608356778001753,5.2336332476388347e-110,0.9016020648644855,5.3811053314430766e-136,370
CSTF2T,NONO,5,0.5300529026979596,3.423877527766471e-17,0.7653288967866678,3.2792235240435047e-43,218
CSTF2T,NONO,6,-0.03578456170064237,0.793451583145647,-0.040304509067972644,0.7680484828524585,56
DDX42,RBFOX2,2,0.8384906148397333,3.538720696383478e-13,0.7306031824349328,8.225098663445239e-09,46
DDX42,RBFOX2,3,0.9191376181329813,2.0483584320978064e-19,0.7058750925697359,4.270723010824101e-08,46
IGF2BP2,RBFOX2,2,-0.5073892141213058,2.877811408026495e-19,-0.5542019604134228,2.2148712234298815e-23,273
IGF2BP2,RBFOX2,3,-0.9753992822380478,1.357817183888174e-20,-0.8210101010101011,1.5369071696341577e-08,31
IGF2BP2,RBFOX2,5,0.4169278450311698,0.0004485207387579858,0.20710366157836974,0.09264644978128841,67
DDX42,U2AF2,3,0.7994390038619761,5.039719297122385e-16,0.7038725965007108,3.052846873692954e-11,67
DDX42,U2AF2,5,0.17388679737261017,0.20420682523216424,0.2720240031811445,0.04452562118529428,55
