Protein1,Protein2,Position,Pearson_Corr,Pearson_P,Spearman_Corr,Spearman_P,n
BUD13,SUB1,1,0.01191531783960485,0.9388108281883069,0.548464530705217,0.00011599770791748575,44
BUD13,SUB1,2,0.5833907562024117,1.6784786111345563e-14,0.5305757455806449,7.920296770390031e-12,144
BUD13,SUB1,3,0.9485127242402537,1.3773986533205275e-22,0.6119529212770455,1.0157235881971924e-05,44
BUD13,SUB1,4,-0.3017538588641393,0.00041588177246791087,0.14073945601828236,0.1061335011586338,133
BUD13,SUB1,5,0.4222159459467994,1.4619878046965954e-08,0.4544130861245115,7.764450477144368e-10,166
BUD13,SUB1,6,0.22831532302621593,0.04437718708711434,0.15207851171731734,0.18378787168945024,78
NOLC1,SRSF7,1,,,,,5
NOLC1,SRSF7,3,,,,,3
FTO,LARP4,1,0.7945301694785201,2.8609593249660256e-05,0.9439217830746129,4.245945600070231e-10,20
FTO,LARP4,2,,,,,14
FTO,LARP4,3,-0.9174160330030158,4.283612316961624e-26,-0.6764437617013105,1.1661803411002847e-09,63
FTO,LARP4,4,,,,,49
FTO,LARP4,5,-0.07584220627723914,0.7723493361126608,-0.20736196319018407,0.42452848865204396,17
FTO,LARP4,6,-0.9986918465828081,1.0439461221368593e-37,-0.8759759089895159,2.301268707436476e-10,30
HNRNPUL1,PRPF4,1,,,,,29
HNRNPUL1,PRPF4,2,,,,,29
HNRNPUL1,PRPF4,4,,,,,37
HNRNPUL1,PRPF4,6,,,,,2
U2AF1,UPF1,1,-0.9878187959871878,3.124923747428016e-05,-0.44474958999666075,0.3173719428280247,7
U2AF1,UPF1,3,0.674195020228337,0.00041923592279755783,0.8458304731266736,3.7165610230115465e-07,23
DDX3X,DDX55,1,0.8352072935371028,1.7982007990799809e-12,0.8185118734140058,1.1476718168129446e-11,44
DDX3X,DDX55,2,0.07188648074103676,0.409133915617972,-0.07518918871744062,0.3878919525097493,134
DDX3X,DDX55,3,-0.5355657637439223,2.1181170926509337e-06,-0.44489915229465077,0.0001280633642301545,69
DDX3X,DDX55,4,0.9460967975991911,4.274748803810874e-29,0.4399661565015629,0.0005486499073549132,58
DDX3X,DDX55,5,-0.9282307958769729,3.6482572956353306e-16,-0.979139840329642,4.0751613574111818e-25,36
DDX55,SUB1,1,-0.3006174392820265,0.08407172940969049,-0.5081064545732641,0.00215570666177063,34
DDX55,SUB1,2,0.923346208492795,4.159074344090319e-24,0.8641739011552396,9.732396408899671e-18,56
DDX55,SUB1,3,0.33680268431799665,0.12534627111070212,0.21901528013582344,0.32744823428656544,22
DDX55,SUB1,4,0.9499454305577419,6.431923608521122e-27,0.9456672575328118,4.7513645244221566e-26,52
DDX55,SUB1,5,-0.35723370406708155,0.008005826514809203,-0.30858079518164144,0.02319224667008165,54
DDX55,SUB1,6,0.13428291789020927,0.031067702858687873,-0.3872874023323195,1.1653874072613e-10,258
DROSHA,NSUN2,3,,,,,18
G3BP1,STAU2,3,-0.4784907895586961,0.5215092104413039,-0.39999999999999997,0.6,4
HNRNPL,PRPF8,2,,,,,79
HNRNPL,PRPF8,4,,,,,60
HNRNPL,PRPF8,6,-0.3240796575080593,0.06150724594400109,-0.363080684596577,0.034811678813647856,34
FKBP4,TIAL1,2,0.9791080431791614,0.0006501513931894511,0.8285714285714287,0.04156268221574334,6
FAM120A,U2AF2,1,,,,,3
FAM120A,U2AF2,3,,,,,35
FAM120A,U2AF2,5,,,,,23
BUD13,TAF15,3,,,,,3
GRWD1,HLTF,1,,,,,168
GRWD1,HLTF,2,-0.8385795817239049,4.67525228131438e-44,-0.8363483940532409,1.2755514797658326e-43,162
GRWD1,HLTF,3,-0.5809869127056173,2.891348958641168e-10,-0.42808197998738395,9.871083192977829e-06,99
GRWD1,HLTF,4,-0.28488971175799893,0.00035800700501637157,-0.24706438172335748,0.002078147633131769,153
GRWD1,HLTF,5,,,,,182
GRWD1,HLTF,6,0.9337454392000893,1.0992318144638298e-82,0.9014878933048227,9.677712128347905e-68,183
DDX3X,ZNF800,1,0.8464599851937288,5.113986185451551e-36,0.8486986936413606,2.1970784707213298e-36,127
DDX3X,ZNF800,2,0.03360417927256235,0.6488653704498931,0.026154889087194468,0.7230682773233705,186
