Protein1,Protein2,Position,Pearson_Corr,Pearson_P,Spearman_Corr,Spearman_P,n
DDX42,DDX43,1,0.6077029507930687,0.01625566550988038,0.6035714285714285,0.01720013806879533,15
DDX42,DDX43,2,0.17679501027096112,0.3499994176406083,0.48787541713014465,0.0062393012953135055,30
DDX42,DDX43,3,-0.8751436708795557,0.0004185609735494926,-0.7990867579908677,0.003170372869476582,11
DDX42,DDX43,4,0.9861074569231651,0.001961550055329628,0.19999999999999998,0.747060078104662,5
DDX42,DDX43,5,0.9480378509292613,1.9073056595874465e-14,0.9643738010413809,1.548068483192549e-16,28
CSTF2T,DDX3X,1,0.31330443021801857,1.0753904381494447e-05,0.7566135801751804,1.5672598904113168e-36,190
CSTF2T,DDX3X,2,-0.005698510961884522,0.8676244201885475,0.1668972761991179,8.829109118952645e-07,858
CSTF2T,DDX3X,3,-0.8046227310554024,7.810826629141459e-43,-0.8235703026580012,1.9226788815506473e-46,183
CSTF2T,DDX3X,4,-0.8100422655343875,1.947961098553732e-08,-0.5579092745998069,0.0009073051422317523,32
CSTF2T,DDX3X,5,0.10740238668372189,0.47240650991492417,0.35591220451503647,0.014076833399799675,47
IGF2BP2,RBM22,1,-0.18788476352340494,0.6866367895006271,0.21428571428571433,0.6445115810207203,7
IGF2BP2,RBM22,2,0.5883285944749039,1.5853984538916376e-15,0.687138222732444,1.4478586979065487e-22,152
IGF2BP2,RBM22,3,0.7467151099698689,1.1795127611323912e-05,0.5425641025641026,0.004187404071548559,26
IGF2BP2,RBM22,4,0.9203778044516265,5.8905583765711544e-68,0.867590915524526,5.087377879653598e-51,164
IGF2BP2,RBM22,5,,,,,2
IGF2BP2,RBM22,6,-0.4704748563823676,1.101951439256114e-08,-0.28987610554606724,0.0007132703455978877,133
LARP4,TBRG4,6,,,,,17
PABPC4,RBM22,2,0.8785243843624788,1.524397157338121e-90,0.8862887290066487,2.9369983283285746e-94,278
PABPC4,RBM22,4,0.9512727198184884,2.0469389786805593e-94,0.9222891471901155,1.2061553296752964e-76,183
PABPC4,RBM22,5,,,,,2
PABPC4,RBM22,6,-0.0761556666746998,0.32946109855532557,0.13947231548596276,0.07310630627907361,166
EIF4E,METTL1,3,,,,,38
EIF4E,METTL1,5,,,,,36
GARS,RPS3,1,0.9571844570170809,6.314103487826543e-09,0.9793510324483774,4.0643120042871413e-11,16
GARS,RPS3,2,-0.9710930245843916,3.5502158577782548e-15,-0.926924749891257,7.777061734491959e-11,24
GARS,RPS3,3,,,,,5
GARS,RPS3,4,0.6927489920583988,0.12710203642875903,0.7142857142857143,0.1107871720116617,6
GARS,RPS3,5,0.9253057794224772,3.9988590883658516e-23,0.7098105603362541,2.6650185259223253e-09,53
GARS,RPS3,6,0.07306243394276186,0.8124997764701438,0.2857142857142857,0.34400021825867,13
PRPF8,RBFOX2,1,0.23006723159754305,0.0008286601871243705,-0.06816417143744408,0.3279300705485304,208
PRPF8,RBFOX2,2,0.06793877576257502,0.07709469035642312,0.14931406835260083,9.515382529506421e-05,678
PRPF8,RBFOX2,3,0.8291829173879616,1.2286411728955103e-127,0.6990023058041598,2.1592707988710257e-74,499
PRPF8,RBFOX2,4,-0.7945441389448966,2.3616176467745273e-74,-0.7361312575795816,1.4248679499136308e-58,336
PRPF8,RBFOX2,5,-0.24381642976607804,7.109389336204942e-05,-0.46340593718027995,3.0214576644357475e-15,260
PRPF8,RBFOX2,6,0.21942377700044344,0.0016145877528513089,0.2130156269962992,0.0022210519087822855,204
DDX51,TBRG4,1,-0.8982392232037798,1.0730324047078971e-26,-0.2356487086629119,0.04629327015564727,72
DDX51,TBRG4,2,-0.21013435060944796,0.043208652107143766,0.5172238843832306,1.1060245094180896e-07,93
DDX51,TBRG4,3,0.6922529233316493,2.9084512516078534e-06,0.530837602867053,0.0008660755677703054,36
DDX51,TBRG4,5,0.4093958004598226,0.01070011685969614,0.7382774245142956,1.221094838247741e-07,38
GTF2F1,SMNDC1,1,0.6348860975549986,5.318787789713587e-20,0.7768284237033827,1.4565273085076118e-34,165
GTF2F1,SMNDC1,2,0.4790968002664644,1.1855835404330872e-19,-0.07326567235786055,0.19253343441543339,318
GTF2F1,SMNDC1,3,-0.6766678223320551,5.860615261436868e-22,-0.32569643878503207,3.758980627519222e-05,154
GTF2F1,SMNDC1,4,0.7500636297453079,1.771611397846916e-19,0.41001252293444396,2.0620594601372173e-05,101
GTF2F1,SMNDC1,5,0.4831812286553529,1.9723795147948306e-05,0.644806918328131,1.2890956124499846e-09,71
GTF2F1,SMNDC1,6,0.04844246248886694,0.7409938664759225,-0.21570221717289204,0.13661323279877485,49
SDAD1,XRN2,2,,,,,11
RPS3,TARDBP,5,-0.9999999999999999,0.0,-1.0,0.0,3
FTO,XRN2,1,0.9905703987850497,3.0589681244251458e-55,0.957400516885721,3.766076315732618e-35,64
FTO,XRN2,2,0.7834317943929725,1.1611150030342432e-67,0.6377161524331908,6.259340501441697e-38,320
FTO,XRN2,3,-0.5588555442281624,0.00048401223369845254,-0.5918767507002801,0.00018032523173029395,35
FTO,XRN2,4,0.4770767246233204,0.002134656775369164,0.19198055893074115,0.2416627746085165,39
HNRNPM,TARDBP,1,0.4483630552008421,0.06201793499833505,0.562113006000301,0.015181855544246938,18
HNRNPM,TARDBP,3,-0.11773870330877335,0.5667636032296509,-0.1456908344733242,0.4776125159437745,26
HNRNPM,TARDBP,5,-0.9482851294704571,7.546300941721836e-08,0.10145077364213316,0.719026446134964,15
HNRNPM,TARDBP,6,-0.8304841516353813,0.08161802448650665,-0.09999999999999999,0.8728885715695383,5
DGCR8,FAM120A,1,0.13678273736507496,0.3539027151828228,-0.2985737382060573,0.03927138325266852,48
DGCR8,FAM120A,2,0.8690249938802318,0.005079698667878044,-0.2515015150017844,0.5479426035598269,8
