Bait,Prey,sumIS
U2AF1,U2AF2,14.24
HNRNPK,QKI,12.08
RBFOX2,QKI,11.89
PCBP2,QKI,11.81
PTBP1,PCBP1,11.8
PCBP2,RBFOX2,11.27
PTBP1,QKI,11.17
QKI,PCBP1,10.6
TAF15,SRSF9,10.31
PCBP1,RBFOX2,9.97
TAF15,HNRNPK,9.94
TAF15,CSTF2T,9.86
PCBP1,FUBP3,9.84
TAF15,SRSF1,9.84
TIA1,RBM22,9.69
SFPQ,CSTF2T,9.63
LARP4,FUBP3,9.59
HNRNPK,HNRNPU,8.82
HNRNPK,SRSF7,8.75
FKBP4,FUBP3,8.68
HNRNPK,IGF2BP3,8.65
SF3B4,TAF15,8.6
PTBP1,IGF2BP1,8.51
NIP7,QKI,8.3
PTBP1,TARDBP,8.14
HNRNPK,LARP4,7.93
TRA2A,SRSF9,7.84
SUPV3L1,RBFOX2,7.8
U2AF2,FUBP3,7.79
PCBP1,HNRNPK,7.71
FUBP3,RBFOX2,7.66
SF3B4,RBFOX2,7.63
GTF2F1,PCBP1,7.58
U2AF2,HNRNPK,7.52
NKRF,STAU2,7.47
SFPQ,SF3B4,7.42
RBM15,SRSF9,7.38
NIP7,CSTF2T,7.37
SRSF9,HNRNPA1,7.1
