Bait,Prey,Interaction_support,IP_interaction_type,PPI_support,bait_eclipped,prey_eclipped
BUD13,BCLAF1,IP,direct,False,True,True
BUD13,CDC40,IP,shielded,False,True,True
BUD13,EFTUD2,IP,shielded,False,True,True
BUD13,FXR2,IP,mediated,False,True,True
BUD13,PABPN1,IP,mediated,False,True,True
BUD13,PRPF8,IP,shielded,False,True,True
BUD13,RBM22,IP,direct,False,True,True
BUD13,SF3B4,IP,shielded,False,True,True
BUD13,SRSF7,IP,mediated,False,True,True
CSTF2,CSTF2T,IP,direct,True,True,True
CSTF2,FUS,IP,shielded,True,True,True
CSTF2,PABPN1,SEC,,False,True,True
CSTF2,PPIG,IP,shielded,False,True,True
CSTF2,PRPF8,IP,shielded,False,True,True
CSTF2,SFPQ,IP,direct,False,True,True
CSTF2,SRSF7,IP,shielded,False,True,True
CSTF2,SRSF9,IP,shielded,False,True,True
CSTF2,TRA2A,IP,shielded,False,True,True
CSTF2,XRCC6,SEC,,False,True,True
CSTF2T,CSTF2,IP,direct,True,True,True
CSTF2T,PCBP2,IP,mediated,False,True,True
CSTF2T,SRSF7,IP,mediated,False,True,True
DGCR8,BCLAF1,IP,mediated,False,True,True
DGCR8,DROSHA,IP,mediated,True,True,True
DGCR8,G3BP1,SEC,,False,True,True
DGCR8,IGF2BP1,SEC,,False,True,True
DGCR8,NCBP2,both,mediated,False,True,True
DGCR8,RPS3,SEC,,False,True,True
DGCR8,SRSF1,SEC,,False,True,True
DGCR8,SRSF7,IP,mediated,False,True,True
DGCR8,TRA2A,SEC,,False,True,True
DHX30,DKC1,SEC,,False,True,True
DHX30,EXOSC5,SEC,,False,True,True
DHX30,HNRNPL,SEC,,False,True,True
DHX30,HNRNPU,SEC,,True,True,True
DHX30,HNRNPUL1,SEC,,False,True,True
DHX30,IGF2BP1,SEC,,False,True,True
DHX30,IGF2BP3,SEC,,False,True,True
DHX30,ILF3,SEC,,True,True,True
DHX30,MATR3,SEC,,False,True,True
DHX30,NKRF,SEC,,True,True,True
DHX30,PTBP1,SEC,,False,True,True
DHX30,RPS3,SEC,,False,True,True
DHX30,SRSF1,SEC,,False,True,True
DHX30,TAF15,SEC,,False,True,True
DHX30,UPF1,SEC,,False,True,True
DHX30,WDR43,SEC,,False,True,True
DKC1,HNRNPK,SEC,,False,True,True
DKC1,HNRNPL,SEC,,False,True,True
DKC1,IGF2BP1,SEC,,False,True,True
DKC1,IGF2BP3,SEC,,False,True,True
DKC1,MATR3,SEC,,False,True,True
DKC1,SRSF1,SEC,,True,True,True
DKC1,TAF15,SEC,,False,True,True
DKC1,UPF1,SEC,,False,True,True
EFTUD2,FXR2,SEC,,True,True,True
EFTUD2,G3BP1,SEC,,True,True,True
EFTUD2,IGF2BP1,SEC,,True,True,True
EFTUD2,IGF2BP3,SEC,,True,True,True
EFTUD2,MATR3,SEC,,True,True,True
EFTUD2,RPS3,SEC,,True,True,True
EFTUD2,SRSF1,SEC,,True,True,True
EFTUD2,TRA2A,SEC,,False,True,True
FUS,DHX30,IP,mediated,True,True,True
FUS,FAM120A,IP,mediated,False,True,True
FUS,HNRNPL,IP,mediated,True,True,True
FUS,HNRNPM,IP,mediated,True,True,True
FUS,HNRNPUL1,IP,direct,True,True,True
FUS,IGF2BP1,IP,mediated,True,True,True
FUS,IGF2BP3,IP,mediated,True,True,True
FUS,ILF3,IP,shielded,True,True,True
FUS,MATR3,IP,mediated,True,True,True
FUS,SAFB,IP,direct,True,True,True
FUS,TAF15,IP,direct,True,True,True
FUS,U2AF2,IP,mediated,True,True,True
FXR2,G3BP1,SEC,,True,True,True
FXR2,IGF2BP1,SEC,,False,True,True
FXR2,IGF2BP3,SEC,,True,True,True
FXR2,MATR3,SEC,,False,True,True
FXR2,PRPF8,SEC,,False,True,True
FXR2,RPS3,SEC,,False,True,True
FXR2,SRSF1,SEC,,False,True,True
FXR2,TRA2A,SEC,,False,True,True
G3BP1,IGF2BP1,SEC,,True,True,True
G3BP1,IGF2BP3,SEC,,True,True,True
G3BP1,MATR3,SEC,,False,True,True
G3BP1,NCBP2,SEC,,False,True,True
G3BP1,PRPF8,SEC,,False,True,True
G3BP1,RPS3,SEC,,True,True,True
G3BP1,SRSF1,SEC,,False,True,True
G3BP1,TRA2A,SEC,,False,True,True
HNRNPA1,NCBP2,SEC,,True,True,True
HNRNPA1,PABPN1,SEC,,True,True,True
HNRNPA1,PRPF8,SEC,,True,True,True
HNRNPA1,SRSF1,SEC,,True,True,True
HNRNPA1,TRA2A,SEC,,False,True,True
HNRNPC,HNRNPL,IP,mediated,True,True,True
HNRNPC,MATR3,IP,mediated,True,True,True
HNRNPC,RPS3,IP,shielded,False,True,True
HNRNPK,MATR3,SEC,,True,True,True
HNRNPL,CSTF2,IP,direct,False,True,True
HNRNPL,CSTF2T,IP,mediated,False,True,True
HNRNPL,IGF2BP1,both,mediated,True,True,True
HNRNPL,IGF2BP3,both,mediated,True,True,True
