Bait,Prey,sumIS
U2AF1,U2AF2,14.24
HNRNPK,QKI,12.08
MBNL1,QKI,12.07
NONO,EWSR1,11.94
RBFOX2,QKI,11.89
PTBP1,PCBP1,11.8
RBFOX2,MBNL1,11.72
HNRNPK,EWSR1,11.63
PTBP1,QKI,11.17
FMR1,FXR2,10.82
QKI,PCBP1,10.6
RBM15,CPSF6,10.41
PCBP1,IGF2BP2,10.36
TAF15,SRSF9,10.31
FXR1,FXR2,10.24
PTBP1,IGF2BP2,10.2
PCBP1,RBFOX2,9.97
TAF15,HNRNPK,9.94
TAF15,CSTF2T,9.86
TAF15,SRSF1,9.84
WDR3,PCBP1,9.75
TIA1,RBM22,9.69
CSTF2T,EWSR1,9.64
RBM15,EWSR1,9.41
HNRNPK,APOBEC3C,9.35
PCBP1,APOBEC3C,9.3
RBFOX2,PUM2,9.3
HNRNPK,HNRNPU,8.82
HNRNPK,SRSF7,8.75
NONO,CPSF6,8.73
SF3B4,TAF15,8.6
PTBP1,IGF2BP1,8.51
YWHAG,QKI,8.42
ZC3H8,PTBP1,8.4
PUM2,QKI,8.19
PTBP1,TARDBP,8.14
HNRNPK,LARP4,7.93
TAF15,CPSF6,7.87
TRA2A,SRSF9,7.84
SUPV3L1,RBFOX2,7.8
PCBP1,HNRNPK,7.71
SF3B4,RBFOX2,7.63
DDX21,RBFOX2,7.58
GTF2F1,PCBP1,7.58
ILF3,CPSF6,7.54
U2AF2,HNRNPK,7.52
NONO,CSTF2T,7.4
RBM15,SRSF9,7.38
RBFOX2,DDX42,7.32
PPIL4,RBFOX2,7.31
RBFOX2,IGF2BP2,7.26
FMR1,RYBP,7.24
CPEB4,CSTF2T,7.17
U2AF2,DDX42,7.1
SRSF9,HNRNPA1,7.1
