Protein A,Protein B,UniProt species A,UniProt species B,UniProt accessions A,UniProt accessions B,UniProt IDs A,UniProt IDs B,Times detected (RIS > 0),avgIS,sumIS,Found in both orientations ,H47_avgIS,H47_sumIS,H47_found in both orientations,H47_times detected (RIS > 0),"Biogrid_all direct evidence (Y2H, reconstituted complex, structure)",Biogrid_all,Hippie,HuRI,Known interaction,Protein A has known interactions,Protein B has known interactions,HPA nuclear A,HPA nuclear B,HPA cytoplasmic A,HPA cytoplasmic B,HPA main locations A,HPA additional locations A,HPA main locations B,HPA additional locations B,HPA shared locations,Youn et al. 2018 (PMID 29395067),NanoBRET,NanoBRET MBU,NanoBRET MBU std ,ENCODE eCLIP data A,ENCODE eCLIP data B,ENCODE eCLIP binding sites A,ENCODE eCLIP binding sites B,Jaccard index,Cobinding prob p(A|B),Cobinding prob p(B|A),Cobinding prob p(A|B) (≤54 nt),Cobinding prob p(B|A) (≤54 nt),Close binding events (≤54 nt) A vs. B,Fraction of close binding events A vs. B,Fraction of close binding events in random data A vs. B,Ratio of fractions A vs. B,Resampling p-value A vs. B,Resampling Wilcoxon p-value A vs. B,Close binding events (≤54 nt) B vs. A,Fraction of close binding events B vs. A,Fraction of close binding events in random data B vs. A,Ratio of fractions B vs. A,Resampling p-value B vs. A,Resampling Wilcoxon p-value B vs. A
CTBP1,RBM14,HUMAN,MOUSE,Q13363,Q8C2Q3,CTBP1_HUMAN,RBM14_MOUSE,10,8.41,17.19,1,N/A,N/A,N/A,N/A,1,1,1,0,1,1,1,1,1,0,0,Nucleoplasm,N/A,Nuclear speckles,N/A,N/A,0,N/A,N/A,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RBM14,CPSF6,MOUSE,MOUSE,Q8C2Q3,Q6NVF9,RBM14_MOUSE,CPSF6_MOUSE,11,13.98,16.03,0,N/A,N/A,N/A,N/A,0,0,0,0,0,1,0,1,1,0,0,Nuclear speckles,N/A,Nuclear speckles;Nucleoplasm,N/A,Nuclear speckles,0,N/A,N/A,N/A,0,1,0,791,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PTBP1,PTBP2,HUMAN,HUMAN,P26599,Q9UKA9,PTBP1_HUMAN,PTBP2_HUMAN,8,4.49,15.73,1,0,5.47,0,5,0,0,0,0,0,0,0,1,1,0,0,Nucleoplasm,N/A,Nucleoplasm,N/A,Nucleoplasm,0,pos,13.34,0.94,1,0,16175,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SF1,EWSR1,HUMAN,MOUSE,Q15637,Q61545,SF01_HUMAN,EWS_MOUSE,3,3.29,15.5,0,7.17,11.66,0,3,1,1,1,0,1,1,1,1,1,0,0,Nucleoplasm,N/A,Nucleoplasm,Nucleoli,Nucleoplasm,0,N/A,N/A,N/A,0,1,0,8788,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SRSF11,SRPK2,HUMAN,HUMAN,Q05519,P78362,SRS11_HUMAN,SRPK2_HUMAN,10,9.52,14.79,1,2.32,5.06,0,5,0,1,1,1,1,1,1,1,1,0,1,Nuclear speckles,N/A,Cytosol;Nucleoplasm,N/A,N/A,0,N/A,N/A,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RBM14,BAG4,MOUSE,HUMAN,Q8C2Q3,O95429,RBM14_MOUSE,BAG4_HUMAN,11,10.89,14.77,1,N/A,N/A,N/A,N/A,0,0,0,0,0,1,0,1,N/A,0,N/A,Nuclear speckles,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SRPK2,DDX50,HUMAN,HUMAN,P78362,Q9BQ39,SRPK2_HUMAN,DDX50_HUMAN,6,6.86,14.67,0,N/A,N/A,N/A,N/A,1,1,1,0,1,1,1,1,1,1,0,Cytosol;Nucleoplasm,N/A,Nucleoli,N/A,N/A,0,N/A,N/A,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RBM12,RBM10,HUMAN,HUMAN,Q9NTZ6,P98175,RBM12_HUMAN,RBM10_HUMAN,4,0,14.64,0,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,1,1,0,0,Nucleoplasm,N/A,Nuclear speckles,N/A,N/A,0,N/A,N/A,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
EIF4ENIF1,ELAVL3,HUMAN,HUMAN,Q9NRA8,Q14576,4ET_HUMAN,ELAV3_HUMAN,2,1.6,14.63,0,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,N/A,1,N/A,Vesicles,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PUM2,RBM38,MOUSE,MOUSE,Q80U58,Q62176,PUM2_MOUSE,RBM38_MOUSE,5,1.59,14.48,0,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,1,1,1,Cytosol,N/A,Cytosol;Nucleoplasm,N/A,Cytosol,0,N/A,N/A,N/A,1,0,5384,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DUSP14,RBFOX2,MOUSE,HUMAN,Q9JLY7,O43251,DUS14_MOUSE,RFOX2_HUMAN,11,7.8,14.46,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,Cytosol;Nucleoplasm,N/A,Nucleoplasm,Cytosol,Cytosol;Nucleoplasm,0,N/A,N/A,N/A,0,1,0,10995,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
U2AF1,U2AF2,HUMAN,MOUSE,Q01081,P26369,U2AF1_HUMAN,U2AF2_MOUSE,11,10.26,14.24,1,9.07,9.02,1,5,1,1,1,1,1,1,1,1,1,0,0,Nucleoplasm,N/A,Nuclear speckles,Nucleoplasm,Nucleoplasm,0,N/A,N/A,N/A,1,1,2329,14360,0.254553246,0.25887993,0.938388626,0.224449771,0.813586098,1949,0.8286565,0.04419094,18.7517283,0,0,2656,0.368173,0.01553711,23.69636309,0,0
CFL1,ACTB,HUMAN,MOUSE,P23528,P60710,COF1_HUMAN,ACTB_MOUSE,10,9.08,14.2,1,N/A,N/A,N/A,N/A,1,1,1,1,1,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DUSP14,CTBP1,MOUSE,HUMAN,Q9JLY7,Q13363,DUS14_MOUSE,CTBP1_HUMAN,3,1.53,14.17,0,N/A,N/A,N/A,N/A,0,0,0,0,0,0,1,1,1,1,0,Cytosol;Nucleoplasm,N/A,Nucleoplasm,N/A,Nucleoplasm,0,N/A,N/A,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RBM14,PSPC1,MOUSE,MOUSE,Q8C2Q3,Q8R326,RBM14_MOUSE,PSPC1_MOUSE,10,8.92,13.98,1,N/A,N/A,N/A,N/A,1,1,0,0,1,1,1,1,1,0,0,Nuclear speckles,N/A,Nucleoplasm,Nucleoli fibrillar center,N/A,0,N/A,N/A,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
