Feature,AUROC,AUPRC,PRC Baseline,AUPRC - Baseline,Total Events,Num Significant
HNRNPUL1_5_binding,0.9047619047619048,0.7777777777777777,0.125,0.6527777777777777,24,3
UPF1_3_binding,0.9268292682926828,0.4,0.0465116279069767,0.3534883720930233,43,2
AKAP8L_5_binding,0.8133333333333335,0.4485714285714285,0.1428571428571428,0.3057142857142856,35,5
U2AF2_4_binding,0.497184231697506,0.2854184170227047,0.0887096774193548,0.1967087396033499,124,11
FMR1_5_binding,0.9787234042553192,0.2,0.0052910052910052,0.1947089947089947,189,1
EIF3G_6_binding,0.5,0.5,0.3333333333333333,0.1666666666666666,3,1
MBNL1_6_binding,0.8125,0.2428571428571428,0.0769230769230769,0.1659340659340659,26,2
SMNDC1_3_binding,0.9736842105263158,0.1666666666666666,0.0052356020942408,0.1614310645724258,191,1
FMR1_1_binding,0.7007722007722007,0.1723710317460317,0.0152091254752851,0.1571619062707465,263,4
HNRNPM_1_binding,0.4666666666666667,0.244047619047619,0.1071428571428571,0.1369047619047619,28,3
CPSF6_5_binding,0.85,0.1526315789473684,0.0277777777777777,0.1248538011695906,72,2
AGGF1_1_binding,0.7916666666666666,0.1769230769230769,0.0526315789473684,0.1242914979757085,38,2
AGGF1_2_binding,0.6893939393939394,0.2003337468249749,0.0833333333333333,0.1170004134916415,72,6
U2AF1_4_binding,0.5067567567567568,0.2112224293258776,0.0975609756097561,0.1136614537161214,41,4
FMR1_2_binding,0.6111111111111112,0.125419537184243,0.0120481927710843,0.1133713444131587,249,3
BUD13_3_binding,0.9931389365351628,0.1111111111111111,0.0008568980291345,0.1102542130819765,1167,1
HNRNPK_6_binding,0.8333333333333334,0.125,0.0232558139534883,0.1017441860465116,43,1
AGGF1_5_binding,0.7061224489795918,0.2710506416303487,0.1694915254237288,0.1015591162066198,59,10
SMNDC1_5_binding,0.7132838283828383,0.1104369999117244,0.0146341463414634,0.095802853570261,410,6
U2AF1_6_binding,0.52,0.1684782608695652,0.074074074074074,0.0944041867954911,27,2
HNRNPK_2_binding,0.4771739130434783,0.1924072417444277,0.0980392156862745,0.0943680260581532,102,10
EIF4G2_2_binding,0.8369565217391304,0.1111111111111111,0.0212765957446808,0.0898345153664302,47,1
MBNL1_2_binding,0.7142857142857143,0.1555555555555555,0.0666666666666666,0.0888888888888888,30,2
BUD13_5_binding,0.4002741228070176,0.0895914090373181,0.0078328981723237,0.0817585108649943,1532,12
PUM1_3_binding,0.8731182795698924,0.0891414141414141,0.0095846645367412,0.0795567496046729,313,3
CSTF2T_2_binding,0.9560810810810813,0.0714285714285714,0.0033670033670033,0.068061568061568,297,1
RBM22_4_binding,0.7058111380145279,0.0722898417863933,0.0146137787056367,0.0576760630807565,479,7
FTO_4_binding,0.5294117647058824,0.1111111111111111,0.0555555555555555,0.0555555555555555,18,1
DDX3X_3_binding,0.7717546362339515,0.0531948881789137,0.0028449502133712,0.0503499379655424,703,2
EFTUD2_3_binding,0.6024739327168994,0.1022889033672157,0.0537974683544303,0.0484914350127853,632,34
HNRNPK_5_binding,0.5925925925925926,0.0833333333333333,0.0357142857142857,0.0476190476190476,28,1
DDX24_5_binding,0.6048734770384255,0.052250973997933,0.0046641791044776,0.0475867948934553,1072,5
EFTUD2_4_binding,0.6682052972854161,0.081935805866207,0.0343839541547277,0.0475518517114792,1047,36
UPF1_2_binding,0.6101694915254237,0.08,0.0327868852459016,0.0472131147540983,61,2
KHSRP_3_binding,0.5242851906158358,0.0568694288740508,0.0109670987038883,0.0459023301701625,1003,11
MATR3_4_binding,0.4545454545454546,0.1964285714285714,0.1538461538461538,0.0425824175824175,13,2
AGGF1_4_binding,0.5514285714285714,0.106516063061566,0.0666666666666666,0.0398493963948993,75,5
U2AF2_3_binding,0.5954694170689862,0.1310002112374314,0.0913770913770913,0.03962311986034,777,71
FXR1_3_binding,0.8713450292397661,0.0434782608695652,0.005813953488372,0.0376643073811931,172,1
