Feature,AUROC,AUPRC,PRC Baseline,AUPRC - Baseline,Total Events,Num Significant
AKAP1_1_binding,,,0.0,,14,0
AKAP1_2_binding,,,0.0,,20,0
AKAP1_3_binding,,,0.0,,16,0
AKAP1_4_binding,,,0.0,,23,0
AKAP1_5_binding,0.5857142857142856,0.03333333333333333,0.027777777777777776,0.005555555555555557,36,1
AKAP1_6_binding,0.3178807947019867,0.02071030341722758,0.01948051948051948,0.0012297839367081016,154,3
AQR_1_binding,0.3414053279379531,0.01131393832306216,0.01347305389221557,-0.00215911556915341,1336,18
AQR_2_binding,0.2851454101454101,0.0060830900846599555,0.00891089108910891,-0.0028278010044489547,2020,18
AQR_3_binding,0.8245775918635171,0.10206459663485594,0.01038961038961039,0.09167498624524555,1540,16
AQR_4_binding,0.7488584474885844,0.08806721197092322,0.01194267515923567,0.07612453681168756,1256,15
AQR_5_binding,0.3356389331210191,0.011792851824639159,0.016701461377870562,-0.004908609553231403,1916,32
AQR_6_binding,0.19863977485928705,0.008327680055994886,0.013039117352056168,-0.004711437296061282,997,13
BCCIP_2_binding,,,0.0,,7,0
BCCIP_3_binding,,,0.0,,2,0
BCCIP_5_binding,,,0.0,,1,0
BCCIP_6_binding,,,0.0,,2,0
BCLAF1_1_binding,0.4833263859941642,0.02036424272857029,0.013974517057131115,0.006389725671439174,2433,34
BCLAF1_2_binding,0.3760980358019025,0.009799084547769036,0.013128402177393531,-0.003329317629624495,3123,41
BCLAF1_3_binding,0.8493709109209864,0.17535167549521088,0.007492507492507493,0.1678591680027034,2002,15
BCLAF1_4_binding,0.6723363037582333,0.01825960060957202,0.0038595137012736396,0.014400086908298379,2591,10
BCLAF1_5_binding,0.370487497948241,0.01499257532672385,0.013227513227513227,0.0017650620992106236,2646,35
BCLAF1_6_binding,0.2650168556543058,0.03586814579317107,0.010312405216863815,0.025555740576307252,3297,34
BUD13_1_binding,0.8903846153846154,0.030219780219780223,0.0038314176245210726,0.02638836259525915,522,2
BUD13_2_binding,,,0.0,,504,0
BUD13_3_binding,,,0.0,,469,0
BUD13_4_binding,,,0.0,,311,0
BUD13_5_binding,,,0.0,,622,0
BUD13_6_binding,,,0.0,,298,0
CSTF2T_1_binding,,,0.0,,58,0
CSTF2T_2_binding,0.7978723404255319,0.02564102564102564,0.005291005291005291,0.02035002035002035,189,1
CSTF2T_3_binding,,,0.0,,49,0
CSTF2T_4_binding,0.5142857142857142,0.05555555555555555,0.027777777777777776,0.027777777777777776,36,1
CSTF2T_5_binding,,,0.0,,26,0
CSTF2T_6_binding,,,0.0,,34,0
CSTF2_1_binding,,,0.0,,4,0
CSTF2_2_binding,,,0.0,,2,0
CSTF2_3_binding,,,0.0,,11,0
CSTF2_4_binding,,,0.0,,3,0
CSTF2_5_binding,,,0.0,,6,0
CSTF2_6_binding,,,0.0,,86,0
DDX3X_1_binding,0.48144344015338264,0.013678851838120175,0.014574898785425101,-0.0008960469473049265,1235,18
DDX3X_2_binding,0.456334461458358,0.0348691340118216,0.02223816355810617,0.012630970453715432,1394,31
DDX3X_3_binding,0.6678066037735849,0.030905531061513912,0.01486988847583643,0.01603564258567748,538,8
DDX3X_4_binding,0.6129032258064516,0.02047877419427313,0.01195219123505976,0.00852658295921337,251,3
DDX3X_5_binding,0.3831631826284233,0.036198723822109286,0.04473684210526316,-0.008538118283153873,380,17
DDX3X_6_binding,0.2163355408388521,0.03873751172266735,0.05625,-0.01751248827733265,160,9
DDX52_1_binding,,,0.0,,1,0
DDX52_2_binding,,,0.0,,2,0
DDX52_3_binding,,,0.0,,2,0
DDX52_5_binding,,,0.0,,4,0
DDX55_1_binding,,,0.0,,26,0
DDX55_2_binding,,,0.0,,46,0
DDX55_3_binding,,,0.0,,39,0
DDX55_4_binding,,,0.0,,39,0
DDX55_5_binding,,,0.0,,60,0
DDX55_6_binding,,,0.0,,116,0
DDX59_1_binding,0.8255813953488371,0.19642857142857142,0.044444444444444446,0.15198412698412697,45,2
DDX59_2_binding,0.12121212121212119,0.06462482792902831,0.09836065573770492,-0.03373582780867661,61,6
DDX59_3_binding,0.23214285714285712,0.07955967904276176,0.1111111111111111,-0.031551432068349344,63,7
DDX59_4_binding,0.48484848484848486,0.05555555555555555,0.029411764705882353,0.0261437908496732,34,1
DDX59_5_binding,0.06707317073170732,0.06468170072821236,0.08888888888888889,-0.024207188160676532,45,4
DDX59_6_binding,,,0.0,,45,0
DDX6_1_binding,0.5,0.1111111111111111,0.1111111111111111,0.0,9,1
DDX6_2_binding,,,0.0,,4,0
DDX6_3_binding,,,0.0,,5,0
DDX6_4_binding,,,0.0,,7,0
DDX6_5_binding,,,0.0,,1,0
DDX6_6_binding,,,0.0,,32,0
DKC1_1_binding,,,0.0,,20,0
DKC1_2_binding,,,0.0,,32,0
DKC1_3_binding,0.7631578947368421,0.1,0.02564102564102564,0.07435897435897437,39,1
DKC1_4_binding,0.41935483870967744,0.07472826086956522,0.06060606060606061,0.014122200263504608,33,2
DKC1_5_binding,,,0.0,,34,0
DKC1_6_binding,,,0.0,,23,0
EFTUD2_1_binding,0.8084832904884318,0.44892874937717986,0.007653061224489796,0.4412756881526901,392,3
EFTUD2_2_binding,0.3804354965843405,0.012734949717769502,0.015647226173541962,-0.00291227645577246,1406,22
EFTUD2_3_binding,0.32425742574257427,0.007360625150746607,0.007858546168958742,-0.000497921018212135,509,4
EFTUD2_4_binding,0.40381493506493504,0.006740536773643001,0.0064516129032258064,0.0002889238704171949,620,4
EFTUD2_5_binding,0.7852803738317757,0.3362914862914863,0.011547344110854504,0.3247441421806318,433,5
EFTUD2_6_binding,0.28241106719367587,0.007741979415023111,0.009784735812133072,-0.002042756397109961,511,5
EIF3D_1_binding,,,0.0,,31,0
EIF3D_2_binding,,,0.0,,38,0
EIF3D_3_binding,0.5,0.058823529411764705,0.030303030303030304,0.0285204991087344,33,1
EIF3D_4_binding,,,0.0,,23,0
EIF3D_5_binding,,,0.0,,20,0
EIF3D_6_binding,,,0.0,,23,0
FAM120A_1_binding,,,0.0,,44,0
FAM120A_2_binding,0.34285714285714286,0.010752688172043012,0.0070921985815602835,0.003660489590482728,141,1
FAM120A_3_binding,,,0.0,,37,0
FAM120A_4_binding,0.19047619047619047,0.02857142857142857,0.023255813953488372,0.005315614617940199,43,1
FAM120A_5_binding,,,0.0,,36,0
FAM120A_6_binding,,,0.0,,35,0
FASTKD2_1_binding,0.5,0.03125,0.03125,0.0,32,1
FASTKD2_2_binding,,,0.0,,54,0
FASTKD2_3_binding,,,0.0,,22,0
FASTKD2_4_binding,,,0.0,,19,0
FASTKD2_5_binding,,,0.0,,27,0
FASTKD2_6_binding,,,0.0,,27,0
FKBP4_1_binding,,,0.0,,8,0
FKBP4_2_binding,,,0.0,,35,0
FKBP4_3_binding,,,0.0,,5,0
FKBP4_4_binding,,,0.0,,10,0
FKBP4_5_binding,,,0.0,,1,0
FKBP4_6_binding,,,0.0,,2,0
FTO_1_binding,0.34883720930232553,0.034482758620689655,0.022727272727272728,0.011755485893416927,44,1
FTO_2_binding,0.5,0.022727272727272728,0.022727272727272728,0.0,44,1
FTO_3_binding,,,0.0,,37,0
FTO_4_binding,,,0.0,,33,0
FTO_5_binding,,,0.0,,37,0
FTO_6_binding,,,0.0,,29,0
FUBP3_1_binding,,,0.0,,4,0
FUBP3_3_binding,0.5,0.41666666666666663,0.3333333333333333,0.08333333333333331,6,2
FUBP3_4_binding,,,0.0,,2,0
FUBP3_5_binding,,,0.0,,4,0
FUBP3_6_binding,0.804945054945055,0.5580601092896175,0.042105263157894736,0.5159548461317227,95,4
FUS_1_binding,,,0.0,,5,0
FUS_2_binding,,,0.0,,29,0
FUS_3_binding,,,0.0,,8,0
FUS_4_binding,,,0.0,,19,0
FUS_5_binding,,,0.0,,9,0
FUS_6_binding,,,0.0,,11,0
G3BP1_1_binding,0.10658602150537634,0.010438251424825833,0.016913319238900635,-0.006475067814074802,473,8
G3BP1_2_binding,0.4331417624521072,0.011922741276023871,0.009487666034155597,0.0024350752418682738,527,5
G3BP1_3_binding,,,0.0,,505,0
G3BP1_4_binding,0.4855855855855856,0.015375710906437164,0.003590664272890485,0.011785046633546679,557,2
G3BP1_5_binding,0.4876778455284553,0.031622437271198234,0.00906344410876133,0.022558993162436904,662,6
G3BP1_6_binding,0.11318944844124701,0.0031641781208361385,0.004297994269340974,-0.0011338161485048358,698,3
GRSF1_1_binding,0.7692307692307692,0.14285714285714285,0.037037037037037035,0.10582010582010581,27,1
GRSF1_2_binding,,,0.0,,53,0
GRSF1_3_binding,,,0.0,,26,0
GRSF1_4_binding,,,0.0,,20,0
GRSF1_5_binding,,,0.0,,33,0
GRSF1_6_binding,,,0.0,,20,0
GRWD1_1_binding,0.2866405307599518,0.004301031749327697,0.005995203836930456,-0.0016941720876027582,1668,10
GRWD1_2_binding,0.19498669032830523,0.003618461866529421,0.005734450816056462,-0.0021159889495270413,2267,13
GRWD1_3_binding,0.8916967509025271,0.10420168067226891,0.0018018018018018018,0.10239987887046711,1110,2
GRWD1_4_binding,0.678032938993273,0.005363800225487689,0.0020833333333333333,0.0032804668921543553,1440,3
GRWD1_5_binding,0.2665710912464159,0.0046494828334698955,0.006756756756756757,-0.0021072739232868617,1628,11
GRWD1_6_binding,0.2576813430471967,0.0037734232138415262,0.005445544554455445,-0.001672121340613919,2020,11
GTF2F1_1_binding,,,0.0,,94,0
GTF2F1_2_binding,0.025210084033613467,0.004291845493562232,0.0041841004184100415,0.00010774507515219026,239,1
GTF2F1_3_binding,,,0.0,,53,0
GTF2F1_4_binding,,,0.0,,51,0
GTF2F1_5_binding,0.5185185185185186,0.07142857142857142,0.03571428571428571,0.03571428571428571,28,1
GTF2F1_6_binding,,,0.0,,23,0
HLTF_1_binding,,,0.0,,46,0
HLTF_2_binding,,,0.0,,53,0
HLTF_3_binding,,,0.0,,42,0
HLTF_4_binding,,,0.0,,51,0
HLTF_5_binding,,,0.0,,60,0
HLTF_6_binding,,,0.0,,54,0
HNRNPA1_5_binding,,,0.0,,1,0
HNRNPA1_6_binding,,,0.0,,1,0
HNRNPC_1_binding,0.5,0.5909090909090909,0.18181818181818182,0.4090909090909091,11,2
HNRNPC_2_binding,0.2727272727272727,0.1111111111111111,0.08333333333333333,0.027777777777777776,12,1
