feature,AUROC,AUPRC,total_events,num_significant
BCCIP_1,0.5,0.006993006993006993,143,1
BCCIP_2,0.5,0.04645476772616137,409,19
BCCIP_3,0.5,0.02336448598130841,214,5
BCCIP_5,0.5,0.010416666666666666,96,1
PRPF4_1,0.400620141746685,0.015295077035145443,20832,420
PRPF4_2,0.41229120832182736,0.01792236665932166,39384,868
PRPF4_3,0.6164926399825355,0.05579193179442825,20869,551
PRPF4_4,0.5619005887991236,0.06577209351207731,16886,536
PRPF4_5,0.3563879865990548,0.02248399925977998,17992,573
PRPF4_6,0.3959663493780491,0.014809399585626784,13117,243
MATR3_1,0.5,0.11235955056179775,89,10
MATR3_2,0.5,0.02512562814070352,597,15
MATR3_3,0.6690171498215374,0.1123548984838849,568,21
MATR3_5,0.6222014925373134,0.01231060606060606,270,2
HNRNPC_1,0.5567715458276333,0.0690853439391451,738,7
HNRNPC_2,0.35349471088325,0.039551487724274095,849,38
HNRNPC_3,0.6314021281602135,0.027396628759637852,1686,23
HNRNPC_4,0.7259365711859425,0.06036519168564205,1835,34
HNRNPC_5,0.21471698113207546,0.0465909090909091,275,10
HNRNPC_6,0.2764133738601824,0.0025649645759006274,1650,5
SSB_1,0.5,0.03409090909090909,88,3
SSB_3,0.5689655172413793,0.06904761904761905,91,4
SSB_4,0.4698667966211826,0.058248299319727886,360,18
SSB_5,0.5,0.03225806451612903,31,1
SSB_6,0.5,0.010676156583629894,281,3
SUB1_1,0.562464234620887,0.03806773547162994,9398,78
SUB1_2,0.7614276410539619,0.04442984164191503,12581,209
SUB1_3,0.3459880333775102,0.007380855737357668,10600,98
SUB1_4,0.6561493756901609,0.05728321173348861,10993,139
SUB1_5,0.35390078036726896,0.013548809227546095,17548,330
SUB1_6,0.25194118863601506,0.008214216379070738,19825,264
FAM120A_1,0.5,0.019310593755639777,5541,107
FAM120A_2,0.4728982874196249,0.020345261363053938,15193,355
FAM120A_3,0.5177172350504199,0.03728881487484009,4152,141
FAM120A_4,0.4025307725883894,0.02825705433526083,4095,145
