Feature,AUROC,AUPRC,PRC Baseline,AUPRC - Baseline,Total Events,Num Significant
TIAL1_1_binding,1.0,1.0,0.0625,0.9375,16,1
SRSF9_1_binding,0.9444444444444444,0.7,0.0689655172413793,0.6310344827586206,29,2
FUBP3_6_binding,0.804945054945055,0.5580601092896175,0.0421052631578947,0.5159548461317227,95,4
TARDBP_2_binding,0.9876543209876544,0.5,0.0121951219512195,0.4878048780487805,82,1
NCBP2_3_binding,0.9852941176470588,0.5,0.0144927536231884,0.4855072463768116,69,1
EFTUD2_1_binding,0.8084832904884318,0.4489287493771798,0.0076530612244897,0.4412756881526901,392,3
HNRNPC_1_binding,0.5,0.5909090909090909,0.1818181818181818,0.4090909090909091,11,2
EFTUD2_5_binding,0.7852803738317757,0.3362914862914863,0.0115473441108545,0.3247441421806318,433,5
XPO5_6_binding,0.9130434782608696,0.3333333333333333,0.0416666666666666,0.2916666666666666,24,1
HNRNPM_3_binding,0.7738095238095238,0.5763888888888888,0.3,0.2763888888888888,20,6
PCBP1_1_binding,0.9083333333333332,0.3416666666666667,0.0697674418604651,0.2718992248062015,43,3
ILF3_3_binding,0.6875,0.4166666666666666,0.2,0.2166666666666666,10,2
NKRF_3_binding,0.8928571428571429,0.25,0.0344827586206896,0.2155172413793103,29,1
SF3A3_6_binding,0.6799999999999999,0.2888888888888888,0.1071428571428571,0.1817460317460317,28,3
BCLAF1_3_binding,0.8493709109209864,0.1753516754952108,0.0074925074925074,0.1678591680027034,2002,15
PRPF8_3_binding,0.59375,0.1741584470200604,0.0194986072423398,0.1546598397777206,359,7
DDX59_1_binding,0.8255813953488371,0.1964285714285714,0.0444444444444444,0.1519841269841269,45,2
NCBP2_1_binding,0.5525584795321637,0.165340936103358,0.0318471337579617,0.1334938023453962,471,15
SF3A3_3_binding,0.7571360038378508,0.1740223658128509,0.0417193426042983,0.1323030232085526,791,33
SRSF9_6_binding,0.7916666666666666,0.1666666666666666,0.04,0.1266666666666666,25,1
HNRNPM_4_binding,0.6714285714285715,0.3780894544052439,0.2592592592592592,0.1188301951459846,27,7
U2AF1_6_binding,0.6337209302325582,0.196062831497348,0.0851063829787234,0.1109564485186245,47,4
GRSF1_1_binding,0.7692307692307692,0.1428571428571428,0.037037037037037,0.1058201058201058,27,1
GRWD1_3_binding,0.8916967509025271,0.1042016806722689,0.0018018018018018,0.1023998788704671,1110,2
AQR_3_binding,0.8245775918635171,0.1020645966348559,0.0103896103896103,0.0916749862452455,1540,16
PTBP1_5_binding,0.6379310344827587,0.1526315789473684,0.064516129032258,0.0881154499151103,31,2
TIAL1_6_binding,0.7121212121212122,0.0999795751633986,0.0122448979591836,0.087734677204215,245,3
ILF3_4_binding,0.4,0.25,0.1666666666666666,0.0833333333333333,12,2
FUBP3_3_binding,0.5,0.4166666666666666,0.3333333333333333,0.0833333333333333,6,2
AQR_4_binding,0.7488584474885844,0.0880672119709232,0.0119426751592356,0.0761245368116875,1256,15
DKC1_3_binding,0.7631578947368421,0.1,0.0256410256410256,0.0743589743589743,39,1
U2AF2_1_binding,0.5860024013499481,0.2129406446356202,0.144,0.0689406446356202,1000,144
SRSF9_3_binding,0.5,0.1111111111111111,0.0588235294117647,0.0522875816993464,17,1
PCBP2_1_binding,0.7391304347826086,0.0688679245283018,0.017094017094017,0.0517739074342847,117,2
HNRNPK_1_binding,0.7316017316017316,0.0858765328874024,0.0375,0.0483765328874024,80,3
TIAL1_3_binding,0.5476190476190477,0.1333333333333333,0.0869565217391304,0.0463768115942029,23,2
PCBP1_6_binding,0.5868544600938967,0.0866341991341991,0.0405405405405405,0.0460936585936585,74,3
UCHL5_3_binding,0.6981981981981982,0.0637279387279387,0.0198675496688741,0.0438603890590645,151,3
LARP4_3_binding,0.8767281105990784,0.0507765830346475,0.0091324200913242,0.0416441629433233,219,2
SND1_1_binding,0.8560975609756097,0.0483870967741935,0.0072639225181598,0.0411231742560337,413,3
PRPF4_1_binding,0.7849462365591398,0.0549769379556613,0.0158730158730158,0.0391039220826454,189,3
PCBP1_4_binding,0.6354166666666667,0.0770308123249299,0.04,0.0370308123249299,50,2
GTF2F1_5_binding,0.5185185185185186,0.0714285714285714,0.0357142857142857,0.0357142857142857,28,1
SF3B4_4_binding,0.6352941176470588,0.0901373637505571,0.0555555555555555,0.0345818081950016,90,5
PCBP2_5_binding,0.5833333333333333,0.0769696969696969,0.044776119402985,0.0321935775667118,67,3
EIF3D_3_binding,0.5,0.0588235294117647,0.0303030303030303,0.0285204991087344,33,1
