feature,AUROC,AUPRC,total_events,num_significant
MATR3_1,0.5234741784037559,0.002457002457002457,427,1
MATR3_2,0.6251526251526252,0.009372552242269487,1465,9
MATR3_3,0.5272484276729561,0.03221982704091445,1090,30
MATR3_4,0.3328325320512821,0.02129777711700776,1284,36
MATR3_5,0.5,0.006593406593406593,455,3
MATR3_6,0.5,0.004629629629629629,216,1
HNRNPC_1,0.5,0.009724473257698542,617,6
HNRNPC_2,0.6607315891472868,0.038358384910109046,700,12
HNRNPC_3,0.607445008460237,0.031315240083507306,606,15
HNRNPC_4,0.7094220110847188,0.049349033246727264,857,15
HNRNPC_5,0.8231465761177137,0.06234501346663161,601,12
HNRNPC_6,0.5596330275229358,0.021517553793884484,1000,19
SSB_1,0.5,0.033734939759036145,415,14
SSB_2,0.924802110817942,0.034482758620689655,381,2
SSB_3,0.5,0.05060240963855422,415,21
SSB_4,0.35983935742971884,0.016520697019265722,254,5
SSB_5,0.5,0.045454545454545456,418,19
SSB_6,0.5,0.023157894736842106,475,11
FAM120A_1,0.3442065104865611,0.0075117116698822164,2393,22
FAM120A_2,0.3089112227805696,0.006863372219875425,2005,15
FAM120A_3,0.6914833778630689,0.05050079825366447,2334,53
FAM120A_4,0.5228996057021534,0.005484362698293046,1102,3
FAM120A_5,0.5642992153044275,0.03468648470163048,2751,65
FAM120A_6,0.6245365043295756,0.05864315863603675,8964,157
EIF4G2_1,0.6455506450071667,0.059786470201713814,2427,35
EIF4G2_2,0.6627096782556843,0.046069646728128424,3019,52
EIF4G2_3,0.46875684923166844,0.022045427033592475,3821,88
EIF4G2_4,0.46904906577548233,0.024002102688770233,2328,58
EIF4G2_5,0.6746298053999616,0.05928040123326864,4051,114
EIF4G2_6,0.6403768847576692,0.033273027995509546,2302,33
MORC2_1,0.7522284288091277,0.12948735117570478,1244,42
MORC2_2,0.2854513927965554,0.013240601157022197,3546,69
MORC2_3,0.3598311218335344,0.010147529968400895,839,10
MORC2_4,0.9149765990639626,0.009174311926605505,642,1
MORC2_6,0.8010590015128594,0.026497695852534562,665,4
AATF_1,0.5362276289594392,0.02175908198116302,4550,87
AATF_2,0.6368286145986977,0.04000399231954756,5947,95
