Feature,AUROC,AUPRC,PRC Baseline,AUPRC - Baseline,Total Events,Num Significant
AARS_1_binding,,,0.0,,2,0
AARS_2_binding,,,0.0,,2,0
AARS_3_binding,,,0.0,,4,0
AARS_5_binding,,,0.0,,3,0
AATF_1_binding,,,0.0,,45,0
AATF_2_binding,,,0.0,,48,0
AATF_3_binding,,,0.0,,70,0
AATF_4_binding,,,0.0,,35,0
AATF_5_binding,,,0.0,,55,0
AATF_6_binding,,,0.0,,32,0
ABCF1_1_binding,,,0.0,,4,0
ABCF1_2_binding,,,0.0,,3,0
ABCF1_3_binding,,,0.0,,3,0
ABCF1_4_binding,,,0.0,,2,0
ABCF1_6_binding,,,0.0,,1,0
AGGF1_1_binding,0.7916666666666666,0.17692307692307693,0.05263157894736842,0.12429149797570851,38,2
AGGF1_2_binding,0.6893939393939394,0.2003337468249749,0.08333333333333333,0.11700041349164157,72,6
AGGF1_3_binding,0.5428571428571429,0.10024206872032959,0.08196721311475409,0.0182748556055755,61,5
AGGF1_4_binding,0.5514285714285714,0.10651606306156601,0.06666666666666667,0.039849396394899345,75,5
AGGF1_5_binding,0.7061224489795918,0.2710506416303487,0.1694915254237288,0.10155911620661989,59,10
AGGF1_6_binding,,,0.0,,75,0
AKAP1_1_binding,,,0.0,,3,0
AKAP1_2_binding,,,0.0,,5,0
AKAP1_3_binding,,,0.0,,3,0
AKAP1_4_binding,,,0.0,,1,0
AKAP1_5_binding,,,0.0,,7,0
AKAP1_6_binding,,,0.0,,19,0
AKAP8L_1_binding,0.23684210526315785,0.03333333333333333,0.02564102564102564,0.007692307692307693,39,1
AKAP8L_2_binding,0.3756302521008403,0.07234859302646451,0.07751937984496124,-0.005170786818496725,129,10
AKAP8L_3_binding,0.10989010989010989,0.09969986018122663,0.15217391304347827,-0.05247405286225164,46,7
AKAP8L_4_binding,0.27499999999999997,0.07164404223227754,0.06976744186046512,0.0018766003718124202,43,3
AKAP8L_5_binding,0.8133333333333335,0.4485714285714285,0.14285714285714285,0.30571428571428566,35,5
AKAP8L_6_binding,,,0.0,,19,0
APOBEC3C_1_binding,,,0.0,,71,0
APOBEC3C_2_binding,,,0.0,,93,0
APOBEC3C_3_binding,,,0.0,,91,0
APOBEC3C_4_binding,,,0.0,,82,0
APOBEC3C_5_binding,,,0.0,,163,0
APOBEC3C_6_binding,,,0.0,,193,0
AQR_1_binding,0.4073959671839478,0.046293032286458,0.059608540925266906,-0.013315508638808905,2248,134
