Feature,AUROC,AUPRC,Total Events,Num Significant
AKAP1_1_binding,,,14,0
AKAP1_2_binding,,,20,0
AKAP1_3_binding,,,16,0
AKAP1_4_binding,,,23,0
AKAP1_5_binding,0.5857142857142856,0.03333333333333333,36,1
AKAP1_6_binding,0.3178807947019867,0.02071030341722758,154,3
AQR_1_binding,0.3414053279379531,0.01131393832306216,1336,18
AQR_2_binding,0.2851454101454101,0.0060830900846599555,2020,18
AQR_3_binding,0.8245775918635171,0.10206459663485594,1540,16
AQR_4_binding,0.7488584474885844,0.08806721197092322,1256,15
AQR_5_binding,0.3356389331210191,0.011792851824639159,1916,32
AQR_6_binding,0.19863977485928705,0.008327680055994886,997,13
BCCIP_2_binding,,,7,0
BCCIP_3_binding,,,2,0
BCCIP_5_binding,,,1,0
BCCIP_6_binding,,,2,0
BCLAF1_1_binding,0.4833263859941642,0.02036424272857029,2433,34
BCLAF1_2_binding,0.3760980358019025,0.009799084547769036,3123,41
BCLAF1_3_binding,0.8493709109209864,0.17535167549521088,2002,15
BCLAF1_4_binding,0.6723363037582333,0.01825960060957202,2591,10
BCLAF1_5_binding,0.370487497948241,0.01499257532672385,2646,35
BCLAF1_6_binding,0.2650168556543058,0.03586814579317107,3297,34
BUD13_1_binding,0.8903846153846154,0.030219780219780223,522,2
BUD13_2_binding,,,504,0
BUD13_3_binding,,,469,0
BUD13_4_binding,,,311,0
BUD13_5_binding,,,622,0
BUD13_6_binding,,,298,0
CSTF2T_1_binding,,,58,0
CSTF2T_2_binding,0.7978723404255319,0.02564102564102564,189,1
CSTF2T_3_binding,,,49,0
CSTF2T_4_binding,0.5142857142857142,0.05555555555555555,36,1
CSTF2T_5_binding,,,26,0
CSTF2T_6_binding,,,34,0
CSTF2_1_binding,,,4,0
CSTF2_2_binding,,,2,0
CSTF2_3_binding,,,11,0
CSTF2_4_binding,,,3,0
CSTF2_5_binding,,,6,0
CSTF2_6_binding,,,86,0
DDX3X_1_binding,0.48144344015338264,0.013678851838120175,1235,18
DDX3X_2_binding,0.456334461458358,0.0348691340118216,1394,31
DDX3X_3_binding,0.6678066037735849,0.030905531061513912,538,8
DDX3X_4_binding,0.6129032258064516,0.02047877419427313,251,3
DDX3X_5_binding,0.3831631826284233,0.036198723822109286,380,17
DDX3X_6_binding,0.2163355408388521,0.03873751172266735,160,9
DDX52_1_binding,,,1,0
DDX52_2_binding,,,2,0
DDX52_3_binding,,,2,0
DDX52_5_binding,,,4,0
DDX55_1_binding,,,26,0
DDX55_2_binding,,,46,0
DDX55_3_binding,,,39,0
DDX55_4_binding,,,39,0
DDX55_5_binding,,,60,0
DDX55_6_binding,,,116,0
DDX59_1_binding,0.8255813953488371,0.19642857142857142,45,2
DDX59_2_binding,0.12121212121212119,0.06462482792902831,61,6
DDX59_3_binding,0.23214285714285712,0.07955967904276176,63,7
DDX59_4_binding,0.48484848484848486,0.05555555555555555,34,1
DDX59_5_binding,0.06707317073170732,0.06468170072821236,45,4
DDX59_6_binding,,,45,0
DDX6_1_binding,0.5,0.1111111111111111,9,1
DDX6_2_binding,,,4,0
DDX6_3_binding,,,5,0
DDX6_4_binding,,,7,0
DDX6_5_binding,,,1,0
DDX6_6_binding,,,32,0
DKC1_1_binding,,,20,0
DKC1_2_binding,,,32,0
DKC1_3_binding,0.7631578947368421,0.1,39,1
DKC1_4_binding,0.41935483870967744,0.07472826086956522,33,2
DKC1_5_binding,,,34,0
DKC1_6_binding,,,23,0
EFTUD2_1_binding,0.8084832904884318,0.44892874937717986,392,3
EFTUD2_2_binding,0.3804354965843405,0.012734949717769502,1406,22
EFTUD2_3_binding,0.32425742574257427,0.007360625150746607,509,4
EFTUD2_4_binding,0.40381493506493504,0.006740536773643001,620,4
EFTUD2_5_binding,0.7852803738317757,0.3362914862914863,433,5
EFTUD2_6_binding,0.28241106719367587,0.007741979415023111,511,5
EIF3D_1_binding,,,31,0
EIF3D_2_binding,,,38,0
EIF3D_3_binding,0.5,0.058823529411764705,33,1
EIF3D_4_binding,,,23,0
EIF3D_5_binding,,,20,0
EIF3D_6_binding,,,23,0
FAM120A_1_binding,,,44,0
FAM120A_2_binding,0.34285714285714286,0.010752688172043012,141,1
FAM120A_3_binding,,,37,0
FAM120A_4_binding,0.19047619047619047,0.02857142857142857,43,1
FAM120A_5_binding,,,36,0
FAM120A_6_binding,,,35,0
FASTKD2_1_binding,0.5,0.03125,32,1
FASTKD2_2_binding,,,54,0
FASTKD2_3_binding,,,22,0
FASTKD2_4_binding,,,19,0
FASTKD2_5_binding,,,27,0
FASTKD2_6_binding,,,27,0
FKBP4_1_binding,,,8,0
FKBP4_2_binding,,,35,0
FKBP4_3_binding,,,5,0
FKBP4_4_binding,,,10,0
FKBP4_5_binding,,,1,0
FKBP4_6_binding,,,2,0
FTO_1_binding,0.34883720930232553,0.034482758620689655,44,1
FTO_2_binding,0.5,0.022727272727272728,44,1
FTO_3_binding,,,37,0
FTO_4_binding,,,33,0
FTO_5_binding,,,37,0
FTO_6_binding,,,29,0
FUBP3_1_binding,,,4,0
FUBP3_3_binding,0.5,0.41666666666666663,6,2
FUBP3_4_binding,,,2,0
FUBP3_5_binding,,,4,0
FUBP3_6_binding,0.804945054945055,0.5580601092896175,95,4
FUS_1_binding,,,5,0
FUS_2_binding,,,29,0
FUS_3_binding,,,8,0
FUS_4_binding,,,19,0
FUS_5_binding,,,9,0
FUS_6_binding,,,11,0
G3BP1_1_binding,0.10658602150537634,0.010438251424825833,473,8
G3BP1_2_binding,0.4331417624521072,0.011922741276023871,527,5
G3BP1_3_binding,,,505,0
G3BP1_4_binding,0.4855855855855856,0.015375710906437164,557,2
G3BP1_5_binding,0.4876778455284553,0.031622437271198234,662,6
G3BP1_6_binding,0.11318944844124701,0.0031641781208361385,698,3
GRSF1_1_binding,0.7692307692307692,0.14285714285714285,27,1
GRSF1_2_binding,,,53,0
GRSF1_3_binding,,,26,0
GRSF1_4_binding,,,20,0
GRSF1_5_binding,,,33,0
GRSF1_6_binding,,,20,0
GRWD1_1_binding,0.2866405307599518,0.004301031749327697,1668,10
GRWD1_2_binding,0.19498669032830523,0.003618461866529421,2267,13
GRWD1_3_binding,0.8916967509025271,0.10420168067226891,1110,2
GRWD1_4_binding,0.678032938993273,0.005363800225487689,1440,3
GRWD1_5_binding,0.2665710912464159,0.0046494828334698955,1628,11
GRWD1_6_binding,0.2576813430471967,0.0037734232138415262,2020,11
GTF2F1_1_binding,,,94,0
GTF2F1_2_binding,0.025210084033613467,0.004291845493562232,239,1
GTF2F1_3_binding,,,53,0
GTF2F1_4_binding,,,51,0
GTF2F1_5_binding,0.5185185185185186,0.07142857142857142,28,1
GTF2F1_6_binding,,,23,0
HLTF_1_binding,,,46,0
HLTF_2_binding,,,53,0
HLTF_3_binding,,,42,0
HLTF_4_binding,,,51,0
HLTF_5_binding,,,60,0
HLTF_6_binding,,,54,0
HNRNPA1_5_binding,,,1,0
HNRNPA1_6_binding,,,1,0
HNRNPC_1_binding,0.5,0.5909090909090909,11,2
HNRNPC_2_binding,0.2727272727272727,0.1111111111111111,12,1
HNRNPC_3_binding,0.2551020408163265,0.2586048454469507,21,7
HNRNPC_4_binding,0.1484375,0.1468045112781955,20,4
HNRNPC_5_binding,,,4,0
HNRNPC_6_binding,,,18,0
HNRNPK_1_binding,0.7316017316017316,0.08587653288740245,80,3
HNRNPK_2_binding,0.44133268952197,0.12958530578065974,128,19
HNRNPK_3_binding,0.416354556803995,0.14389625360519023,107,18
HNRNPK_4_binding,0.31452145214521454,0.0960492648865697,116,15
HNRNPK_5_binding,0.5,0.09836065573770492,61,6
HNRNPK_6_binding,0.5,0.11320754716981132,53,6
HNRNPL_1_binding,,,10,0
HNRNPL_2_binding,,,16,0
HNRNPL_3_binding,0.5,0.08333333333333333,12,1
HNRNPL_4_binding,0.5263157894736843,0.1,21,2
HNRNPL_5_binding,,,6,0
HNRNPL_6_binding,,,34,0
HNRNPM_1_binding,0.5,0.25,4,1
HNRNPM_2_binding,0.25490196078431376,0.03707482993197279,53,2
HNRNPM_3_binding,0.7738095238095238,0.5763888888888888,20,6
