Feature,AUROC,AUPRC,Total Events,Num Significant
AARS_1_binding,,,2,0
AARS_2_binding,,,2,0
AARS_3_binding,,,4,0
AARS_5_binding,,,3,0
AATF_1_binding,,,45,0
AATF_2_binding,,,48,0
AATF_3_binding,,,70,0
AATF_4_binding,,,35,0
AATF_5_binding,,,55,0
AATF_6_binding,,,32,0
ABCF1_1_binding,,,4,0
ABCF1_2_binding,,,3,0
ABCF1_3_binding,,,3,0
ABCF1_4_binding,,,2,0
ABCF1_6_binding,,,1,0
AGGF1_1_binding,0.7916666666666666,0.17692307692307693,38,2
AGGF1_2_binding,0.6893939393939394,0.2003337468249749,72,6
AGGF1_3_binding,0.5428571428571429,0.10024206872032959,61,5
AGGF1_4_binding,0.5514285714285714,0.10651606306156601,75,5
AGGF1_5_binding,0.7061224489795918,0.2710506416303487,59,10
AGGF1_6_binding,,,75,0
AKAP1_1_binding,,,3,0
AKAP1_2_binding,,,5,0
AKAP1_3_binding,,,3,0
AKAP1_4_binding,,,1,0
AKAP1_5_binding,,,7,0
AKAP1_6_binding,,,19,0
AKAP8L_1_binding,0.23684210526315785,0.03333333333333333,39,1
AKAP8L_2_binding,0.3756302521008403,0.07234859302646451,129,10
AKAP8L_3_binding,0.10989010989010989,0.09969986018122663,46,7
AKAP8L_4_binding,0.27499999999999997,0.07164404223227754,43,3
AKAP8L_5_binding,0.8133333333333335,0.4485714285714285,35,5
AKAP8L_6_binding,,,19,0
APOBEC3C_1_binding,,,71,0
APOBEC3C_2_binding,,,93,0
APOBEC3C_3_binding,,,91,0
APOBEC3C_4_binding,,,82,0
APOBEC3C_5_binding,,,163,0
APOBEC3C_6_binding,,,193,0
AQR_1_binding,0.4073959671839478,0.046293032286458,2248,134
AQR_2_binding,0.3785298659260625,0.05016099832534916,10671,731
AQR_3_binding,0.5774257067692479,0.07935758823704504,2865,188
AQR_4_binding,0.637866551434321,0.0908703195450615,8154,465
AQR_5_binding,0.3770203155438529,0.05754951996416382,2915,207
AQR_6_binding,0.4201340507309955,0.046214842237410514,6829,362
BUD13_1_binding,0.6741387675885493,0.018701710126570403,1154,9
BUD13_2_binding,0.5436026936026935,0.01232795941624676,996,6
BUD13_3_binding,0.9931389365351629,0.1111111111111111,1167,1
BUD13_4_binding,0.5482170542635658,0.009988915998758527,650,5
BUD13_5_binding,0.4002741228070176,0.08959140903731813,1532,12
BUD13_6_binding,0.8103616813294233,0.017004153686396677,685,3
CPEB4_2_binding,,,3,0
CPEB4_3_binding,,,2,0
CPEB4_4_binding,,,3,0
CPEB4_5_binding,,,1,0
CPEB4_6_binding,,,11,0
CPSF6_1_binding,,,37,0
CPSF6_2_binding,,,54,0
CPSF6_3_binding,,,49,0
CPSF6_4_binding,,,55,0
CPSF6_5_binding,0.85,0.15263157894736842,72,2
CPSF6_6_binding,0.1178861788617886,0.013596164972311761,125,2
CSTF2T_1_binding,,,114,0
CSTF2T_2_binding,0.9560810810810811,0.07142857142857142,297,1
CSTF2T_3_binding,,,142,0
CSTF2T_4_binding,0.11111111111111116,0.010309278350515464,109,1
CSTF2T_5_binding,,,88,0
CSTF2T_6_binding,0.35984848484848486,0.011627906976744186,133,1
DDX1_1_binding,,,11,0
DDX1_2_binding,,,20,0
DDX1_3_binding,,,21,0
DDX1_4_binding,,,19,0
DDX1_5_binding,,,15,0
DDX1_6_binding,,,9,0
DDX24_1_binding,0.6202854230377166,0.003923278116826504,983,2
DDX24_2_binding,0.3628571428571429,0.002219453672942045,1227,2
DDX24_3_binding,0.9247491638795987,0.021243291592128802,899,2
DDX24_4_binding,,,917,0
DDX24_5_binding,0.6048734770384255,0.052250973997933,1072,5
DDX24_6_binding,0.4189079054604727,0.00282332028109618,1230,3
DDX3X_1_binding,0.3040492957746479,0.001471027758060298,1422,2
DDX3X_2_binding,0.43068887634105024,0.0036134020385324324,1777,6
DDX3X_3_binding,0.7717546362339515,0.05319488817891374,703,2
DDX3X_4_binding,0.5449640287769785,0.011978831438174926,280,2
DDX3X_5_binding,0.7718120805369127,0.01466795615731786,449,2
DDX3X_6_binding,,,131,0
DDX47_1_binding,0.25,0.3333333333333333,3,1
DDX47_2_binding,,,23,0
DDX47_3_binding,,,4,0
DDX47_4_binding,,,3,0
DDX51_1_binding,,,12,0
DDX51_2_binding,,,33,0
DDX51_3_binding,,,7,0
DDX51_4_binding,,,2,0
DDX51_5_binding,,,2,0
DDX51_6_binding,,,1,0
DDX52_1_binding,,,15,0
DDX52_2_binding,,,55,0
DDX52_3_binding,,,15,0
DDX52_4_binding,,,10,0
DDX52_5_binding,,,8,0
DDX52_6_binding,,,3,0
DDX55_1_binding,,,31,0
DDX55_2_binding,0.1636363636363637,0.02127659574468085,56,1
DDX55_3_binding,,,30,0
DDX55_4_binding,,,46,0
DDX55_5_binding,,,59,0
DDX55_6_binding,,,80,0
DHX30_1_binding,,,12,0
DHX30_2_binding,,,30,0
DHX30_3_binding,0.09090909090909094,0.09090909090909091,12,1
DHX30_4_binding,,,4,0
DHX30_5_binding,,,11,0
DHX30_6_binding,,,4,0
DROSHA_1_binding,0.2597809076682316,0.014166666666666668,216,3
DROSHA_2_binding,0.26869806094182824,0.0037735849056603774,362,1
