Cell Line,Column,Column Type,Sorted RBP Pair,RBP 1,Position 1,RBP 2,Position 2,# UBPs - Signed-Local-SHAP-Mean-Bound-Only,Value - Signed-Local-SHAP-Mean-Bound-Only,Rec-Y2H,Street et al | IP-MS,Street et al | IP/SEC-MS (Both),Rec-Y2H/Street et al. IP-MS (Union)
K562,PTBP1_1-IGF2BP1_6-interaction-shap,interaction,IGF2BP1-PTBP1,PTBP1,1,IGF2BP1,6,17,0.0460699386894702,Different-Position,False,False,Different-Position
K562,PTBP1_1-IGF2BP1_2-interaction-shap,interaction,IGF2BP1-PTBP1,PTBP1,1,IGF2BP1,2,14,0.0435549281537532,Different-Position,False,False,Different-Position
K562,PTBP1_3-IGF2BP1_4-interaction-shap,interaction,IGF2BP1-PTBP1,PTBP1,3,IGF2BP1,4,5,0.038576416671276,Different-Position,False,False,Different-Position
K562,PTBP1_1-IGF2BP1_5-interaction-shap,interaction,IGF2BP1-PTBP1,PTBP1,1,IGF2BP1,5,21,0.0094789639115333,Different-Position,False,False,Different-Position
HepG2,PTBP1_1-IGF2BP1_4-interaction-shap,interaction,IGF2BP1-PTBP1,PTBP1,1,IGF2BP1,4,2,0.0,Different-Position,False,False,Different-Position
HepG2,PTBP1_1-IGF2BP1_5-interaction-shap,interaction,IGF2BP1-PTBP1,PTBP1,1,IGF2BP1,5,4,0.0,Different-Position,False,False,Different-Position
HepG2,IGF2BP1_1-PTBP1_3-interaction-shap,interaction,IGF2BP1-PTBP1,IGF2BP1,1,PTBP1,3,37,0.0,Different-Position,False,False,Different-Position
HepG2,PTBP1_1-IGF2BP1_3-interaction-shap,interaction,IGF2BP1-PTBP1,PTBP1,1,IGF2BP1,3,8,0.0,Different-Position,False,False,Different-Position
HepG2,PTBP1_2-IGF2BP1_3-interaction-shap,interaction,IGF2BP1-PTBP1,PTBP1,2,IGF2BP1,3,15,0.0,Different-Position,False,False,Different-Position
HepG2,IGF2BP1_2-PTBP1_4-interaction-shap,interaction,IGF2BP1-PTBP1,IGF2BP1,2,PTBP1,4,30,0.0,Different-Position,False,False,Different-Position
HepG2,PTBP1_2-IGF2BP1_4-interaction-shap,interaction,IGF2BP1-PTBP1,PTBP1,2,IGF2BP1,4,16,0.0,Different-Position,False,False,Different-Position
HepG2,IGF2BP1_2-PTBP1_5-interaction-shap,interaction,IGF2BP1-PTBP1,IGF2BP1,2,PTBP1,5,11,0.0,Different-Position,False,False,Different-Position
HepG2,PTBP1_2-IGF2BP1_5-interaction-shap,interaction,IGF2BP1-PTBP1,PTBP1,2,IGF2BP1,5,12,0.0,Different-Position,False,False,Different-Position
HepG2,IGF2BP1_3-PTBP1_4-interaction-shap,interaction,IGF2BP1-PTBP1,IGF2BP1,3,PTBP1,4,28,0.0,Different-Position,False,False,Different-Position
HepG2,IGF2BP1_2-PTBP1_2-interaction-shap,interaction,IGF2BP1-PTBP1,IGF2BP1,2,PTBP1,2,8,0.0,Same-Position,False,False,Same-Position
HepG2,IGF2BP1_2-PTBP1_3-interaction-shap,interaction,IGF2BP1-PTBP1,IGF2BP1,2,PTBP1,3,14,0.0,Different-Position,False,False,Different-Position
HepG2,IGF2BP1_1-PTBP1_2-interaction-shap,interaction,IGF2BP1-PTBP1,IGF2BP1,1,PTBP1,2,30,0.0,Different-Position,False,False,Different-Position
HepG2,PTBP1_1-IGF2BP1_2-interaction-shap,interaction,IGF2BP1-PTBP1,PTBP1,1,IGF2BP1,2,8,0.0,Different-Position,False,False,Different-Position
HepG2,PTBP1_3-IGF2BP1_6-interaction-shap,interaction,IGF2BP1-PTBP1,PTBP1,3,IGF2BP1,6,11,0.0,Different-Position,False,False,Different-Position
HepG2,PTBP1_3-IGF2BP1_5-interaction-shap,interaction,IGF2BP1-PTBP1,PTBP1,3,IGF2BP1,5,5,0.0,Different-Position,False,False,Different-Position
HepG2,IGF2BP1_3-PTBP1_5-interaction-shap,interaction,IGF2BP1-PTBP1,IGF2BP1,3,PTBP1,5,6,0.0,Different-Position,False,False,Different-Position
HepG2,PTBP1_3-IGF2BP1_4-interaction-shap,interaction,IGF2BP1-PTBP1,PTBP1,3,IGF2BP1,4,1,0.0,Different-Position,False,False,Different-Position
HepG2,PTBP1_4-IGF2BP1_6-interaction-shap,interaction,IGF2BP1-PTBP1,PTBP1,4,IGF2BP1,6,17,0.0,Different-Position,False,False,Different-Position
K562,PTBP1_1-IGF2BP1_4-interaction-shap,interaction,IGF2BP1-PTBP1,PTBP1,1,IGF2BP1,4,24,0.0,Different-Position,False,False,Different-Position
HepG2,PTBP1_4-IGF2BP1_5-interaction-shap,interaction,IGF2BP1-PTBP1,PTBP1,4,IGF2BP1,5,13,0.0,Different-Position,False,False,Different-Position
HepG2,IGF2BP1_4-PTBP1_4-interaction-shap,interaction,IGF2BP1-PTBP1,IGF2BP1,4,PTBP1,4,6,0.0,Same-Position,False,False,Same-Position
K562,IGF2BP1_2-PTBP1_3-interaction-shap,interaction,IGF2BP1-PTBP1,IGF2BP1,2,PTBP1,3,31,0.0,Different-Position,False,False,Different-Position
K562,IGF2BP1_1-PTBP1_5-interaction-shap,interaction,IGF2BP1-PTBP1,IGF2BP1,1,PTBP1,5,1,0.0,Different-Position,False,False,Different-Position
