,RBP,cell_line,Significant Events,AUROC,AUPRC,Sign Concordance
0,PRPF8 Position 2,K562,479,0.5255686831310353,0.11029909092618374,20.250521920668056
1,PRPF8 Position 4,K562,280,0.5079760143702452,0.07561748969217322,83.57142857142857
2,PRPF8 Position 6,K562,267,0.5350365152367831,0.10048252490284121,35.580524344569284
3,PRPF8 Position 3,K562,53,0.5283983485742949,0.1197861848167421,24.528301886792452
4,DDX43 Position 2,K562,37,0.41113720495163797,0.018262405665282935,40.54054054054054
5,RPS3 Position 1,K562,35,0.49964040536122906,0.08624449384096428,45.714285714285715
6,RPS3 Position 5,K562,35,0.5339285714285714,0.058460711601938053,68.57142857142857
7,RPS3 Position 2,K562,34,0.5523205612520238,0.09451033898845743,70.58823529411765
8,DDX43 Position 1,K562,32,0.4581879058441558,0.020233129652490505,31.25
9,RPS3 Position 6,K562,31,0.4861198959870686,0.06259909686152759,67.74193548387096
10,EIF4E Position 1,K562,30,0.5430995475113122,0.06823301225638123,80.0
11,PRPF8 Position 5,K562,30,0.5191358024691358,0.08471216896626224,73.33333333333333
12,PRPF8 Position 1,K562,27,0.4961188733643823,0.07647155706010798,88.88888888888889
13,DDX43 Position 6,K562,26,0.4723155301757922,0.01230324044171402,50.0
14,EIF4E Position 2,K562,25,0.5776543209876542,0.12738279393902394,76.0
15,DDX43 Position 5,K562,22,0.4554837364470392,0.015529823969113059,45.45454545454545
16,RPS3 Position 3,K562,19,0.416128679286574,0.03765374029900943,36.84210526315789
17,RPS3 Position 4,K562,17,0.510427807486631,0.04729610518870964,35.294117647058826
18,DDX43 Position 4,K562,16,0.6074666913397483,0.015861097784802634,56.25
19,FXR2 Position 6,HepG2,14,0.6507685352622061,0.16496610200274672,35.714285714285715
20,ELAVL1 Position 3,K562,13,0.5908706677937448,0.24691223977272697,46.15384615384615
21,FXR2 Position 6,K562,12,0.5412087912087912,0.23123224329673647,58.333333333333336
22,FXR2 Position 1,HepG2,12,0.5262345679012347,0.11200904762887672,41.66666666666667
23,TRA2A Position 2,K562,11,0.5352327098738582,0.0548848243945875,45.45454545454545
24,SF3B1 Position 5,K562,10,0.55,0.9035173160173159,30.0
25,RBM5 Position 5,HepG2,9,0.668918918918919,0.18354217223587568,100.0
26,FXR2 Position 5,K562,9,0.6117496807151979,0.2669283295337334,66.66666666666666
27,FXR2 Position 2,HepG2,9,0.5357420357420357,0.07632947969833723,33.33333333333333
28,IGF2BP1 Position 6,K562,9,0.3453573814295257,0.014076603855154805,11.11111111111111
