Cell Line	Interaction Column	Feature 1	Feature 2	Both - #	Both - Mean	Both - Median	Both - Median Abs. Dev.	XOR_1st_Feature - #	XOR_1st_Feature - Mean	XOR_1st_Feature - Median	XOR_1st_Feature - Median Abs. Dev.	XOR_2nd_Feature - #	XOR_2nd_Feature - Mean	XOR_2nd_Feature - Median	XOR_2nd_Feature - Median Abs. Dev.
HepG2	AQR_1-U2AF2_1-interaction-shap	AQR_1	U2AF2_1	14736	0.8530988735070575	0.996	0.0040000000000000036	244664	0.8391774883104992	0.996	0.0040000000000000036	191968	0.8269308322220369	0.989	0.01100000000000001
HepG2	AQR_1-U2AF2_2-interaction-shap	AQR_1	U2AF2_2	1973	0.7866244298023316	0.999	0.0010000000000000009	257427	0.8403771787730114	0.996	0.0040000000000000036	48600	0.7452402880658436	0.985	0.015000000000000013
HepG2	AQR_1-U2AF2_3-interaction-shap	AQR_1	U2AF2_3	18087	0.810531320838171	0.991	0.009000000000000008	241313	0.8421747108527101	0.997	0.0030000000000000027	291222	0.8172554992411291	0.986	0.014000000000000012
HepG2	AQR_1-U2AF2_4-interaction-shap	AQR_1	U2AF2_4	3113	0.8817805974943784	1.0	0.0	256287	0.839460460343287	0.996	0.0040000000000000036	56320	0.7377297052556816	0.98	0.020000000000000018
HepG2	AQR_1-U2AF2_5-interaction-shap	AQR_1	U2AF2_5	19722	0.7878283135584626	0.982	0.018000000000000016	239678	0.844258697085256	0.997	0.0030000000000000027	358186	0.7792765043859894	0.981	0.019000000000000017
HepG2	AQR_1-U2AF2_6-interaction-shap	AQR_1	U2AF2_6	2913	0.7802107792653621	0.998	0.0020000000000000018	256487	0.8406470191471693	0.996	0.0040000000000000036	45809	0.7697749568862013	0.991	0.009000000000000008
HepG2	AQR_2-U2AF2_2-interaction-shap	AQR_2	U2AF2_2	4959	0.6846650534381932	0.985	0.015000000000000013	418605	0.791525366395528	0.992	0.008000000000000007	45614	0.7536158635506643	0.986	0.014000000000000012
HepG2	AQR_2-U2AF2_3-interaction-shap	AQR_2	U2AF2_3	29245	0.7864068045819799	0.986	0.014000000000000012	394319	0.7905611015446887	0.992	0.008000000000000007	280064	0.8200425402765085	0.986	0.014000000000000012
HepG2	AQR_2-U2AF2_4-interaction-shap	AQR_2	U2AF2_4	6208	0.7850945554123712	0.995	0.0050000000000000044	417356	0.7903513139861413	0.992	0.008000000000000007	53225	0.7406303992484735	0.98	0.020000000000000018
HepG2	AQR_2-U2AF2_5-interaction-shap	AQR_2	U2AF2_5	32060	0.722344541484716	0.977	0.02300000000000002	391504	0.795836987616985	0.992	0.008000000000000007	345848	0.7850417466632739	0.981	0.019000000000000017
HepG2	AQR_2-U2AF2_6-interaction-shap	AQR_2	U2AF2_6	5769	0.6355761830473219	0.988	0.01200000000000001	417795	0.7924103711150207	0.992	0.008000000000000007	42953	0.7885068796125998	0.993	0.007000000000000006
HepG2	AQR_3-U2AF2_3-interaction-shap	AQR_3	U2AF2_3	22991	0.9325818798660346	0.996	0.0040000000000000036	278790	0.9664407654506977	1.0	0.0	286318	0.8075701527672029	0.985	0.015000000000000013
HepG2	AQR_3-U2AF2_4-interaction-shap	AQR_3	U2AF2_4	4530	0.9352532008830022	0.998	0.0020000000000000018	297251	0.9642972235585413	1.0	0.0	54903	0.7295998943591426	0.979	0.02100000000000002
HepG2	AQR_3-U2AF2_5-interaction-shap	AQR_3	U2AF2_5	24071	0.9524266544804951	0.997	0.0030000000000000027	277710	0.9648523603759318	1.0	0.0	353837	0.7679740162843343	0.978	0.02200000000000002
HepG2	AQR_3-U2AF2_6-interaction-shap	AQR_3	U2AF2_6	4296	0.9483324022346369	0.998	0.0020000000000000018	297485	0.964085500109249	1.0	0.0	44426	0.7531927024715257	0.99	0.010000000000000009
HepG2	AQR_4-U2AF2_4-interaction-shap	AQR_4	U2AF2_4	3307	0.9579256123374659	0.999	0.0010000000000000009	251444	0.9634175283562145	0.999	0.0010000000000000009	56126	0.73274525175498	0.98	0.020000000000000018
HepG2	AQR_4-U2AF2_5-interaction-shap	AQR_4	U2AF2_5	20590	0.9370255463817387	0.996	0.0040000000000000036	234161	0.9656606394745495	0.999	0.0010000000000000009	357318	0.7706584275071509	0.979	0.02100000000000002
HepG2	AQR_4-U2AF2_6-interaction-shap	AQR_4	U2AF2_6	4122	0.9797874818049491	0.997	0.0030000000000000027	250629	0.9630758332036596	0.999	0.0010000000000000009	44600	0.7510468834080717	0.99	0.010000000000000009
HepG2	AQR_5-U2AF2_5-interaction-shap	AQR_5	U2AF2_5	36797	0.7858637932440145	0.983	0.017000000000000015	364929	0.8059817854980013	0.994	0.006000000000000005	341111	0.7790603469251944	0.981	0.019000000000000017
HepG2	AQR_5-U2AF2_6-interaction-shap	AQR_5	U2AF2_6	3696	0.5977689393939394	0.9784999999999999	0.021500000000000075	398030	0.8060553300002511	0.993	0.007000000000000006	45026	0.7845693821347666	0.993	0.007000000000000006
HepG2	AQR_6-U2AF2_6-interaction-shap	AQR_6	U2AF2_6	2597	0.8602013862148634	0.999	0.0010000000000000009	205198	0.8231431690367352	0.995	0.0050000000000000044	46125	0.7653426991869917	0.991	0.009000000000000008
HepG2	BCLAF1_1-BUD13_1-interaction-shap	BCLAF1_1	BUD13_1	19058	0.7955567215867353	0.989	0.01100000000000001	515256	0.8428933869765707	0.993	0.007000000000000006	101927	0.8466040401463792	0.993	0.007000000000000006
