Plot Type	Cell Line	PPI Source	PPI Type	Curve	AUC	ROC Input Table: # INTER-RBP Interaction Features (Rows)	# Rows as % of All INTER-RBP Interaction Effects	ROC Input Table: # True PPIs	% Rows w/ True PPI	# Rows w/ 0 Abs. SHAP Value	% Rows w/ 0 Abs. SHAP Value	Abs. SHAP - Min Val	Abs. SHAP - 50th Percentile	Abs. SHAP - 75th Percentile	Abs. SHAP - 90th Percentile	Abs. SHAP - 95th Percentile	Abs. SHAP - 99th Percentile	Abs. SHAP - Max Val	Partial AUC @ FPR=0.01	Partial AUC @ FPR=0.025	Partial AUC @ FPR=0.05	Partial AUC @ FPR=0.1	Partial AUC @ FPR=0.2	Partial AUC @ FPR=0.3	Partial AUC @ FPR=0.4	Partial AUC @ FPR=0.5
RBP-SPECIFIC_MAX_VALUE	K562	Rec-Y2H	All-Positions	roc	0.6229256530074287	2830	0.8196341477542604	48	1.6961130742049468	1385	48.93992932862191	0.0	9.954903816833394e-6	0.013284454122185707	0.06480399072170247	0.124310255795717	0.3204462426900864	0.760219931602478	0.49748743718592964	0.498842771645327	0.5097221454158909	0.5268533933683959	0.5502627672604308	0.5714602040193024	0.5917393062544931	0.6029734803099289
RBP-SPECIFIC_SUM_VALUE	K562	Rec-Y2H	All-Positions	roc	0.619181344356578	2830	0.8196341477542604	48	1.6961130742049468	1385	48.93992932862191	0.0	0.000010206596925854683	0.02104917459655553	0.1268669425975985	0.2833849028241501	0.665762915743808	1.5998178420768454	0.49748743718592964	0.501117794623059	0.5147222375834885	0.5298803713092941	0.5425120483531698	0.5654839937412779	0.5861696471363527	0.5979810687754613
RBP-SPECIFIC_SUM_VALUE	K562	Street et al | IP/SEC-MS (Both)	Same-Position	roc	0.6151602283618784	2545	0.7370914862313048	19	0.7465618860510805	1243	48.84086444007858	0.0	6.974531515879789e-6	0.01025546994060278	0.06816200015091452	0.14768651430495075	0.3879617183131631	0.7900700978934765	0.49748743718592964	0.5030180460321253	0.5054082615027733	0.5322880272314741	0.5426048626448676	0.5577061511773939	0.5759951764803933	0.5943103999111
RBP-SPECIFIC_SUM_VALUE	K562	Rec-Y2H/Street et al. IP-MS (Union)	Same-Position	roc	0.6111689342403628	3653	1.0579941843626548	125	3.421845058855735	2052	56.173008486175746	0.0	0.0	0.00570569175761193	0.044727323285860675	0.11415772400796402	0.3458387516671793	0.7900700978934765	0.5084401599835914	0.5101122305462269	0.5140787255072969	0.5249289891395155	0.5463366087175611	0.568978702592148	0.5863236961451248	0.596633965906771
RBP-SPECIFIC_MAX_VALUE	K562	Street et al | IP/SEC-MS (Both)	Same-Position	roc	0.6099929157811392	2545	0.7370914862313048	19	0.7465618860510805	1243	48.84086444007858	0.0	6.974531515879789e-6	0.008014203049242496	0.048310051113367045	0.10552229434251774	0.2712733912467951	0.7512881755828857	0.5040418578285435	0.5123019069366793	0.5101097038839256	0.5265855600371099	0.5360646932718441	0.546552796223711	0.5693537212984956	0.5874206498034477
RBP-SPECIFIC_SUM_VALUE	K562	Rec-Y2H/Street et al. IP-MS (Union)	All-Positions	roc	0.6099649714153532	4463	1.2925891171121073	140	3.1369034281873183	1995	44.70087385166928	0.0	0.0003489192749839276	0.028574091504196986	0.1736117104482219	0.36919600812107084	0.9163733639562088	1.978657852851029	0.5018431770896384	0.5055991774515304	0.5158844548157525	0.5349468396876995	0.5504114206404283	0.5634625814239644	0.5775781947060573	0.5866693103334325
RBP-SPECIFIC_MAX_VALUE	K562	Rec-Y2H/Street et al. IP-MS (Union)	Same-Position	roc	0.6093866213151927	3653	1.0579941843626548	125	3.421845058855735	2052	56.173008486175746	0.0	0.0	0.004955394193530083	0.03308921456336978	0.0848474949598312	0.24870087027549745	0.7512881755828857	0.5051037500427307	0.5077241022991476	0.5091202976917263	0.5204749970163504	0.5428470647518266	0.5658867991641101	0.5835352891156462	0.5942575486732109
RBP-SPECIFIC_MAX_VALUE	K562	Rec-Y2H/Street et al. IP-MS (Union)	All-Positions	roc	0.6078120352929514	4463	1.2925891171121073	140	3.1369034281873183	1995	44.70087385166928	0.0	0.0003185926761943847	0.01601232774555683	0.0827240988612176	0.15647156238555907	0.34536103725433387	1.3102924823760986	0.5036058983659583	0.5067729320314112	0.512516321676627	0.5241608532086636	0.545062585138921	0.5604635099471202	0.5738037407884736	0.5837954242534396
RBP-SPECIFIC_SUM_VALUE	K562	Street et al | IP-MS	Same-Position	roc	0.5973544869975435	2545	0.7370914862313048	83	3.261296660117878	1243	48.84086444007858	0.0	6.974531515879789e-6	0.01025546994060278	0.06816200015091452	0.14768651430495075	0.3879617183131631	0.7900700978934765	0.5106388430658081	0.5160454463743362	0.5169781168039025	0.5285498743874554	0.54309248910073	0.5560394202604848	0.5698472199113268	0.5812135626176518
RBP-SPECIFIC_SUM_VALUE	HepG2	Street et al | IP/SEC-MS (Both)	Different-Position	roc	0.5966481561533601	1786	0.9086284086284085	17	0.9518477043673013	1109	62.09406494960806	0.0	0.0	0.03875365206840797	0.18692462301260093	0.3862229227088392	0.8070454332497325	1.6425307537429035	0.49748743718592964	0.5106590839926642	0.5171578219494956	0.5326109974500645	0.5542328482174856	0.571806643050929	0.5824170155074967	0.5882148876224781
