Cell Line	Column	Column Type	Sorted RBP Pair	RBP 1	Position 1	RBP 2	Position 2	# UBPs - Bound-Only	Value - Bound-Only	PPI	Abs. SHAP Value
HepG2	G3BP1_4-LARP4_4-interaction-shap	interaction	G3BP1-LARP4	G3BP1	4	LARP4	4	266	1.5484907627105713	false	1.5484907627105713
HepG2	PPIG_3-TARDBP_5-interaction-shap	interaction	PPIG-TARDBP	PPIG	3	TARDBP	5	138	1.1819193363189697	false	1.1819193363189697
HepG2	SRSF1_1-AQR_3-interaction-shap	interaction	AQR-SRSF1	SRSF1	1	AQR	3	280	1.0526175498962402	false	1.0526175498962402
HepG2	DDX3X_3-SND1_4-interaction-shap	interaction	DDX3X-SND1	DDX3X	3	SND1	4	372	0.8830933570861816	false	0.8830933570861816
HepG2	NCBP2_1-U2AF2_2-interaction-shap	interaction	NCBP2-U2AF2	NCBP2	1	U2AF2	2	31	0.8651083111763	false	0.8651083111763
HepG2	PPIG_4-PRPF8_4-interaction-shap	interaction	PPIG-PRPF8	PPIG	4	PRPF8	4	6515	0.8054162263870239	false	0.8054162263870239
HepG2	BCLAF1_4-PRPF8_4-interaction-shap	interaction	BCLAF1-PRPF8	BCLAF1	4	PRPF8	4	3188	0.7703143358230591	false	0.7703143358230591
HepG2	SND1_3-PRPF8_4-interaction-shap	interaction	PRPF8-SND1	SND1	3	PRPF8	4	1190	0.7355712652206421	false	0.7355712652206421
HepG2	AQR_3-SF3B4_3-interaction-shap	interaction	AQR-SF3B4	AQR	3	SF3B4	3	3163	0.6828593611717224	false	0.6828593611717224
HepG2	RBM22_3-PRPF8_4-interaction-shap	interaction	PRPF8-RBM22	RBM22	3	PRPF8	4	131	0.676609456539154	false	0.676609456539154
HepG2	GTF2F1_2-EFTUD2_4-interaction-shap	interaction	EFTUD2-GTF2F1	GTF2F1	2	EFTUD2	4	238	0.6369216442108154	false	0.6369216442108154
HepG2	QKI_3-U2AF2_3-interaction-shap	interaction	QKI-U2AF2	QKI	3	U2AF2	3	102	0.6366861462593079	false	0.6366861462593079
