Cell Line	Column	Column Type	Sorted RBP Pair	RBP 1	Position 1	RBP 2	Position 2	# UBPs - Bound-Only	Value - Bound-Only	PPI	Abs. SHAP Value
K562	SF3B4_3-U2AF1_4-interaction-shap	interaction	SF3B4-U2AF1	SF3B4	3	U2AF1	4	101	0.760219931602478	false	0.760219931602478
K562	DDX3X_5-ELAC2_6-interaction-shap	interaction	DDX3X-ELAC2	DDX3X	5	ELAC2	6	11	0.7580764293670654	false	0.7580764293670654
K562	DDX6_1-DDX3X_5-interaction-shap	interaction	DDX3X-DDX6	DDX6	1	DDX3X	5	16	0.594474732875824	false	0.594474732875824
K562	SF3B4_3-HNRNPK_4-interaction-shap	interaction	HNRNPK-SF3B4	SF3B4	3	HNRNPK	4	135	0.5680636763572693	false	0.5680636763572693
K562	LIN28B_4-U2AF1_5-interaction-shap	interaction	LIN28B-U2AF1	LIN28B	4	U2AF1	5	154	0.5647836327552795	false	0.5647836327552795
K562	ILF3_1-SF3B4_3-interaction-shap	interaction	ILF3-SF3B4	ILF3	1	SF3B4	3	51	0.5477021932601929	false	0.5477021932601929
K562	EWSR1_2-UCHL5_3-interaction-shap	interaction	EWSR1-UCHL5	EWSR1	2	UCHL5	3	77	0.5306318998336792	false	0.5306318998336792
K562	ELAVL1_3-UCHL5_4-interaction-shap	interaction	ELAVL1-UCHL5	ELAVL1	3	UCHL5	4	67	0.4863775372505188	false	0.4863775372505188
K562	ILF3_1-SF3B4_5-interaction-shap	interaction	ILF3-SF3B4	ILF3	1	SF3B4	5	32	0.4346632659435272	false	0.4346632659435272
K562	ILF3_2-SF3B4_3-interaction-shap	interaction	ILF3-SF3B4	ILF3	2	SF3B4	3	60	0.42603740096092224	false	0.42603740096092224
K562	ELAC2_2-DDX3X_3-interaction-shap	interaction	DDX3X-ELAC2	ELAC2	2	DDX3X	3	106	0.42273178696632385	false	0.42273178696632385
K562	EIF4E_4-DDX3X_5-interaction-shap	interaction	DDX3X-EIF4E	EIF4E	4	DDX3X	5	63	0.4170580506324768	false	0.4170580506324768
K562	LIN28B_4-FUS_5-interaction-shap	interaction	FUS-LIN28B	LIN28B	4	FUS	5	72	0.4088951647281647	false	0.4088951647281647
K562	PUM2_1-SF3B4_3-interaction-shap	interaction	PUM2-SF3B4	PUM2	1	SF3B4	3	71	0.3961758613586426	false	0.3961758613586426
K562	EIF4E_1-IGF2BP1_3-interaction-shap	interaction	EIF4E-IGF2BP1	EIF4E	1	IGF2BP1	3	102	0.39388033747673035	false	0.39388033747673035
K562	SF3B4_3-MBNL1_6-interaction-shap	interaction	MBNL1-SF3B4	SF3B4	3	MBNL1	6	85	0.38978004455566406	false	0.38978004455566406
K562	PUM2_1-IGF2BP1_6-interaction-shap	interaction	IGF2BP1-PUM2	PUM2	1	IGF2BP1	6	44	0.38751155138015747	false	0.38751155138015747
K562	FUS_2-IGF2BP2_4-interaction-shap	interaction	FUS-IGF2BP2	FUS	2	IGF2BP2	4	54	0.37647077441215515	false	0.37647077441215515
K562	TIA1_2-RBFOX2_5-interaction-shap	interaction	RBFOX2-TIA1	TIA1	2	RBFOX2	5	21	0.35910066962242126	false	0.35910066962242126
K562	BUD13_4-DDX3X_5-interaction-shap	interaction	BUD13-DDX3X	BUD13	4	DDX3X	5	101	0.3554908335208893	false	0.3554908335208893
K562	DDX3X_1-ZC3H11A_6-interaction-shap	interaction	DDX3X-ZC3H11A	DDX3X	1	ZC3H11A	6	52	0.3545902967453003	false	0.3545902967453003
K562	UCHL5_3-XRN2_5-interaction-shap	interaction	UCHL5-XRN2	UCHL5	3	XRN2	5	119	0.343967080116272	false	0.343967080116272
K562	SF3B4_3-DDX3X_5-interaction-shap	interaction	DDX3X-SF3B4	SF3B4	3	DDX3X	5	111	0.33746710419654846	false	0.33746710419654846
K562	ELAVL1_3-DDX42_4-interaction-shap	interaction	DDX42-ELAVL1	ELAVL1	3	DDX42	4	9	0.33107659220695496	false	0.33107659220695496
K562	RBM22_4-APOBEC3C_6-interaction-shap	interaction	APOBEC3C-RBM22	RBM22	4	APOBEC3C	6	68	0.32441291213035583	false	0.32441291213035583
K562	DDX3X_3-SMNDC1_4-interaction-shap	interaction	DDX3X-SMNDC1	DDX3X	3	SMNDC1	4	42	0.32329776883125305	false	0.32329776883125305
K562	SF3B4_3-TARDBP_5-interaction-shap	interaction	SF3B4-TARDBP	SF3B4	3	TARDBP	5	144	0.3208986520767212	false	0.3208986520767212
K562	BUD13_1-RBFOX2_3-interaction-shap	interaction	BUD13-RBFOX2	BUD13	1	RBFOX2	3	147	0.3193386197090149	false	0.3193386197090149
K562	LIN28B_3-FXR2_6-interaction-shap	interaction	FXR2-LIN28B	LIN28B	3	FXR2	6	195	0.31454411149024963	false	0.31454411149024963
K562	EFTUD2_2-IGF2BP2_4-interaction-shap	interaction	EFTUD2-IGF2BP2	EFTUD2	2	IGF2BP2	4	314	0.3137638568878174	false	0.3137638568878174
K562	DDX3X_2-RBM22_4-interaction-shap	interaction	DDX3X-RBM22	DDX3X	2	RBM22	4	457	0.3108735978603363	false	0.3108735978603363
K562	SF3B4_3-CPEB4_6-interaction-shap	interaction	CPEB4-SF3B4	SF3B4	3	CPEB4	6	23	0.3007766306400299	false	0.3007766306400299
K562	U2AF2_5-RPS3_6-interaction-shap	interaction	RPS3-U2AF2	U2AF2	5	RPS3	6	75	0.30030226707458496	false	0.30030226707458496
K562	LIN28B_3-EFTUD2_6-interaction-shap	interaction	EFTUD2-LIN28B	LIN28B	3	EFTUD2	6	235	0.2954971194267273	false	0.2954971194267273
K562	RBM15_2-EFTUD2_5-interaction-shap	interaction	EFTUD2-RBM15	RBM15	2	EFTUD2	5	304	0.2918628454208374	false	0.2918628454208374
K562	APOBEC3C_1-RPS3_4-interaction-shap	interaction	APOBEC3C-RPS3	APOBEC3C	1	RPS3	4	102	0.291114866733551	false	0.291114866733551
K562	FUS_2-IGF2BP1_3-interaction-shap	interaction	FUS-IGF2BP1	FUS	2	IGF2BP1	3	67	0.2907930910587311	false	0.2907930910587311
K562	FAM120A_3-SF3B4_5-interaction-shap	interaction	FAM120A-SF3B4	FAM120A	3	SF3B4	5	131	0.2902626097202301	false	0.2902626097202301
K562	DDX3X_1-RBFOX2_6-interaction-shap	interaction	DDX3X-RBFOX2	DDX3X	1	RBFOX2	6	54	0.29021742939949036	false	0.29021742939949036
K562	UCHL5_1-LIN28B_4-interaction-shap	interaction	LIN28B-UCHL5	UCHL5	1	LIN28B	4	324	0.29011157155036926	false	0.29011157155036926
K562	DDX3X_3-LIN28B_4-interaction-shap	interaction	DDX3X-LIN28B	DDX3X	3	LIN28B	4	226	0.28968095779418945	false	0.28968095779418945
K562	SRSF1_2-LIN28B_3-interaction-shap	interaction	LIN28B-SRSF1	SRSF1	2	LIN28B	3	217	0.2876513600349426	false	0.2876513600349426
K562	DDX3X_5-PCBP1_6-interaction-shap	interaction	DDX3X-PCBP1	DDX3X	5	PCBP1	6	2	0.27869826555252075	false	0.27869826555252075
K562	UCHL5_3-LIN28B_4-interaction-shap	interaction	LIN28B-UCHL5	UCHL5	3	LIN28B	4	442	0.27405059337615967	false	0.27405059337615967
K562	ELAVL1_3-RBM22_4-interaction-shap	interaction	ELAVL1-RBM22	ELAVL1	3	RBM22	4	62	0.2663954198360443	false	0.2663954198360443
K562	SF3B4_3-LIN28B_4-interaction-shap	interaction	LIN28B-SF3B4	SF3B4	3	LIN28B	4	1042	0.2658269703388214	false	0.2658269703388214
K562	DDX3X_3-SRSF1_5-interaction-shap	interaction	DDX3X-SRSF1	DDX3X	3	SRSF1	5	209	0.26080939173698425	false	0.26080939173698425
K562	NONO_3-EWSR1_5-interaction-shap	interaction	EWSR1-NONO	NONO	3	EWSR1	5	187	0.2596725821495056	true	0.2596725821495056
K562	EIF4E_5-DDX3X_6-interaction-shap	interaction	DDX3X-EIF4E	EIF4E	5	DDX3X	6	29	0.2579115629196167	false	0.2579115629196167
K562	U2AF2_3-IGF2BP1_4-interaction-shap	interaction	IGF2BP1-U2AF2	U2AF2	3	IGF2BP1	4	177	0.2554747462272644	false	0.2554747462272644
K562	DDX3X_3-FUS_4-interaction-shap	interaction	DDX3X-FUS	DDX3X	3	FUS	4	39	0.24869391322135925	false	0.24869391322135925
K562	XRN2_2-DDX3X_6-interaction-shap	interaction	DDX3X-XRN2	XRN2	2	DDX3X	6	43	0.24786895513534546	false	0.24786895513534546
K562	PTBP1_3-IGF2BP1_5-interaction-shap	interaction	IGF2BP1-PTBP1	PTBP1	3	IGF2BP1	5	18	0.24765712022781372	true	0.24765712022781372
K562	LIN28B_4-U2AF2_5-interaction-shap	interaction	LIN28B-U2AF2	LIN28B	4	U2AF2	5	314	0.24647215008735657	false	0.24647215008735657
K562	UCHL5_4-MBNL1_6-interaction-shap	interaction	MBNL1-UCHL5	UCHL5	4	MBNL1	6	64	0.24472829699516296	false	0.24472829699516296
K562	IGF2BP1_5-PCBP1_6-interaction-shap	interaction	IGF2BP1-PCBP1	IGF2BP1	5	PCBP1	6	95	0.241862490773201	false	0.241862490773201
K562	UCHL5_3-SRSF1_4-interaction-shap	interaction	SRSF1-UCHL5	UCHL5	3	SRSF1	4	846	0.24014471471309662	false	0.24014471471309662
K562	ELAC2_1-LIN28B_4-interaction-shap	interaction	ELAC2-LIN28B	ELAC2	1	LIN28B	4	55	0.23913975059986115	false	0.23913975059986115
K562	FXR1_3-FMR1_5-interaction-shap	interaction	FMR1-FXR1	FXR1	3	FMR1	5	482	0.238339364528656	false	0.238339364528656
