Cell Line	Column	Column Type	Sorted RBP Pair	RBP 1	Position 1	RBP 2	Position 2	# UBPs - Bound-Only	Value - Bound-Only	PPI	Abs. SHAP Value
K562	HLTF_2-PRPF8_4-interaction-shap	interaction	HLTF-PRPF8	HLTF	2	PRPF8	4	12	1.3102924823760986	false	1.3102924823760986
K562	LIN28B_3-AGGF1_4-interaction-shap	interaction	AGGF1-LIN28B	LIN28B	3	AGGF1	4	34	0.807886004447937	false	0.807886004447937
K562	SF3B4_3-U2AF1_4-interaction-shap	interaction	SF3B4-U2AF1	SF3B4	3	U2AF1	4	101	0.760219931602478	false	0.760219931602478
K562	DDX3X_5-ELAC2_6-interaction-shap	interaction	DDX3X-ELAC2	DDX3X	5	ELAC2	6	11	0.7580764293670654	false	0.7580764293670654
K562	AQR_4-HNRNPL_4-interaction-shap	interaction	AQR-HNRNPL	AQR	4	HNRNPL	4	34	0.7512881755828857	false	0.7512881755828857
K562	DDX3X_4-RBM22_4-interaction-shap	interaction	DDX3X-RBM22	DDX3X	4	RBM22	4	69	0.6021908521652222	false	0.6021908521652222
K562	DDX6_1-DDX3X_5-interaction-shap	interaction	DDX3X-DDX6	DDX6	1	DDX3X	5	16	0.594474732875824	false	0.594474732875824
K562	SF3B4_3-HNRNPK_4-interaction-shap	interaction	HNRNPK-SF3B4	SF3B4	3	HNRNPK	4	135	0.5680636763572693	false	0.5680636763572693
K562	LIN28B_4-U2AF1_5-interaction-shap	interaction	LIN28B-U2AF1	LIN28B	4	U2AF1	5	154	0.5647836327552795	false	0.5647836327552795
K562	HNRNPM_4-LIN28B_4-interaction-shap	interaction	HNRNPM-LIN28B	HNRNPM	4	LIN28B	4	36	0.5642389059066772	false	0.5642389059066772
K562	PRPF8_4-HLTF_5-interaction-shap	interaction	HLTF-PRPF8	PRPF8	4	HLTF	5	58	0.5565930604934692	false	0.5565930604934692
K562	GPKOW_3-PRPF8_3-interaction-shap	interaction	GPKOW-PRPF8	GPKOW	3	PRPF8	3	131	0.548067569732666	true	0.548067569732666
K562	ILF3_1-SF3B4_3-interaction-shap	interaction	ILF3-SF3B4	ILF3	1	SF3B4	3	51	0.5477021932601929	false	0.5477021932601929
K562	SF3B4_3-GPKOW_4-interaction-shap	interaction	GPKOW-SF3B4	SF3B4	3	GPKOW	4	379	0.5310251116752625	false	0.5310251116752625
K562	EWSR1_2-UCHL5_3-interaction-shap	interaction	EWSR1-UCHL5	EWSR1	2	UCHL5	3	77	0.5306318998336792	false	0.5306318998336792
K562	SF3B4_3-PRPF8_4-interaction-shap	interaction	PRPF8-SF3B4	SF3B4	3	PRPF8	4	4967	0.5239731669425964	true	0.5239731669425964
K562	DROSHA_4-DDX3X_5-interaction-shap	interaction	DDX3X-DROSHA	DROSHA	4	DDX3X	5	33	0.5089825987815857	false	0.5089825987815857
K562	DDX43_3-LIN28B_4-interaction-shap	interaction	DDX43-LIN28B	DDX43	3	LIN28B	4	303	0.49453839659690857	false	0.49453839659690857
K562	ELAVL1_3-UCHL5_4-interaction-shap	interaction	ELAVL1-UCHL5	ELAVL1	3	UCHL5	4	67	0.4863775372505188	false	0.4863775372505188
K562	LIN28B_4-UCHL5_4-interaction-shap	interaction	LIN28B-UCHL5	LIN28B	4	UCHL5	4	538	0.47798964381217957	false	0.47798964381217957
K562	YBX3_3-LIN28B_4-interaction-shap	interaction	LIN28B-YBX3	YBX3	3	LIN28B	4	801	0.44190120697021484	false	0.44190120697021484
K562	UCHL5_4-GPKOW_6-interaction-shap	interaction	GPKOW-UCHL5	UCHL5	4	GPKOW	6	199	0.44123440980911255	false	0.44123440980911255
K562	FTO_4-DDX3X_5-interaction-shap	interaction	DDX3X-FTO	FTO	4	DDX3X	5	43	0.441175639629364	false	0.441175639629364
K562	GEMIN5_1-IGF2BP2_3-interaction-shap	interaction	GEMIN5-IGF2BP2	GEMIN5	1	IGF2BP2	3	36	0.43677154183387756	false	0.43677154183387756
K562	ILF3_1-SF3B4_5-interaction-shap	interaction	ILF3-SF3B4	ILF3	1	SF3B4	5	32	0.4346632659435272	false	0.4346632659435272
K562	RBM22_4-ZNF622_4-interaction-shap	interaction	RBM22-ZNF622	RBM22	4	ZNF622	4	467	0.4269399046897888	false	0.4269399046897888
K562	ILF3_2-SF3B4_3-interaction-shap	interaction	ILF3-SF3B4	ILF3	2	SF3B4	3	60	0.42603740096092224	false	0.42603740096092224
K562	DGCR8_3-UCHL5_4-interaction-shap	interaction	DGCR8-UCHL5	DGCR8	3	UCHL5	4	95	0.4252321422100067	false	0.4252321422100067
K562	DDX43_4-U2AF2_6-interaction-shap	interaction	DDX43-U2AF2	DDX43	4	U2AF2	6	88	0.4244329333305359	false	0.4244329333305359
K562	ELAC2_2-DDX3X_3-interaction-shap	interaction	DDX3X-ELAC2	ELAC2	2	DDX3X	3	106	0.42273178696632385	false	0.42273178696632385
K562	DROSHA_3-DDX3X_5-interaction-shap	interaction	DDX3X-DROSHA	DROSHA	3	DDX3X	5	79	0.41884857416152954	false	0.41884857416152954
K562	EIF4E_4-DDX3X_5-interaction-shap	interaction	DDX3X-EIF4E	EIF4E	4	DDX3X	5	63	0.4170580506324768	false	0.4170580506324768
K562	SF3B4_3-EIF4G2_5-interaction-shap	interaction	EIF4G2-SF3B4	SF3B4	3	EIF4G2	5	125	0.4166816771030426	false	0.4166816771030426
K562	LIN28B_4-FUS_5-interaction-shap	interaction	FUS-LIN28B	LIN28B	4	FUS	5	72	0.4088951647281647	false	0.4088951647281647
K562	PUM2_1-SF3B4_3-interaction-shap	interaction	PUM2-SF3B4	PUM2	1	SF3B4	3	71	0.3961758613586426	false	0.3961758613586426
K562	ZNF800_3-SRSF1_4-interaction-shap	interaction	SRSF1-ZNF800	ZNF800	3	SRSF1	4	356	0.39558038115501404	false	0.39558038115501404
K562	EIF4E_1-IGF2BP1_3-interaction-shap	interaction	EIF4E-IGF2BP1	EIF4E	1	IGF2BP1	3	102	0.39388033747673035	false	0.39388033747673035
K562	SF3B4_3-MBNL1_6-interaction-shap	interaction	MBNL1-SF3B4	SF3B4	3	MBNL1	6	85	0.38978004455566406	false	0.38978004455566406
K562	DDX3X_5-RBFOX2_5-interaction-shap	interaction	DDX3X-RBFOX2	DDX3X	5	RBFOX2	5	11	0.3880149722099304	false	0.3880149722099304
K562	PUM2_1-IGF2BP1_6-interaction-shap	interaction	IGF2BP1-PUM2	PUM2	1	IGF2BP1	6	44	0.38751155138015747	false	0.38751155138015747
K562	FUS_2-IGF2BP2_4-interaction-shap	interaction	FUS-IGF2BP2	FUS	2	IGF2BP2	4	54	0.37647077441215515	true	0.37647077441215515
K562	IGF2BP1_4-PUM2_4-interaction-shap	interaction	IGF2BP1-PUM2	IGF2BP1	4	PUM2	4	23	0.3702961504459381	false	0.3702961504459381
K562	DDX24_4-PRPF8_4-interaction-shap	interaction	DDX24-PRPF8	DDX24	4	PRPF8	4	1547	0.3654482662677765	false	0.3654482662677765
K562	DDX43_3-IGF2BP1_3-interaction-shap	interaction	DDX43-IGF2BP1	DDX43	3	IGF2BP1	3	85	0.36495789885520935	false	0.36495789885520935
K562	TIA1_2-RBFOX2_5-interaction-shap	interaction	RBFOX2-TIA1	TIA1	2	RBFOX2	5	21	0.35910066962242126	false	0.35910066962242126
K562	BUD13_4-DDX3X_5-interaction-shap	interaction	BUD13-DDX3X	BUD13	4	DDX3X	5	101	0.3554908335208893	false	0.3554908335208893
K562	DDX3X_1-ZC3H11A_6-interaction-shap	interaction	DDX3X-ZC3H11A	DDX3X	1	ZC3H11A	6	52	0.3545902967453003	false	0.3545902967453003
K562	DDX3X_3-AQR_4-interaction-shap	interaction	AQR-DDX3X	DDX3X	3	AQR	4	1395	0.3545706868171692	false	0.3545706868171692
K562	GRWD1_4-LIN28B_4-interaction-shap	interaction	GRWD1-LIN28B	GRWD1	4	LIN28B	4	448	0.3493552505970001	false	0.3493552505970001
K562	DDX3X_4-TIA1_4-interaction-shap	interaction	DDX3X-TIA1	DDX3X	4	TIA1	4	43	0.34886905550956726	false	0.34886905550956726
K562	FUS_2-DDX43_3-interaction-shap	interaction	DDX43-FUS	FUS	2	DDX43	3	48	0.3476353883743286	false	0.3476353883743286
K562	UCHL5_3-XRN2_5-interaction-shap	interaction	UCHL5-XRN2	UCHL5	3	XRN2	5	119	0.343967080116272	false	0.343967080116272
K562	PRPF8_2-HNRNPL_4-interaction-shap	interaction	HNRNPL-PRPF8	PRPF8	2	HNRNPL	4	21	0.3428826332092285	false	0.3428826332092285
K562	EFTUD2_5-DGCR8_6-interaction-shap	interaction	DGCR8-EFTUD2	EFTUD2	5	DGCR8	6	57	0.3428672254085541	false	0.3428672254085541
K562	DDX3X_4-PABPC4_4-interaction-shap	interaction	DDX3X-PABPC4	DDX3X	4	PABPC4	4	167	0.34052222967147827	false	0.34052222967147827
K562	DDX3X_5-MORC2_6-interaction-shap	interaction	DDX3X-MORC2	DDX3X	5	MORC2	6	12	0.33908024430274963	false	0.33908024430274963
K562	PRPF8_4-LSM11_6-interaction-shap	interaction	LSM11-PRPF8	PRPF8	4	LSM11	6	38	0.33841821551322937	false	0.33841821551322937
K562	AQR_4-PRPF8_4-interaction-shap	interaction	AQR-PRPF8	AQR	4	PRPF8	4	9906	0.33840212225914	false	0.33840212225914
K562	SF3B4_3-DDX3X_5-interaction-shap	interaction	DDX3X-SF3B4	SF3B4	3	DDX3X	5	111	0.33746710419654846	false	0.33746710419654846
K562	AQR_3-BUD13_3-interaction-shap	interaction	AQR-BUD13	AQR	3	BUD13	3	3222	0.3370213210582733	false	0.3370213210582733
K562	BUD13_1-KHSRP_6-interaction-shap	interaction	BUD13-KHSRP	BUD13	1	KHSRP	6	376	0.33569610118865967	false	0.33569610118865967
K562	EWSR1_5-ZNF622_6-interaction-shap	interaction	EWSR1-ZNF622	EWSR1	5	ZNF622	6	20	0.3340508043766022	false	0.3340508043766022
K562	ELAVL1_3-DDX42_4-interaction-shap	interaction	DDX42-ELAVL1	ELAVL1	3	DDX42	4	9	0.33107659220695496	false	0.33107659220695496
K562	GEMIN5_1-IGF2BP2_4-interaction-shap	interaction	GEMIN5-IGF2BP2	GEMIN5	1	IGF2BP2	4	89	0.3296203017234802	false	0.3296203017234802
K562	BUD13_3-EWSR1_3-interaction-shap	interaction	BUD13-EWSR1	BUD13	3	EWSR1	3	240	0.32610219717025757	false	0.32610219717025757
K562	PRPF8_4-DDX3X_5-interaction-shap	interaction	DDX3X-PRPF8	PRPF8	4	DDX3X	5	196	0.32534751296043396	false	0.32534751296043396
K562	RBM22_4-APOBEC3C_6-interaction-shap	interaction	APOBEC3C-RBM22	RBM22	4	APOBEC3C	6	68	0.32441291213035583	false	0.32441291213035583
K562	DDX3X_3-SMNDC1_4-interaction-shap	interaction	DDX3X-SMNDC1	DDX3X	3	SMNDC1	4	42	0.32329776883125305	false	0.32329776883125305
K562	ZNF800_2-IGF2BP1_6-interaction-shap	interaction	IGF2BP1-ZNF800	ZNF800	2	IGF2BP1	6	127	0.32312193512916565	false	0.32312193512916565
K562	SF3B4_3-TARDBP_5-interaction-shap	interaction	SF3B4-TARDBP	SF3B4	3	TARDBP	5	144	0.3208986520767212	false	0.3208986520767212
K562	ZNF622_3-SRSF1_4-interaction-shap	interaction	SRSF1-ZNF622	ZNF622	3	SRSF1	4	650	0.32043248414993286	false	0.32043248414993286
K562	BUD13_1-RBFOX2_3-interaction-shap	interaction	BUD13-RBFOX2	BUD13	1	RBFOX2	3	147	0.3193386197090149	false	0.3193386197090149
K562	LIN28B_4-ZNF622_4-interaction-shap	interaction	LIN28B-ZNF622	LIN28B	4	ZNF622	4	502	0.31861600279808044	false	0.31861600279808044
K562	SF3B4_4-YBX3_4-interaction-shap	interaction	SF3B4-YBX3	SF3B4	4	YBX3	4	235	0.31775137782096863	false	0.31775137782096863
K562	DDX24_3-PRPF8_4-interaction-shap	interaction	DDX24-PRPF8	DDX24	3	PRPF8	4	1764	0.31634798645973206	false	0.31634798645973206
K562	LIN28B_3-YBX3_3-interaction-shap	interaction	LIN28B-YBX3	LIN28B	3	YBX3	3	709	0.3157299757003784	false	0.3157299757003784
K562	LIN28B_3-FXR2_6-interaction-shap	interaction	FXR2-LIN28B	LIN28B	3	FXR2	6	195	0.31454411149024963	false	0.31454411149024963
K562	MATR3_3-PTBP1_3-interaction-shap	interaction	MATR3-PTBP1	MATR3	3	PTBP1	3	46	0.313902884721756	true	0.313902884721756
K562	EFTUD2_2-IGF2BP2_4-interaction-shap	interaction	EFTUD2-IGF2BP2	EFTUD2	2	IGF2BP2	4	314	0.3137638568878174	false	0.3137638568878174
K562	GEMIN5_3-DDX3X_4-interaction-shap	interaction	DDX3X-GEMIN5	GEMIN5	3	DDX3X	4	192	0.3132348656654358	false	0.3132348656654358
K562	BUD13_3-SF3B4_3-interaction-shap	interaction	BUD13-SF3B4	BUD13	3	SF3B4	3	4475	0.3122318387031555	true	0.3122318387031555
K562	DDX3X_2-RBM22_4-interaction-shap	interaction	DDX3X-RBM22	DDX3X	2	RBM22	4	457	0.3108735978603363	false	0.3108735978603363
K562	PRPF8_1-HNRNPK_4-interaction-shap	interaction	HNRNPK-PRPF8	PRPF8	1	HNRNPK	4	23	0.3107929527759552	false	0.3107929527759552
K562	DDX3X_3-PRPF8_4-interaction-shap	interaction	DDX3X-PRPF8	DDX3X	3	PRPF8	4	775	0.3088214695453644	false	0.3088214695453644
K562	PUM2_3-AQR_4-interaction-shap	interaction	AQR-PUM2	PUM2	3	AQR	4	167	0.3042134642601013	false	0.3042134642601013
K562	DDX24_1-LIN28B_3-interaction-shap	interaction	DDX24-LIN28B	DDX24	1	LIN28B	3	176	0.30093806982040405	false	0.30093806982040405
K562	SF3B4_3-CPEB4_6-interaction-shap	interaction	CPEB4-SF3B4	SF3B4	3	CPEB4	6	23	0.3007766306400299	false	0.3007766306400299
K562	U2AF2_5-RPS3_6-interaction-shap	interaction	RPS3-U2AF2	U2AF2	5	RPS3	6	75	0.30030226707458496	false	0.30030226707458496
K562	IGF2BP1_3-DDX43_4-interaction-shap	interaction	DDX43-IGF2BP1	IGF2BP1	3	DDX43	4	163	0.29960548877716064	false	0.29960548877716064
K562	DDX43_3-TIA1_3-interaction-shap	interaction	DDX43-TIA1	DDX43	3	TIA1	3	107	0.2977500855922699	false	0.2977500855922699
K562	SMNDC1_4-UCHL5_4-interaction-shap	interaction	SMNDC1-UCHL5	SMNDC1	4	UCHL5	4	68	0.2965492904186249	false	0.2965492904186249
K562	LIN28B_3-EFTUD2_6-interaction-shap	interaction	EFTUD2-LIN28B	LIN28B	3	EFTUD2	6	235	0.2954971194267273	false	0.2954971194267273
K562	RBM15_2-EFTUD2_5-interaction-shap	interaction	EFTUD2-RBM15	RBM15	2	EFTUD2	5	304	0.2918628454208374	false	0.2918628454208374
K562	APOBEC3C_1-RPS3_4-interaction-shap	interaction	APOBEC3C-RPS3	APOBEC3C	1	RPS3	4	102	0.291114866733551	false	0.291114866733551
K562	FUS_2-IGF2BP1_3-interaction-shap	interaction	FUS-IGF2BP1	FUS	2	IGF2BP1	3	67	0.2907930910587311	true	0.2907930910587311
K562	PRPF8_3-QKI_3-interaction-shap	interaction	PRPF8-QKI	PRPF8	3	QKI	3	21	0.29058852791786194	false	0.29058852791786194
K562	FAM120A_3-SF3B4_5-interaction-shap	interaction	FAM120A-SF3B4	FAM120A	3	SF3B4	5	131	0.2902626097202301	false	0.2902626097202301
K562	DDX3X_1-RBFOX2_6-interaction-shap	interaction	DDX3X-RBFOX2	DDX3X	1	RBFOX2	6	54	0.29021742939949036	false	0.29021742939949036
K562	UCHL5_1-LIN28B_4-interaction-shap	interaction	LIN28B-UCHL5	UCHL5	1	LIN28B	4	324	0.29011157155036926	false	0.29011157155036926
K562	DDX3X_3-LIN28B_4-interaction-shap	interaction	DDX3X-LIN28B	DDX3X	3	LIN28B	4	226	0.28968095779418945	false	0.28968095779418945
K562	IGF2BP1_1-PRPF8_3-interaction-shap	interaction	IGF2BP1-PRPF8	IGF2BP1	1	PRPF8	3	19	0.28893616795539856	false	0.28893616795539856
K562	SRSF1_2-LIN28B_3-interaction-shap	interaction	LIN28B-SRSF1	SRSF1	2	LIN28B	3	217	0.2876513600349426	false	0.2876513600349426
K562	IGF2BP1_4-IGF2BP2_4-interaction-shap	interaction	IGF2BP1-IGF2BP2	IGF2BP1	4	IGF2BP2	4	738	0.2868444621562958	false	0.2868444621562958
K562	YBX3_4-DDX3X_5-interaction-shap	interaction	DDX3X-YBX3	YBX3	4	DDX3X	5	76	0.27984386682510376	false	0.27984386682510376
K562	RBM22_3-SF3B4_3-interaction-shap	interaction	RBM22-SF3B4	RBM22	3	SF3B4	3	100	0.2797267436981201	false	0.2797267436981201
K562	IGF2BP1_3-AQR_4-interaction-shap	interaction	AQR-IGF2BP1	IGF2BP1	3	AQR	4	595	0.27941471338272095	false	0.27941471338272095
K562	DDX3X_5-PCBP1_6-interaction-shap	interaction	DDX3X-PCBP1	DDX3X	5	PCBP1	6	2	0.27869826555252075	false	0.27869826555252075
K562	PUM2_1-PRPF8_4-interaction-shap	interaction	PRPF8-PUM2	PUM2	1	PRPF8	4	102	0.2780914604663849	false	0.2780914604663849
K562	METAP2_5-DDX3X_6-interaction-shap	interaction	DDX3X-METAP2	METAP2	5	DDX3X	6	32	0.27705472707748413	false	0.27705472707748413
K562	PUM2_1-DDX43_6-interaction-shap	interaction	DDX43-PUM2	PUM2	1	DDX43	6	34	0.2769356369972229	false	0.2769356369972229
K562	DDX43_3-LIN28B_3-interaction-shap	interaction	DDX43-LIN28B	DDX43	3	LIN28B	3	280	0.2754102349281311	false	0.2754102349281311
K562	GRWD1_3-DDX3X_5-interaction-shap	interaction	DDX3X-GRWD1	GRWD1	3	DDX3X	5	68	0.2747551500797272	false	0.2747551500797272
