Cell Line	Column	Column Type	Sorted RBP Pair	RBP 1	Position 1	RBP 2	Position 2	# UBPs - Bound-Only	Value - Bound-Only	PPI	Abs. SHAP Value
HepG2	G3BP1_4-LARP4_4-interaction-shap	interaction	G3BP1-LARP4	G3BP1	4	LARP4	4	266	1.5484907627105713	false	1.5484907627105713
HepG2	PPIG_3-TARDBP_5-interaction-shap	interaction	PPIG-TARDBP	PPIG	3	TARDBP	5	138	1.1819193363189697	false	1.1819193363189697
HepG2	GTF2F1_2-EFTUD2_4-interaction-shap	interaction	EFTUD2-GTF2F1	GTF2F1	2	EFTUD2	4	238	0.6369216442108154	false	0.6369216442108154
HepG2	QKI_3-U2AF2_3-interaction-shap	interaction	QKI-U2AF2	QKI	3	U2AF2	3	102	0.6366861462593079	false	0.6366861462593079
HepG2	UCHL5_2-PPIG_4-interaction-shap	interaction	PPIG-UCHL5	UCHL5	2	PPIG	4	711	0.5676208138465881	false	0.5676208138465881
HepG2	PCBP2_6-UCHL5_6-interaction-shap	interaction	PCBP2-UCHL5	PCBP2	6	UCHL5	6	11	0.562859058380127	false	0.562859058380127
HepG2	RBM22_2-FAM120A_5-interaction-shap	interaction	FAM120A-RBM22	RBM22	2	FAM120A	5	57	0.5268276333808899	false	0.5268276333808899
HepG2	HNRNPK_3-PPIG_5-interaction-shap	interaction	HNRNPK-PPIG	HNRNPK	3	PPIG	5	205	0.5265262126922607	false	0.5265262126922607
HepG2	IGF2BP1_4-TARDBP_4-interaction-shap	interaction	IGF2BP1-TARDBP	IGF2BP1	4	TARDBP	4	58	0.5076203346252441	false	0.5076203346252441
HepG2	G3BP1_4-PPIG_4-interaction-shap	interaction	G3BP1-PPIG	G3BP1	4	PPIG	4	851	0.5012828707695007	false	0.5012828707695007
HepG2	PPIG_2-QKI_4-interaction-shap	interaction	PPIG-QKI	PPIG	2	QKI	4	80	0.4960769712924957	false	0.4960769712924957
HepG2	EFTUD2_2-QKI_5-interaction-shap	interaction	EFTUD2-QKI	EFTUD2	2	QKI	5	97	0.49123701453208923	false	0.49123701453208923
