Cell Line	Column	Column Type	Sorted RBP Pair	RBP 1	Position 1	RBP 2	Position 2	# UBPs - Bound-Only	Value - Bound-Only	PPI	Abs. SHAP Value
HepG2	G3BP1_4-LARP4_4-interaction-shap	interaction	G3BP1-LARP4	G3BP1	4	LARP4	4	266	1.5484907627105713	false	1.5484907627105713
HepG2	QKI_3-U2AF2_3-interaction-shap	interaction	QKI-U2AF2	QKI	3	U2AF2	3	102	0.6366861462593079	false	0.6366861462593079
HepG2	PCBP2_6-UCHL5_6-interaction-shap	interaction	PCBP2-UCHL5	PCBP2	6	UCHL5	6	11	0.562859058380127	false	0.562859058380127
HepG2	IGF2BP1_4-TARDBP_4-interaction-shap	interaction	IGF2BP1-TARDBP	IGF2BP1	4	TARDBP	4	58	0.5076203346252441	false	0.5076203346252441
HepG2	G3BP1_4-PPIG_4-interaction-shap	interaction	G3BP1-PPIG	G3BP1	4	PPIG	4	851	0.5012828707695007	false	0.5012828707695007
HepG2	LARP4_2-RBFOX2_2-interaction-shap	interaction	LARP4-RBFOX2	LARP4	2	RBFOX2	2	112	0.47690609097480774	false	0.47690609097480774
HepG2	FXR2_4-G3BP1_4-interaction-shap	interaction	FXR2-G3BP1	FXR2	4	G3BP1	4	450	0.4610728323459625	false	0.4610728323459625
HepG2	QKI_4-SUGP2_4-interaction-shap	interaction	QKI-SUGP2	QKI	4	SUGP2	4	8	0.43139833211898804	false	0.43139833211898804
HepG2	RBFOX2_4-SUGP2_4-interaction-shap	interaction	RBFOX2-SUGP2	RBFOX2	4	SUGP2	4	8	0.42487573623657227	false	0.42487573623657227
HepG2	PPIG_4-TIA1_4-interaction-shap	interaction	PPIG-TIA1	PPIG	4	TIA1	4	211	0.4148852825164795	false	0.4148852825164795
HepG2	LARP4_2-PPIG_2-interaction-shap	interaction	LARP4-PPIG	LARP4	2	PPIG	2	203	0.41219887137413025	false	0.41219887137413025
HepG2	SF3A3_3-SF3B4_3-interaction-shap	interaction	SF3A3-SF3B4	SF3A3	3	SF3B4	3	3360	0.37922316789627075	false	0.37922316789627075
HepG2	CSTF2T_3-ILF3_3-interaction-shap	interaction	CSTF2T-ILF3	CSTF2T	3	ILF3	3	34	0.3735436499118805	false	0.3735436499118805
HepG2	EIF3D_5-G3BP1_5-interaction-shap	interaction	EIF3D-G3BP1	EIF3D	5	G3BP1	5	24	0.365623414516449	false	0.365623414516449
HepG2	G3BP1_3-SF3B4_3-interaction-shap	interaction	G3BP1-SF3B4	G3BP1	3	SF3B4	3	511	0.3630695939064026	false	0.3630695939064026
