Cell Line	Sorted RBP Pair	PPI	Abs. SHAP Sum Value
HepG2	PPIG-TARDBP	false	1.8837369863394997
HepG2	PPIG-SF3B4	false	0.933621842355933
HepG2	PPIG-QKI	false	0.9219417251633786
HepG2	PTBP1-SF3B4	false	0.8538817623630166
HepG2	G3BP1-LARP4	false	0.823447588365525
HepG2	DDX3X-G3BP1	false	0.8153005164349452
HepG2	PPIG-U2AF2	false	0.8061284853611141
HepG2	IGF2BP1-IGF2BP3	false	0.800404422916472
HepG2	PPIG-UCHL5	false	0.792137007774727
HepG2	DDX3X-RPS3	false	0.7156597152352333
HepG2	PPIG-U2AF1	false	0.7154470737878
HepG2	DDX3X-LIN28B	false	0.6995258446549997
HepG2	HNRNPK-PPIG	false	0.68971539157792
HepG2	LIN28B-RPS3	false	0.6742179148714058
HepG2	G3BP1-PPIG	false	0.6622950710589066
HepG2	EFTUD2-GTF2F1	false	0.6615416903514415
HepG2	SUB1-U2AF2	false	0.6448356331384275
HepG2	DDX3X-TRA2A	false	0.615110844373703
HepG2	EFTUD2-QKI	false	0.5944881720643025
HepG2	RBM22-SF3A3	false	0.5514057974360185
HepG2	SF3B4-SRSF1	false	0.5475494861602783
HepG2	EFTUD2-PPIG	false	0.5403337011812255
HepG2	FAM120A-RBM22	false	0.531326349824667
HepG2	LARP4-SUB1	false	0.5260829422622919
HepG2	LARP4-RPS3	false	0.5254196260357276
HepG2	IGF2BP1-LIN28B	false	0.5221910807304084
HepG2	BUD13-PPIG	false	0.5166224886197597
HepG2	BUD13-EFTUD2	false	0.4953665123102837
HepG2	DDX3X-EFTUD2	false	0.48140091937966645
HepG2	NKRF-U2AF2	false	0.47218501195311546
HepG2	SF3B4-TIA1	false	0.46243511885404587
HepG2	QKI-U2AF2	false	0.4581463048234582
HepG2	CSTF2T-PRPF4	false	0.45614294774713926
HepG2	PPIG-RBM22	false	0.4538006266957382
HepG2	SF3A3-SF3B4	false	0.45323168009053916
HepG2	BUD13-DDX3X	false	0.4405332761525642
HepG2	SF3B4-TARDBP	false	0.43944872729480267
HepG2	PRPF4-PTBP1	false	0.43813079968094826
HepG2	PPIG-TIAL1	false	0.43737498254631646
HepG2	DDX3X-PPIG	false	0.4324021337888553
HepG2	CSTF2T-PTBP1	false	0.43156903982162476
HepG2	LIN28B-U2AF2	false	0.4306962084956467
HepG2	G3BP1-LIN28B	false	0.41886519984109327
HepG2	DDX3X-TIAL1	false	0.41882976461783983
HepG2	LIN28B-SF3B4	false	0.4081876440322958
HepG2	EFTUD2-SF3B4	false	0.39484619933500653
HepG2	RPS3-SUB1	false	0.38656220212578773
HepG2	U2AF1-U2AF2	true	0.3863362497650087
HepG2	SF3A3-U2AF2	false	0.3794846823439002
HepG2	PPIG-SRSF1	false	0.3726813974790275
HepG2	G3BP1-RPS3	false	0.3698525067884475
HepG2	SF3B4-U2AF1	false	0.36362169313360937
HepG2	QKI-RBM22	false	0.3512429624097422
HepG2	EFTUD2-RBM22	false	0.34777243132703006
HepG2	G3BP1-SUB1	false	0.34376570163294673
HepG2	SUGP2-U2AF2	false	0.34334411285817623
HepG2	RBM5-SF3A3	false	0.33948830515146255
HepG2	IGF2BP1-TARDBP	false	0.33331423540221294
HepG2	PPIG-SUB1	false	0.33229871408548206
HepG2	SF3B4-XPO5	false	0.32938600331544876
HepG2	DDX3X-LARP4	false	0.32887796754948795
HepG2	EFTUD2-HNRNPC	false	0.30892417510040104
HepG2	EIF3D-PPIG	false	0.3044332191348076
HepG2	RBM22-RPS3	false	0.30414828285574913
HepG2	QKI-SF3A3	false	0.3022807277739048
HepG2	DDX3X-SF3B4	false	0.29068471892969683
HepG2	LARP4-XRN2	false	0.2887584939599037
HepG2	LIN28B-NOLC1	false	0.2852983456104994
HepG2	IGF2BP3-RPS3	false	0.27682891953736544
HepG2	IGF2BP1-SF3B4	false	0.2747105937451124
HepG2	PPIG-RBFOX2	false	0.2734514317999128
HepG2	DDX3X-PTBP1	false	0.2714056449767668
HepG2	IGF2BP3-PCBP1	false	0.2704703323543072
HepG2	IGF2BP3-SUB1	false	0.2684798426926136
HepG2	NKRF-SF3B4	false	0.26837867964059114
HepG2	LARP4-LIN28B	false	0.26553243010130245
HepG2	EIF3D-U2AF2	false	0.26449154573492706
HepG2	BUD13-LARP4	false	0.2642726544290781
HepG2	BUD13-CSTF2T	false	0.26396579574793577
HepG2	FXR2-U2AF2	false	0.2601304352283478
HepG2	RBM5-U2AF2	false	0.25949737429618835
HepG2	PTBP1-RBM22	false	0.2591017552949779
HepG2	EFTUD2-HNRNPK	false	0.25883060693740845
HepG2	IGF2BP1-RBM22	false	0.2549413394713156
HepG2	HNRNPK-SF3B4	false	0.2548392512835562
HepG2	PCBP1-RBM22	false	0.2537198909558356
HepG2	PCBP1-U2AF2	false	0.2492588134482503
HepG2	IGF2BP1-U2AF2	false	0.2474541767151095
HepG2	HNRNPK-SF3A3	false	0.24408564758778084
HepG2	SF3A3-SUB1	false	0.23771162889897823
HepG2	G3BP1-IGF2BP1	false	0.23753559729084373
HepG2	DDX3X-SUB1	false	0.2370111820710008
HepG2	SRSF1-U2AF2	false	0.23354187048971653
HepG2	QKI-SF3B4	false	0.227846722031245
HepG2	DDX3X-PCBP1	false	0.22763483645394444
HepG2	LIN28B-PTBP1	false	0.2275861445814371
HepG2	RBFOX2-RBM22	false	0.22742745652794838
HepG2	IGF2BP1-QKI	false	0.22647996246814728
HepG2	DDX3X-SF3A3	false	0.22615367267280817
HepG2	IGF2BP1-SUB1	false	0.22454636543989182
HepG2	FASTKD2-SF3B4	false	0.22376616299152374
HepG2	QKI-U2AF1	false	0.22215995503938757
HepG2	DDX3X-QKI	false	0.21675133292592363
HepG2	PCBP2-PPIG	false	0.21523868697477155
HepG2	PPIG-SF3A3	false	0.21503065567230806
HepG2	G3BP1-QKI	false	0.2136121354997158
HepG2	SF3A3-TARDBP	false	0.20537082701412146
HepG2	IGF2BP1-TIA1	false	0.20535115897655487
HepG2	LIN28B-QKI	false	0.20402226713486016
HepG2	GTF2F1-PPIG	false	0.20342233101837337
HepG2	DDX3X-PRPF4	false	0.20324067067122087
HepG2	SF3B4-XRN2	false	0.20299935434013605
HepG2	RPS3-SF3A3	false	0.20000951690599322
HepG2	BUD13-RBM22	false	0.19974610954523087
HepG2	DDX3X-HNRNPK	false	0.19804277271032333
HepG2	PPIG-PTBP1	false	0.196697506995406
