Cell Line	Sorted RBP Pair	PPI	Abs. SHAP Sum Value
HepG2	G3BP1-LARP4	false	2.0510149076581
HepG2	IGF2BP1-TARDBP	false	0.6998596340417862
HepG2	QKI-U2AF2	false	0.6932385675609112
HepG2	G3BP1-PPIG	false	0.6920051234774292
HepG2	LARP4-RPS3	false	0.6358826328068972
HepG2	BUD13-EFTUD2	false	0.5688617721316405
HepG2	PCBP2-UCHL5	false	0.562859058380127
HepG2	LARP4-RBFOX2	false	0.47690609097480774
HepG2	LARP4-PPIG	false	0.4738737940788269
HepG2	FXR2-G3BP1	false	0.4610728323459625
HepG2	PPIG-TIA1	false	0.4327141288667917
HepG2	QKI-SUGP2	false	0.43139833211898804
HepG2	BUD13-GTF2F1	false	0.42867258191108704
HepG2	RBFOX2-SUGP2	false	0.42487573623657227
HepG2	G3BP1-IGF2BP1	false	0.40828028321266174
HepG2	SF3A3-SF3B4	false	0.38024065166246146
HepG2	CSTF2T-ILF3	false	0.3735436499118805
HepG2	EIF3D-G3BP1	false	0.365623414516449
HepG2	G3BP1-SF3B4	false	0.3630695939064026
HepG2	U2AF1-U2AF2	true	0.35630935057997704
HepG2	IGF2BP1-IGF2BP3	false	0.3553794678300619
HepG2	IGF2BP1-SF3B4	false	0.3372955024242401
HepG2	DDX3X-SRSF9	false	0.33479344844818115
HepG2	DDX3X-PPIG	false	0.3341791888233274
HepG2	BUD13-RBM22	false	0.3055383861064911
HepG2	IGF2BP1-LIN28B	false	0.30162329226732254
HepG2	RPS3-SUB1	false	0.2947113113477826
HepG2	DDX3X-G3BP1	false	0.29347334639169276
HepG2	DDX3X-RBFOX2	false	0.29279160499572754
HepG2	QKI-RBFOX2	true	0.2875877320766449
HepG2	LARP4-LIN28B	false	0.27834172546863556
HepG2	BUD13-RPS3	false	0.27747464179992676
HepG2	QKI-U2AF1	false	0.26616016030311584
HepG2	DDX3X-LARP4	false	0.2632619787909789
HepG2	GTF2F1-PCBP2	false	0.2625763416290283
HepG2	EFTUD2-SF3B4	false	0.2598465590272099
HepG2	DDX3X-NKRF	false	0.2587779462337494
HepG2	HNRNPK-ILF3	false	0.2570432126522064
HepG2	BUD13-PRPF4	false	0.2556543196551502
HepG2	FUBP3-TIAL1	false	0.2511662244796753
HepG2	EFTUD2-XRN2	false	0.2508457414805889
HepG2	BUD13-PPIG	false	0.24850763706490397
HepG2	DDX3X-PTBP1	false	0.24821294145658612
HepG2	PPIG-RBFOX2	false	0.24404949136078358
HepG2	EFTUD2-FKBP4	false	0.24383856356143951
HepG2	CSTF2T-RBFOX2	false	0.23801345378160477
HepG2	DDX3X-EFTUD2	false	0.22999908938072622
HepG2	FXR2-LARP4	false	0.2261579930782318
HepG2	PPIG-U2AF2	false	0.22351498901844025
HepG2	ILF3-RBM22	false	0.22238227725028992
HepG2	DDX3X-RPS3	false	0.21888187807053328
HepG2	LIN28B-PTBP1	false	0.2120681330561638
HepG2	DDX3X-LIN28B	false	0.20799131382955238
HepG2	IGF2BP1-U2AF2	false	0.20662345486925915
HepG2	LIN28B-RPS3	false	0.20653609633154701
HepG2	DDX3X-SF3B4	false	0.20653409138321877
HepG2	IGF2BP1-LARP4	false	0.19995958195067942
HepG2	RBM5-U2AF1	false	0.19711169973015785
HepG2	PPIG-RBM22	false	0.1943295686505735
HepG2	ILF3-LARP4	false	0.19069740176200867
HepG2	PPIG-RPS3	false	0.1795935332775116
HepG2	PPIG-SRSF1	false	0.17848428711295128
HepG2	G3BP1-LIN28B	false	0.17057453840970993
HepG2	SF3B4-TIA1	false	0.15285246912389994
HepG2	LIN28B-SUGP2	false	0.14967858791351318
HepG2	CSTF2T-EFTUD2	false	0.14798830449581146
HepG2	FUBP3-ZC3H11A	false	0.14554160833358765
HepG2	PCBP1-U2AF2	false	0.14382298290729523
HepG2	PCBP2-RBFOX2	true	0.14251534640789032
HepG2	PPIG-SF3B4	false	0.14125663042068481
HepG2	FXR2-LIN28B	false	0.13975950330495834
HepG2	LARP4-RBM22	false	0.13749897480010986
HepG2	RBM22-TIAL1	false	0.13356997398659587
HepG2	PPIG-QKI	false	0.13036958128213882
HepG2	BUD13-LIN28B	false	0.13035107357427478
HepG2	LIN28B-SUB1	false	0.12988106906414032
HepG2	NKRF-XRN2	false	0.12919682264328003
HepG2	HNRNPK-PCBP2	false	0.12745693512260914
HepG2	DDX6-RBM5	false	0.12327615171670914
HepG2	PPIG-SRSF9	false	0.1225215494632721
HepG2	EFTUD2-RBFOX2	false	0.12033289857208729
HepG2	NKRF-RBFOX2	false	0.1191888079047203
HepG2	PCBP2-PTBP1	false	0.11747574061155319
HepG2	CSTF2T-PRPF4	false	0.1174509022384882
HepG2	GTF2F1-XRN2	false	0.11519243568181992
HepG2	RBM22-SUB1	false	0.11333533562719822
HepG2	RBM5-SF3B4	false	0.11140817403793335
HepG2	PRPF4-XRN2	false	0.10893800109624863
HepG2	NIP7-TIA1	false	0.10575079917907715
HepG2	NKRF-SF3B4	false	0.10361139476299286
HepG2	LIN28B-PPIG	false	0.09929435164667666
HepG2	SF3B4-U2AF2	false	0.09749491326510906
HepG2	EFTUD2-SF3A3	false	0.09720109403133392
HepG2	BUD13-SF3B4	false	0.09712966642109677
HepG2	IGF2BP1-RBM22	false	0.09583626687526703
HepG2	RBM15-SRSF1	false	0.09530746936798096
HepG2	TRA2A-U2AF1	false	0.09507058560848236
HepG2	RBFOX2-U2AF1	false	0.09359889477491379
HepG2	PPIG-XRN2	false	0.0926004303037189
HepG2	EIF3H-FXR2	false	0.09182909550145268
