Cell Line	Sorted RBP Pair	PPI	Abs. SHAP Sum Value
HepG2	G3BP1-LARP4	false	2.0510149076581
HepG2	PPIG-PRPF8	false	0.8527745737228543
HepG2	BCLAF1-PRPF8	false	0.795254890108481
HepG2	AQR-SF3B4	false	0.7514391895383596
HepG2	IGF2BP1-TARDBP	false	0.6998596340417862
HepG2	QKI-U2AF2	false	0.6932385675609112
HepG2	G3BP1-PPIG	false	0.6920051234774292
HepG2	LARP4-RPS3	false	0.6358826328068972
HepG2	GRWD1-SRSF1	false	0.6039445251226425
HepG2	GRWD1-U2AF2	false	0.6027898383326828
HepG2	FUS-PRPF8	false	0.5950871109962463
HepG2	PRPF8-RBM22	false	0.5745949782431126
HepG2	BUD13-EFTUD2	true	0.5688617721316405
HepG2	PCBP2-UCHL5	false	0.562859058380127
HepG2	G3BP1-PRPF8	false	0.5480236560106277
HepG2	PRPF8-SND1	false	0.5320540186876315
HepG2	LARP4-RBFOX2	false	0.47690609097480774
HepG2	LARP4-PPIG	false	0.4738737940788269
HepG2	FXR2-G3BP1	false	0.4610728323459625
HepG2	AQR-PRPF8	false	0.4431833899579942
HepG2	DDX3X-SND1	false	0.44261471182107925
HepG2	PPIG-TIA1	false	0.4327141288667917
HepG2	QKI-SUGP2	false	0.43139833211898804
HepG2	BUD13-GTF2F1	false	0.42867258191108704
HepG2	RBFOX2-SUGP2	false	0.42487573623657227
HepG2	G3BP1-IGF2BP1	false	0.40828028321266174
HepG2	GRWD1-PRPF8	false	0.3917527166195214
HepG2	SF3A3-SF3B4	false	0.38024065166246146
HepG2	CSTF2T-ILF3	false	0.3735436499118805
HepG2	AQR-DDX3X	false	0.3688114397227764
HepG2	EIF3D-G3BP1	false	0.365623414516449
HepG2	G3BP1-SF3B4	false	0.3630695939064026
HepG2	U2AF1-U2AF2	true	0.35630935057997704
HepG2	IGF2BP1-IGF2BP3	true	0.3553794678300619
HepG2	DDX3X-GRWD1	false	0.3543283043181873
HepG2	IGF2BP1-SF3B4	false	0.3372955024242401
HepG2	DDX3X-SRSF9	false	0.33479344844818115
HepG2	DDX3X-PPIG	false	0.3341791888233274
HepG2	BUD13-RBM22	true	0.3055383861064911
HepG2	IGF2BP1-LIN28B	false	0.30162329226732254
HepG2	RPS3-SUB1	false	0.2947113113477826
HepG2	DDX3X-G3BP1	false	0.29347334639169276
HepG2	DDX3X-RBFOX2	false	0.29279160499572754
HepG2	QKI-RBFOX2	true	0.2875877320766449
HepG2	LARP4-LIN28B	false	0.27834172546863556
HepG2	BUD13-RPS3	false	0.27747464179992676
HepG2	DGCR8-XRN2	false	0.27463215589523315
HepG2	QKI-U2AF1	false	0.26616016030311584
HepG2	DDX3X-LARP4	false	0.2632619787909789
HepG2	GTF2F1-PCBP2	false	0.2625763416290283
HepG2	EFTUD2-SF3B4	true	0.2598465590272099
HepG2	DDX3X-NKRF	false	0.2587779462337494
