Cell Line	Sorted RBP Pair	PPI	Abs. SHAP Sum Value
HepG2	GRWD1-PRPF8	false	1.9283988985989708
HepG2	BCLAF1-PRPF8	false	1.8276112991152331
HepG2	DDX3X-SND1	false	1.8177059399313293
HepG2	AQR-DDX3X	false	1.7954439661589277
HepG2	PPIG-PRPF8	false	1.7518459330312908
HepG2	NCBP2-U2AF2	false	1.719574413727969
HepG2	GRWD1-U2AF2	false	1.6706868049805053
HepG2	PRPF8-RBM22	false	1.5199937913566828
HepG2	PRPF8-SND1	false	1.3767576051686774
HepG2	AQR-RPS3	false	1.3585859041195363
HepG2	AQR-SF3B4	false	1.264612487750128
HepG2	AQR-SRSF1	false	1.257065320329275
HepG2	AQR-PRPF8	false	1.1743059164437
HepG2	G3BP1-PRPF8	false	1.1712620243779384
HepG2	LARP4-RPS3	false	1.1613022588426247
HepG2	IGF2BP1-IGF2BP3	true	1.1557838907465339
HepG2	QKI-U2AF2	false	1.1513848723843694
HepG2	DDX3X-G3BP1	false	1.108773862826638
HepG2	PPIG-SF3B4	false	1.0748784727766179
HepG2	BUD13-EFTUD2	true	1.0642282844419242
HepG2	IGF2BP1-TARDBP	false	1.0331738694439991
HepG2	PPIG-U2AF2	true	1.0296434743795544
HepG2	RPS3-SND1	false	1.0283890058053657
HepG2	GRWD1-SRSF1	false	1.004407970176544
HepG2	KHSRP-U2AF2	false	0.9965169532224536
HepG2	BCLAF1-LIN28B	false	0.9672936564275005
HepG2	DDX3X-RPS3	false	0.9345415933057666
HepG2	LARP4-PRPF8	false	0.9336402904591523
HepG2	DDX3X-LIN28B	false	0.9075171584845521
HepG2	DDX3X-HNRNPM	false	0.9042003107751952
HepG2	LIN28B-RPS3	false	0.8807540112029528
HepG2	PRPF8-RPS3	false	0.8737542072776705
HepG2	AQR-IGF2BP1	false	0.8562349741405342
HepG2	PTBP1-SF3B4	false	0.8538817623630166
HepG2	SF3A3-SF3B4	false	0.8334723317530006
HepG2	GRWD1-IGF2BP1	false	0.8270915077919199
HepG2	IGF2BP1-LIN28B	false	0.823814372997731
HepG2	KHSRP-PRPF8	false	0.8142486311262473
HepG2	DDX3X-GRWD1	false	0.8092040196970629
HepG2	AQR-BUD13	false	0.8054459695413243
HepG2	PRPF8-QKI	false	0.796964833893071
HepG2	DDX3X-PRPF8	false	0.7960107254330069
HepG2	PRPF8-U2AF1	false	0.7944100415261346
HepG2	DDX3X-PPIG	false	0.7665813226121827
HepG2	BUD13-PPIG	false	0.7651301256846637
HepG2	U2AF1-U2AF2	true	0.7426456003449857
HepG2	BCLAF1-U2AF2	false	0.7270721870008856
HepG2	PRPF8-U2AF2	false	0.716134408256039
HepG2	DDX3X-EFTUD2	false	0.7114000087603927
HepG2	PRPF8-SUB1	false	0.7097215142566711
HepG2	AGGF1-PRPF8	false	0.7081421848215541
HepG2	AQR-RBM22	false	0.6942759824669338
HepG2	AQR-LIN28B	false	0.6913718716241419
HepG2	GRWD1-SF3B4	false	0.6868787587154657
HepG2	RPS3-SUB1	false	0.6812735134735703
HepG2	SND1-U2AF2	false	0.6753557510674
HepG2	GRWD1-LIN28B	false	0.6606414403067902
HepG2	EFTUD2-SF3B4	true	0.6546927583622164
HepG2	IGF2BP1-KHSRP	false	0.6511054811999202
HepG2	PPIG-RBM22	false	0.6481301953463117
HepG2	G3BP1-IGF2BP1	false	0.6458158805035055
HepG2	SUB1-U2AF2	false	0.6450967922573909
HepG2	DDX55-SF3B4	false	0.6283143563196063
HepG2	TIA1-ZNF800	false	0.6273385658860207
HepG2	LARP4-RBFOX2	false	0.6263467743992805
HepG2	BCLAF1-HNRNPC	false	0.6213633856241358
