Cell Line	Sorted RBP Pair	PPI	Abs. SHAP Sum Value
HepG2	NCBP2-U2AF2	false	1.6425307537429035
HepG2	GRWD1-PRPF8	false	1.5366461819794495
HepG2	AQR-DDX3X	false	1.4266325264361512
HepG2	DDX3X-SND1	false	1.37509122811025
HepG2	AQR-SRSF1	false	1.1687464965507388
HepG2	AQR-RPS3	false	1.1164280835073441
HepG2	GRWD1-U2AF2	false	1.0678969666478224
HepG2	BCLAF1-PRPF8	false	1.032356409006752
HepG2	PRPF8-RBM22	false	0.9453988131135702
HepG2	PPIG-SF3B4	false	0.933621842355933
HepG2	PPIG-PRPF8	false	0.8990713593084365
HepG2	KHSRP-U2AF2	false	0.864325919188559
HepG2	PTBP1-SF3B4	false	0.8538817623630166
HepG2	PRPF8-SND1	false	0.8447035864810459
HepG2	BCLAF1-LIN28B	false	0.8405170366131642
HepG2	RPS3-SND1	false	0.8229782975977287
HepG2	DDX3X-G3BP1	false	0.8153005164349452
HepG2	AQR-IGF2BP1	false	0.8122414712852333
HepG2	PPIG-U2AF2	true	0.8061284853611141
HepG2	IGF2BP1-IGF2BP3	true	0.800404422916472
HepG2	DDX3X-HNRNPM	false	0.7994218570675002
HepG2	PRPF8-U2AF1	false	0.7944100415261346
HepG2	AQR-BUD13	false	0.7683936967514455
HepG2	PRPF8-RPS3	false	0.7484763625543565
HepG2	AQR-PRPF8	false	0.7311225264857057
HepG2	DDX3X-RPS3	false	0.7156597152352333
HepG2	PRPF8-QKI	false	0.7042098994443222
HepG2	DDX3X-PRPF8	false	0.7040376030199695
HepG2	GRWD1-IGF2BP1	false	0.7014552002074197
HepG2	DDX3X-LIN28B	false	0.6995258446549997
HepG2	AQR-RBM22	false	0.6917102665393031
HepG2	LARP4-PRPF8	false	0.6903424963238649
HepG2	LIN28B-RPS3	false	0.6742179148714058
HepG2	SND1-U2AF2	false	0.6575737781822681
HepG2	SUB1-U2AF2	false	0.6448356331384275
HepG2	IGF2BP1-KHSRP	false	0.6357388021424413
HepG2	DDX55-SF3B4	false	0.6283143563196063
HepG2	TIA1-ZNF800	false	0.6273385658860207
HepG2	G3BP1-PRPF8	false	0.6232383683673106
HepG2	DDX3X-TRA2A	false	0.615110844373703
HepG2	KHSRP-PRPF8	false	0.6107238664990291
HepG2	GRWD1-LIN28B	false	0.6064957986818627
HepG2	AGGF1-PRPF8	false	0.5820089366116008
HepG2	GRWD1-RPS3	false	0.5817408539005555
HepG2	AQR-LIN28B	false	0.5791330696083605
HepG2	RBM22-SF3A3	false	0.5514057974360185
HepG2	BCLAF1-HNRNPC	false	0.5502531817619456
HepG2	SF3B4-SRSF1	false	0.5475494861602783
HepG2	FAM120A-RBM22	false	0.531326349824667
HepG2	LARP4-RPS3	false	0.5254196260357276
HepG2	HNRNPK-PRPF8	false	0.5254138129675994
HepG2	LIN28B-SDAD1	false	0.5224047154188156
HepG2	IGF2BP1-LIN28B	false	0.5221910807304084
HepG2	PRPF8-U2AF2	false	0.519468603131827
HepG2	BUD13-PPIG	false	0.5166224886197597
HepG2	AQR-SF3B4	false	0.5131732982117683
HepG2	DDX3X-NCBP2	false	0.5067667979747057
HepG2	BCLAF1-U2AF2	false	0.5059076475445181
HepG2	BUD13-EFTUD2	true	0.4953665123102837
HepG2	PRPF8-SUB1	false	0.4910597011912614
HepG2	IGF2BP1-PRPF8	false	0.49048167932778597
HepG2	DDX3X-EFTUD2	false	0.48140091937966645
HepG2	NKRF-U2AF2	false	0.47218501195311546
HepG2	SF3B4-TIA1	false	0.46243511885404587
HepG2	GRWD1-SF3B4	false	0.4587120430660434
HepG2	QKI-U2AF2	false	0.4581463048234582
