Cell Line	Sorted RBP Pair	PPI	Abs. SHAP Sum Value
K562	ILF3-SF3B4	false	1.4326650963112115
K562	DDX3X-ELAC2	false	1.3676059153021924
K562	DDX3X-EIF4E	false	1.1288604815490544
K562	DDX3X-LIN28B	false	1.081797573004792
K562	DDX3X-UCHL5	false	0.957063828354876
K562	SF3B4-U2AF1	false	0.8835979507202865
K562	ELAVL1-UCHL5	false	0.8111541444668546
K562	DDX3X-RPS3	false	0.8103830240761454
K562	HNRNPK-SF3B4	false	0.802706721642835
K562	DDX3X-RBM22	false	0.7894116573334031
K562	BUD13-EFTUD2	false	0.7891380472283345
K562	LIN28B-U2AF1	false	0.7736369515592401
K562	IGF2BP1-IGF2BP2	false	0.744060390861705
K562	LIN28B-UCHL5	false	0.741899415644184
K562	IGF2BP1-PUM2	false	0.7254124769679038
K562	BUD13-DDX3X	false	0.7180517162196338
K562	DDX3X-SF3B4	false	0.6844830138852558
K562	DDX3X-DDX6	false	0.6722142271273697
K562	BUD13-RBFOX2	false	0.6431841271914891
K562	EWSR1-UCHL5	false	0.6202404637147083
K562	LIN28B-SRSF1	false	0.6043212934600888
K562	IGF2BP1-LIN28B	false	0.6012331172387348
K562	DDX3X-XRN2	false	0.5896932451214525
K562	SRSF1-UCHL5	false	0.5851375734619069
K562	BUD13-RPS3	false	0.5550293906189836
K562	UCHL5-XRN2	false	0.5447371403320176
K562	EIF4E-IGF2BP1	false	0.5423675820675271
K562	EFTUD2-LIN28B	false	0.5381781195719668
K562	DDX3X-SRSF1	false	0.5341391099209432
K562	BUD13-LIN28B	false	0.5320373482154537
K562	EWSR1-NONO	true	0.5313966910325689
K562	EIF4E-IGF2BP2	false	0.5210860828792647
K562	FAM120A-SF3B4	false	0.5143585577570775
K562	EFTUD2-IGF2BP2	false	0.508150480346103
K562	FMR1-UCHL5	false	0.5037251248850225
K562	TRA2A-UCHL5	false	0.4879142073550611
K562	DDX3X-RBFOX2	false	0.47676939807934104
K562	DDX3X-FUS	false	0.4765711633617684
K562	FMR1-FXR1	false	0.4765612200135365
K562	DDX3X-EFTUD2	false	0.47382660563880563
K562	PUM2-SF3B4	false	0.4729237280155303
K562	EFTUD2-UCHL5	false	0.46690413510077633
K562	EFTUD2-RBM15	false	0.4641319741785992
K562	BUD13-UCHL5	false	0.44305924325635715
K562	FUS-IGF2BP2	false	0.44228956746519543
K562	EFTUD2-FMR1	false	0.43959409184935794
K562	DDX3X-ZC3H11A	false	0.4348603764519794
K562	SF3B4-TARDBP	false	0.4294964091386646
K562	FUS-LIN28B	false	0.42926743628049735
