Cell Line	Sorted RBP Pair	PPI	Abs. SHAP Sum Value
K562	AQR-DDX3X	false	1.978657852851029
K562	DDX3X-YBX3	false	1.937485539336194
K562	HLTF-PRPF8	false	1.914593994630195
K562	DDX3X-PABPC4	false	1.9068014704971574
K562	DDX43-LIN28B	false	1.6997896091634175
K562	ILF3-SF3B4	false	1.5998178420768454
K562	LIN28B-YBX3	false	1.442613797422382
K562	DDX3X-RBM22	false	1.4087372551039152
K562	DDX3X-ELAC2	false	1.3905488031650748
K562	IGF2BP1-SND1	false	1.350347134666663
K562	DDX3X-EIF4E	false	1.3142656612908468
K562	LIN28B-UCHL5	false	1.306612450997818
K562	DDX3X-LIN28B	false	1.2693782691954993
K562	DDX43-IGF2BP1	false	1.264934704598545
K562	DDX3X-FTO	false	1.2601256903799367
K562	IGF2BP1-YBX3	false	1.2532136717491085
K562	BUD13-EFTUD2	true	1.2521008249314036
K562	DDX3X-PRPF8	false	1.2507980197333382
K562	DDX24-PRPF8	false	1.2266007770012948
K562	BUD13-PRPF8	true	1.2233309962612111
K562	DDX3X-DROSHA	false	1.218894390834862
K562	AQR-IGF2BP1	false	1.1662744079949334
K562	IGF2BP1-PUM2	false	1.157959526128252
K562	SRSF1-ZNF622	false	1.1498769702593563
K562	PRPF8-UCHL5	false	1.1217576861708949
K562	IGF2BP1-IGF2BP2	false	1.1212043917330448
K562	DDX3X-UCHL5	false	1.113314460257243
K562	IGF2BP2-YBX3	false	1.1092162310742424
K562	RPS3-SND1	false	1.0765442159608938
K562	DDX3X-METAP2	false	1.0699567680039763
K562	AQR-PRPF8	false	1.0594481775187887
K562	PRPF8-YBX3	false	1.0533832636574516
K562	DDX3X-RPS3	false	0.9835319001322205
K562	LIN28B-ZNF622	false	0.980307211741092
K562	PABPC4-RPS3	false	0.9754841564426897
K562	DDX3X-SND1	false	0.97356598553597
K562	SF3B4-U2AF1	false	0.9614700589227141
K562	AQR-BUD13	false	0.9612640327541158
K562	AQR-HNRNPL	false	0.9552956040938625
K562	EFTUD2-GPKOW	false	0.9459081863933534
K562	AQR-RPS3	false	0.9379392380360514
