Cell Line	PPI Source	PPI Type	Curve	AUC	# Points	% Points	# True PPIs	% Point w/ True PPI	% True PPIs (Denominator: True + False Only)	Partial AUC @ FPR=0.01	Partial AUC @ FPR=0.025	Partial AUC @ FPR=0.05	Partial AUC @ FPR=0.1	Partial AUC @ FPR=0.2	Partial AUC @ FPR=0.3	Partial AUC @ FPR=0.4	Partial AUC @ FPR=0.5
HepG2	Street et al | IP/SEC-MS (Both)	Same-Position	roc	0.7904255319148936	478	0.2431827431827432	8	1.6736401673640167	0.010803219359369093	0.49748743718592964	0.5502289253972529	0.579923622476814	0.5870660694288914	0.6069739952718676	0.6490404672507301	0.6895777925531915	0.7205673758865249
HepG2	Rec-Y2H	Same-Position	roc	0.6351135910721404	399	0.20299145299145302	13	3.258145363408521	0.014952841039797563	0.49748743718592964	0.504366558869084	0.5123197514588507	0.5210924880954878	0.5384393959523494	0.5520440140982659	0.5557243921881228	0.5703467516939019
K562	Street et al | IP/SEC-MS (Both)	Same-Position	roc	0.6220035778175314	2261	0.654838448082114	25	1.105705440070765	0.019920953655893418	0.49748743718592964	0.4936708860759494	0.49958258795468097	0.5053949722248375	0.5172331544424568	0.5431197165807289	0.564054114490161	0.5786523553965415
HepG2	Street et al | IP-MS	Same-Position	roc	0.5925093632958801	478	0.2431827431827432	33	6.903765690376569	0.044563279857397504	0.49748743718592964	0.50642824202773	0.5179103044271584	0.5355088436105586	0.5564256800211856	0.5752635408947372	0.5881213823629554	0.5921915787084326
K562	Rec-Y2H	Different-Position	roc	0.5850434043314838	5747	1.6644655290260546	160	2.7840612493474857	0.11880364727197125	0.49776120174885524	0.49728914093068677	0.4958471589266291	0.500813684022119	0.5132183093689716	0.5291527162144615	0.5395620553293359	0.5519852634091045
K562	Street et al | IP/SEC-MS (Both)	All-Positions	roc	0.5824161863015322	12503	3.6211610421807485	142	1.1357274254178997	0.11315101676547461	0.49748743718592964	0.4977454337697849	0.499405582201199	0.503485129735318	0.5119237659866922	0.5258331469469918	0.533088400762963	0.543028144326412
K562	Rec-Y2H	All-Positions	roc	0.577429292334434	7068	2.0470580057692978	199	2.8155065082059987	0.14776203629451426	0.5004309786598243	0.5015732786008505	0.5018937144033436	0.50313397022427	0.5109120764365982	0.524584922104234	0.534222557685794	0.545296239044497
HepG2	Rec-Y2H	All-Positions	roc	0.576252514608679	1645	0.836894586894587	39	2.370820668693009	0.04485852311939268	0.4999424750921963	0.502450038257217	0.5018516198705872	0.5070442655157867	0.5095315643260848	0.5064886765128506	0.5102250774339815	0.5306489553064895
K562	Street et al | IP/SEC-MS (Both)	Different-Position	roc	0.5743226759523056	10242	2.966322594098634	117	1.1423550087873462	0.09323006310958118	0.49748743718592964	0.49836178996985375	0.49921185704661486	0.503347161826694	0.5082316251040531	0.5188375571817837	0.5262319299356336	0.5351873659034153
K562	Street et al | IP-MS	Same-Position	roc	0.5617859213532963	2261	0.654838448082114	109	4.820875718708536	0.08685535793969529	0.4980272941392615	0.5001811031882364	0.5013113030915971	0.5100870760852201	0.5252099367537109	0.5356236010996602	0.5437650276252515	0.5469572433864238
HepG2	Street et al | IP/SEC-MS (Both)	All-Positions	roc	0.5581733722772491	2304	1.1721611721611722	41	1.7795138888888888	0.0553664992167666	0.4983702448957331	0.5136931047904482	0.516080670171398	0.5077705364583008	0.5151231008554009	0.5318488237259488	0.5423966405483763	0.5517785226460307
K562	Rec-Y2H	Same-Position	roc	0.546581863274531	1321	0.3825924767432431	39	2.9523088569265705	0.028958389022542993	0.5013267867398113	0.5156059406933239	0.5219295951325232	0.525917878820416	0.5187585281189026	0.5162473165593291	0.516643165726629	0.5224075629691854
K562	Street et al | IP-MS	All-Positions	roc	0.5446809925728322	12503	3.6211610421807485	551	4.406942333839878	0.4390578185758908	0.4982395022852707	0.4979475284337823	0.4977511921512971	0.4984636543435499	0.5022140892669286	0.512937757459026	0.5198732961185334	0.5254119927987814
K562	Street et al | IP-MS	Different-Position	roc	0.5402804968141102	10242	2.966322594098634	442	4.315563366529974	0.3522024606361956	0.49767305453298444	0.4970747792788001	0.49517558502691017	0.49293806591462497	0.49544433157878537	0.5065727648525473	0.5144537382260597	0.5203041216486595
HepG2	Rec-Y2H	Different-Position	roc	0.5368852459016393	1246	0.6339031339031339	26	2.086677367576244	0.029905682079595125	0.49748743718592964	0.4936708860759494	0.4942930125780063	0.4954204552996615	0.4831511839708561	0.47419825433325913	0.4791338272383354	0.4992013451029845
HepG2	Street et al | IP/SEC-MS (Both)	Different-Position	roc	0.5059237100508712	1826	0.9289784289784289	33	1.8072289156626504	0.044563279857397504	0.49748743718592964	0.5004568548660552	0.49838597914448446	0.4874093920091513	0.4895975933343474	0.5007056888228766	0.5045494684716659	0.5092813241167954
HepG2	Street et al | IP-MS	All-Positions	roc	0.503405644687928	2304	1.1721611721611722	152	6.597222222222222	0.20526116782801276	0.49756732203376497	0.5009151272138277	0.5023365892569571	0.5043231059942951	0.5053136345355334	0.5068355066542367	0.508960644015359	0.5097176025565774
HepG2	Street et al | IP-MS	Different-Position	roc	0.47958234260312216	1826	0.9289784289784289	119	6.51697699890471	0.16069788797061524	0.49748743718592964	0.4983594648065896	0.49655821050424587	0.49422040576474785	0.48874492190940033	0.4860066084395783	0.4867848281667676	0.4876263334859427
