Cell Line	Column	Column Type	RBP 1	Position 1	RBP 2	Position 2	# UBPs - Signed-Local-SHAP-Mean-Bound-Only	Value - Signed-Local-SHAP-Mean-Bound-Only	PPI	Abs. SHAP Value
HepG2	IGF2BP1_4-TARDBP_4-interaction-shap	interaction	IGF2BP1	4	TARDBP	4	58	-1.1921803951263428	false	1.1921803951263428
HepG2	BCLAF1_4-PRPF8_4-interaction-shap	interaction	BCLAF1	4	PRPF8	4	3225	-1.0923011302947998	false	1.0923011302947998
HepG2	RBFOX2_4-SUGP2_4-interaction-shap	interaction	RBFOX2	4	SUGP2	4	8	0.901724636554718	false	0.901724636554718
HepG2	FUBP3_6-U2AF2_6-interaction-shap	interaction	FUBP3	6	U2AF2	6	2	-0.8895378112792969	false	0.8895378112792969
HepG2	PPIG_4-PRPF8_4-interaction-shap	interaction	PPIG	4	PRPF8	4	6652	-0.7641131281852722	false	0.7641131281852722
HepG2	LIN28B_1-YBX3_1-interaction-shap	interaction	LIN28B	1	YBX3	1	36	0.7464181184768677	false	0.7464181184768677
HepG2	IGF2BP1_3-IGF2BP3_3-interaction-shap	interaction	IGF2BP1	3	IGF2BP3	3	371	-0.7397056221961975	true	0.7397056221961975
HepG2	PRPF8_4-SND1_4-interaction-shap	interaction	PRPF8	4	SND1	4	1249	-0.689824104309082	false	0.689824104309082
HepG2	MATR3_3-PTBP1_3-interaction-shap	interaction	MATR3	3	PTBP1	3	5	0.6818547248840332	true	0.6818547248840332
HepG2	AQR_4-LIN28B_4-interaction-shap	interaction	AQR	4	LIN28B	4	347	-0.6173035502433777	false	0.6173035502433777
HepG2	BUD13_2-RBM15_2-interaction-shap	interaction	BUD13	2	RBM15	2	84	0.598983883857727	false	0.598983883857727
HepG2	PPIG_4-RBM22_4-interaction-shap	interaction	PPIG	4	RBM22	4	1080	-0.5595126152038574	false	0.5595126152038574
HepG2	LIN28B_3-SUGP2_3-interaction-shap	interaction	LIN28B	3	SUGP2	3	1	0.5518361330032349	false	0.5518361330032349
HepG2	SF3B4_3-UPF1_3-interaction-shap	interaction	SF3B4	3	UPF1	3	52	-0.5251674652099609	false	0.5251674652099609
HepG2	G3BP1_4-PRPF8_4-interaction-shap	interaction	G3BP1	4	PRPF8	4	1611	-0.5242925882339478	false	0.5242925882339478
HepG2	AQR_3-SF3B4_3-interaction-shap	interaction	AQR	3	SF3B4	3	3189	-0.5082195997238159	false	0.5082195997238159
HepG2	DDX3X_3-PTBP1_3-interaction-shap	interaction	DDX3X	3	PTBP1	3	75	0.49194297194480896	false	0.49194297194480896
HepG2	DGCR8_3-RBFOX2_3-interaction-shap	interaction	DGCR8	3	RBFOX2	3	47	0.4859083890914917	true	0.4859083890914917
HepG2	FUS_4-PRPF8_4-interaction-shap	interaction	FUS	4	PRPF8	4	85	-0.447441965341568	false	0.447441965341568
HepG2	GTF2F1_4-IGF2BP1_4-interaction-shap	interaction	GTF2F1	4	IGF2BP1	4	23	-0.43437787890434265	false	0.43437787890434265
HepG2	BUD13_3-CDC40_3-interaction-shap	interaction	BUD13	3	CDC40	3	70	-0.42468470335006714	true	0.42468470335006714
