Cell Line	Column	Column Type	RBP 1	Position 1	RBP 2	Position 2	# UBPs - Signed-Local-SHAP-Mean-Bound-Only	Value - Signed-Local-SHAP-Mean-Bound-Only	PPI	Abs. SHAP Value
K562	IGF2BP1_4-PUM2_4-interaction-shap	interaction	IGF2BP1	4	PUM2	4	23	-1.759062647819519	false	1.759062647819519
K562	UCHL5_3-FUS_4-interaction-shap	interaction	UCHL5	3	FUS	4	13	-1.3717466592788696	false	1.3717466592788696
K562	FUS_2-UCHL5_3-interaction-shap	interaction	FUS	2	UCHL5	3	77	-1.3507862091064453	false	1.3507862091064453
K562	KHDRBS1_2-EFTUD2_5-interaction-shap	interaction	KHDRBS1	2	EFTUD2	5	1	1.2386658191680908	false	1.2386658191680908
K562	RPS3_3-PUM2_4-interaction-shap	interaction	RPS3	3	PUM2	4	73	-1.1889582872390747	false	1.1889582872390747
K562	HNRNPK_4-DDX3X_5-interaction-shap	interaction	HNRNPK	4	DDX3X	5	4	1.09035325050354	false	1.09035325050354
K562	DDX3X_4-PUM2_4-interaction-shap	interaction	DDX3X	4	PUM2	4	4	-1.0655136108398438	false	1.0655136108398438
K562	DDX3X_4-RBM22_4-interaction-shap	interaction	DDX3X	4	RBM22	4	75	-1.0184897184371948	false	1.0184897184371948
K562	EIF4E_5-DDX3X_6-interaction-shap	interaction	EIF4E	5	DDX3X	6	29	1.0131793022155762	false	1.0131793022155762
K562	ILF3_6-PCBP1_6-interaction-shap	interaction	ILF3	6	PCBP1	6	26	1.009068489074707	false	1.009068489074707
K562	ELAC2_3-FXR1_3-interaction-shap	interaction	ELAC2	3	FXR1	3	15	-0.9764702916145325	false	0.9764702916145325
K562	PUM2_4-ELAVL1_6-interaction-shap	interaction	PUM2	4	ELAVL1	6	6	-0.9689986109733582	false	0.9689986109733582
K562	HNRNPK_4-LIN28B_4-interaction-shap	interaction	HNRNPK	4	LIN28B	4	5	-0.9591774344444275	false	0.9591774344444275
K562	DDX3X_5-ELAC2_6-interaction-shap	interaction	DDX3X	5	ELAC2	6	11	0.927619218826294	false	0.927619218826294
K562	IGF2BP1_4-MBNL1_6-interaction-shap	interaction	IGF2BP1	4	MBNL1	6	11	-0.8872398138046265	false	0.8872398138046265
K562	DDX3X_3-PUM2_3-interaction-shap	interaction	DDX3X	3	PUM2	3	69	-0.8121196031570435	false	0.8121196031570435
K562	KHDRBS1_2-PTBP1_3-interaction-shap	interaction	KHDRBS1	2	PTBP1	3	1	0.8045967817306519	false	0.8045967817306519
K562	SERBP1_2-FMR1_3-interaction-shap	interaction	SERBP1	2	FMR1	3	31	-0.8016393780708313	false	0.8016393780708313
K562	BUD13_1-FAM120A_1-interaction-shap	interaction	BUD13	1	FAM120A	1	26	-0.7931249141693115	false	0.7931249141693115
K562	DDX3X_3-IGF2BP2_4-interaction-shap	interaction	DDX3X	3	IGF2BP2	4	96	-0.7898148894309998	false	0.7898148894309998
K562	QKI_2-IGF2BP2_3-interaction-shap	interaction	QKI	2	IGF2BP2	3	7	-0.7713475823402405	false	0.7713475823402405
K562	PUM2_1-SF3B4_3-interaction-shap	interaction	PUM2	1	SF3B4	3	73	-0.7137000560760498	false	0.7137000560760498
