Cell Line	Column	Column Type	RBP 1	Position 1	RBP 2	Position 2	# UBPs - Signed-Local-SHAP-Mean-Bound-Only	Value - Signed-Local-SHAP-Mean-Bound-Only	PPI	Abs. SHAP Value
K562	EIF4G2_3-IGF2BP1_3-interaction-shap	interaction	EIF4G2	3	IGF2BP1	3	44	-1.8087801933288574	false	1.8087801933288574
K562	IGF2BP1_4-PUM2_4-interaction-shap	interaction	IGF2BP1	4	PUM2	4	23	-1.759062647819519	false	1.759062647819519
K562	RBM22_4-DDX55_6-interaction-shap	interaction	RBM22	4	DDX55	6	8	-1.5718275308609009	false	1.5718275308609009
K562	LIN28B_3-HNRNPL_6-interaction-shap	interaction	LIN28B	3	HNRNPL	6	7	-1.5689318180084229	false	1.5689318180084229
K562	HLTF_2-PRPF8_4-interaction-shap	interaction	HLTF	2	PRPF8	4	12	-1.4142358303070068	false	1.4142358303070068
K562	UCHL5_3-FUS_4-interaction-shap	interaction	UCHL5	3	FUS	4	13	-1.3717466592788696	false	1.3717466592788696
K562	FUS_2-UCHL5_3-interaction-shap	interaction	FUS	2	UCHL5	3	77	-1.3507862091064453	false	1.3507862091064453
K562	MATR3_2-PUM2_3-interaction-shap	interaction	MATR3	2	PUM2	3	2	-1.257232904434204	false	1.257232904434204
K562	KHDRBS1_2-EFTUD2_5-interaction-shap	interaction	KHDRBS1	2	EFTUD2	5	1	1.2386658191680908	false	1.2386658191680908
K562	RPS3_3-PUM2_4-interaction-shap	interaction	RPS3	3	PUM2	4	73	-1.1889582872390747	false	1.1889582872390747
K562	PTBP1_3-DDX24_4-interaction-shap	interaction	PTBP1	3	DDX24	4	15	-1.1300615072250366	false	1.1300615072250366
K562	IGF2BP1_2-GPKOW_4-interaction-shap	interaction	IGF2BP1	2	GPKOW	4	14	-1.0937987565994263	false	1.0937987565994263
K562	HNRNPK_4-DDX3X_5-interaction-shap	interaction	HNRNPK	4	DDX3X	5	4	1.09035325050354	false	1.09035325050354
K562	PTBP1_3-ZNF622_6-interaction-shap	interaction	PTBP1	3	ZNF622	6	44	1.077681541442871	false	1.077681541442871
K562	DDX3X_4-PUM2_4-interaction-shap	interaction	DDX3X	4	PUM2	4	4	-1.0655136108398438	false	1.0655136108398438
K562	EIF4G2_3-SND1_3-interaction-shap	interaction	EIF4G2	3	SND1	3	13	-1.0426234006881714	false	1.0426234006881714
K562	DDX3X_4-RBM22_4-interaction-shap	interaction	DDX3X	4	RBM22	4	75	-1.0184897184371948	false	1.0184897184371948
K562	EIF4E_5-DDX3X_6-interaction-shap	interaction	EIF4E	5	DDX3X	6	29	1.0131793022155762	false	1.0131793022155762
