Cell Line	Column	Column Type	RBP 1	Position 1	RBP 2	Position 2	# UBPs - Signed-Local-SHAP-Mean-Bound-Only	Value - Signed-Local-SHAP-Mean-Bound-Only	PPI	Abs. SHAP Value
K562	EIF4G2_3-IGF2BP1_3-interaction-shap	interaction	EIF4G2	3	IGF2BP1	3	44	-1.8087801933288574	false	1.8087801933288574
K562	IGF2BP1_4-PUM2_4-interaction-shap	interaction	IGF2BP1	4	PUM2	4	23	-1.759062647819519	false	1.759062647819519
K562	DDX3X_4-PUM2_4-interaction-shap	interaction	DDX3X	4	PUM2	4	4	-1.0655136108398438	false	1.0655136108398438
K562	EIF4G2_3-SND1_3-interaction-shap	interaction	EIF4G2	3	SND1	3	13	-1.0426234006881714	false	1.0426234006881714
K562	DDX3X_4-RBM22_4-interaction-shap	interaction	DDX3X	4	RBM22	4	75	-1.0184897184371948	false	1.0184897184371948
K562	ILF3_6-PCBP1_6-interaction-shap	interaction	ILF3	6	PCBP1	6	26	1.009068489074707	false	1.009068489074707
K562	ELAC2_3-FXR1_3-interaction-shap	interaction	ELAC2	3	FXR1	3	15	-0.9764702916145325	false	0.9764702916145325
K562	HNRNPK_4-LIN28B_4-interaction-shap	interaction	HNRNPK	4	LIN28B	4	5	-0.9591774344444275	false	0.9591774344444275
K562	AQR_4-HNRNPL_4-interaction-shap	interaction	AQR	4	HNRNPL	4	39	0.8753952383995056	false	0.8753952383995056
K562	DDX3X_3-PUM2_3-interaction-shap	interaction	DDX3X	3	PUM2	3	69	-0.8121196031570435	false	0.8121196031570435
K562	BUD13_1-FAM120A_1-interaction-shap	interaction	BUD13	1	FAM120A	1	26	-0.7931249141693115	false	0.7931249141693115
K562	AGGF1_3-BUD13_3-interaction-shap	interaction	AGGF1	3	BUD13	3	51	-0.728065550327301	false	0.728065550327301
K562	DDX3X_5-KHSRP_5-interaction-shap	interaction	DDX3X	5	KHSRP	5	73	0.7124421000480652	false	0.7124421000480652
K562	ELAC2_3-IGF2BP1_3-interaction-shap	interaction	ELAC2	3	IGF2BP1	3	62	-0.6986177563667297	false	0.6986177563667297
K562	GRWD1_4-PTBP1_4-interaction-shap	interaction	GRWD1	4	PTBP1	4	73	-0.6977947354316711	false	0.6977947354316711
K562	DDX3X_6-DDX55_6-interaction-shap	interaction	DDX3X	6	DDX55	6	25	0.6837271451950073	false	0.6837271451950073
K562	GRWD1_4-LIN28B_4-interaction-shap	interaction	GRWD1	4	LIN28B	4	493	-0.6752705574035645	false	0.6752705574035645
K562	GPKOW_4-XRN2_4-interaction-shap	interaction	GPKOW	4	XRN2	4	29	-0.6716223955154419	false	0.6716223955154419
