Cell Line	Column	Column Type	RBP 1	Position 1	RBP 2	Position 2	# UBPs - Signed-Local-SHAP-Mean-Bound-Only	Value - Signed-Local-SHAP-Mean-Bound-Only	PPI	Abs. SHAP Value	RBP_PAIR
HepG2	HNRNPC_3-GRWD1_6-interaction-shap	interaction	HNRNPC	3	GRWD1	6	25	1.2834606170654297	false	1.2834606170654297	GRWD1-HNRNPC
HepG2	AGGF1_3-PRPF8_4-interaction-shap	interaction	AGGF1	3	PRPF8	4	107	-1.2080013751983643	false	1.2080013751983643	AGGF1-PRPF8
HepG2	U2AF1_3-LIN28B_4-interaction-shap	interaction	U2AF1	3	LIN28B	4	56	-1.1941767930984497	false	1.1941767930984497	LIN28B-U2AF1
HepG2	IGF2BP1_4-TARDBP_4-interaction-shap	interaction	IGF2BP1	4	TARDBP	4	58	-1.1921803951263428	false	1.1921803951263428	IGF2BP1-TARDBP
HepG2	GTF2F1_2-HNRNPC_3-interaction-shap	interaction	GTF2F1	2	HNRNPC	3	6	1.1854969263076782	false	1.1854969263076782	GTF2F1-HNRNPC
HepG2	HNRNPC_3-PRPF8_4-interaction-shap	interaction	HNRNPC	3	PRPF8	4	17	-1.120318055152893	false	1.120318055152893	HNRNPC-PRPF8
HepG2	BCLAF1_4-PRPF8_4-interaction-shap	interaction	BCLAF1	4	PRPF8	4	3225	-1.0923011302947998	false	1.0923011302947998	BCLAF1-PRPF8
HepG2	TARDBP_1-SF3B4_3-interaction-shap	interaction	TARDBP	1	SF3B4	3	100	-1.0580322742462158	false	1.0580322742462158	SF3B4-TARDBP
HepG2	HNRNPC_2-BCLAF1_3-interaction-shap	interaction	HNRNPC	2	BCLAF1	3	17	-1.036072850227356	false	1.036072850227356	BCLAF1-HNRNPC
HepG2	RBM22_4-AKAP1_6-interaction-shap	interaction	RBM22	4	AKAP1	6	60	-1.0018762350082397	false	1.0018762350082397	AKAP1-RBM22
HepG2	IGF2BP3_4-SF3B4_5-interaction-shap	interaction	IGF2BP3	4	SF3B4	5	137	-0.9224151968955994	false	0.9224151968955994	IGF2BP3-SF3B4
HepG2	PRPF8_2-ILF3_3-interaction-shap	interaction	PRPF8	2	ILF3	3	20	0.9196532368659973	false	0.9196532368659973	ILF3-PRPF8
HepG2	RBFOX2_4-SUGP2_4-interaction-shap	interaction	RBFOX2	4	SUGP2	4	8	0.901724636554718	false	0.901724636554718	RBFOX2-SUGP2
HepG2	IGF2BP1_3-QKI_4-interaction-shap	interaction	IGF2BP1	3	QKI	4	2	-0.8998110294342041	false	0.8998110294342041	IGF2BP1-QKI
HepG2	FUBP3_6-U2AF2_6-interaction-shap	interaction	FUBP3	6	U2AF2	6	2	-0.8895378112792969	false	0.8895378112792969	FUBP3-U2AF2
HepG2	TIA1_2-LIN28B_4-interaction-shap	interaction	TIA1	2	LIN28B	4	87	-0.8162667155265808	false	0.8162667155265808	LIN28B-TIA1
HepG2	SF3B4_3-DKC1_5-interaction-shap	interaction	SF3B4	3	DKC1	5	36	-0.8079078793525696	false	0.8079078793525696	DKC1-SF3B4
HepG2	PPIG_4-PRPF8_4-interaction-shap	interaction	PPIG	4	PRPF8	4	6652	-0.7641131281852722	false	0.7641131281852722	PPIG-PRPF8
HepG2	RBM5_1-LIN28B_3-interaction-shap	interaction	RBM5	1	LIN28B	3	88	-0.7621456384658813	false	0.7621456384658813	LIN28B-RBM5
HepG2	LIN28B_1-YBX3_1-interaction-shap	interaction	LIN28B	1	YBX3	1	36	0.7464181184768677	false	0.7464181184768677	LIN28B-YBX3
HepG2	IGF2BP1_3-IGF2BP3_3-interaction-shap	interaction	IGF2BP1	3	IGF2BP3	3	371	-0.7397056221961975	true	0.7397056221961975	IGF2BP1-IGF2BP3
HepG2	CSTF2T_2-FKBP4_3-interaction-shap	interaction	CSTF2T	2	FKBP4	3	67	0.7231004238128662	false	0.7231004238128662	CSTF2T-FKBP4
